Conta,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,4T2014
Ativo total,"3,03 B","2,88 B","2,86 B","2,89 B","2,64 B","2,69 B","2,57 B","2,67 B","2,75 B","2,52 B","2,57 B","2,62 B","2,63 B","2,57 B","2,54 B","2,54 B","2,60 B","2,63 B","2,57 B","2,54 B","2,55 B","2,62 B","2,62 B","2,40 B","2,47 B","2,42 B","2,43 B","2,21 B","2,26 B","2,26 B","2,27 B","2,28 B","2,31 B","2,27 B","2,22 B","2,17 B","1,93 B","1,87 B","1,84 B","1,54 B","1,46 B"
Ativo circulante,"811,05 M","742,34 M","734,37 M","694,43 M","480,30 M","563,77 M","441,30 M","524,75 M","620,45 M","386,72 M","433,14 M","484,28 M","508,80 M","457,83 M","456,18 M","489,29 M","566,59 M","585,29 M","580,44 M","568,93 M","583,84 M","635,56 M","619,86 M","417,04 M","465,36 M","402,47 M","401,60 M","399,74 M","423,90 M","409,18 M","399,99 M","401,55 M","430,39 M","409,80 M","384,15 M","494,43 M","347,32 M","292,21 M","280,52 M","215,93 M","200,12 M"
Caixa e eq. de caixa,"123,75 M","116,42 M","122,27 M","114,97 M","167,70 M","254,48 M","97,79 M","218,59 M","294,61 M","95,52 M","154,61 M","218,74 M","247,83 M","240,19 M","81,62 M","127,31 M","152,40 M","217,48 M","228,65 M","229,09 M","212,85 M","325,32 M","256,04 M","88,30 M","97,43 M","61,19 M","64,27 M","73,17 M","46,97 M","63,45 M","68,52 M","91,60 M","50,81 M","51,16 M","53,51 M","159,33 M","44,72 M","23,85 M","25,18 M","21,92 M","42,21 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,00 Mil",0,0,0,"37,81 M","1,86 M","13,59 M","12,64 M","3,67 M","5,47 M"
Contas a receber,"498,02 M","457,49 M","456,43 M","447,14 M","150,70 M","186,16 M","234,38 M","202,16 M","236,25 M","206,09 M","189,30 M","186,22 M","171,11 M","133,74 M","275,67 M","254,28 M","301,64 M","267,71 M","251,00 M","242,57 M","231,15 M","159,46 M","213,34 M","229,65 M","247,05 M","239,31 M","239,57 M","228,96 M","264,75 M","243,30 M","235,86 M","219,18 M","282,44 M","263,58 M","249,17 M","233,26 M","233,01 M","208,66 M","199,13 M","155,59 M","120,06 M"
Estoques,"12,55 M","10,19 M","10,61 M","11,62 M","11,87 M","11,29 M","11,70 M","12,26 M","11,46 M","14,62 M","13,35 M","14,63 M","13,87 M","13,78 M","13,35 M","11,63 M","10,09 M","8,61 M","9,87 M","10,01 M","8,71 M","9,20 M","10,41 M","10,93 M","7,68 M","6,28 M","5,00 M","5,43 M","4,95 M","4,10 M","4,34 M","4,65 M","5,98 M","5,77 M","6,22 M","6,39 M","6,42 M","4,42 M","5,05 M","4,20 M","5,84 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"2,22 B","2,14 B","2,12 B","2,19 B","2,16 B","2,13 B","2,13 B","2,15 B","2,13 B","2,13 B","2,14 B","2,13 B","2,12 B","2,12 B","2,08 B","2,05 B","2,04 B","2,05 B","1,99 B","1,97 B","1,97 B","1,98 B","2,00 B","1,98 B","2,00 B","2,01 B","2,03 B","1,81 B","1,83 B","1,85 B","1,87 B","1,88 B","1,88 B","1,86 B","1,83 B","1,67 B","1,59 B","1,58 B","1,56 B","1,32 B","1,26 B"
Investimentos,"3,91 M","3,53 M","6,49 M","2,72 M","5,16 M","4,72 M","6,60 M","7,66 M","7,02 M","5,81 M","6,10 M","4,13 M","5,29 M","3,17 M","4,06 M","4,37 M","10,46 M","10,12 M","10,99 M","9,40 M","8,80 M","8,01 M","10,06 M","8,95 M","8,84 M","8,32 M","7,11 M","6,62 M","6,38 M","6,73 M","5,47 M","5,36 M","5,71 M","4,86 M","5,54 M","4,69 M","5,25 M","5,01 M","5,26 M",0,0
Imobilizado,"814,88 M","596,08 M","593,86 M","593,70 M","584,96 M","788,84 M","567,80 M","561,51 M","555,50 M","553,84 M","550,40 M","537,20 M","523,47 M","515,17 M","516,84 M","517,12 M","512,91 M","507,98 M","506,34 M","508,14 M","505,56 M","507,71 M","514,81 M","519,78 M","518,57 M","519,50 M","521,99 M","525,02 M","527,95 M","532,50 M","528,90 M","532,52 M","537,74 M","537,49 M","507,02 M","464,21 M","466,16 M","464,16 M","460,53 M","411,21 M","351,38 M"
Intangível,"1,03 B","1,01 B","1,00 B","1,00 B","1,00 B","1,00 B","1,00 B","1,00 B","1,00 B","996,12 M","991,36 M","988,88 M","986,58 M","981,38 M","976,82 M","974,79 M","972,08 M","969,20 M","966,31 M","964,52 M","965,57 M","964,56 M","966,04 M","966,13 M","966,14 M","966,40 M","966,78 M","967,24 M","966,57 M","967,04 M","967,61 M","966,95 M","972,57 M","969,66 M","967,39 M","878,08 M","856,97 M","852,72 M","848,70 M","640,74 M","633,00 M"
Passivo total,"3,03 B","2,88 B","2,86 B","2,89 B","2,64 B","2,69 B","2,57 B","2,67 B","2,75 B","2,52 B","2,57 B","2,62 B","2,63 B","2,57 B","2,54 B","2,54 B","2,60 B","2,63 B","2,57 B","2,54 B","2,55 B","2,62 B","2,62 B","2,40 B","2,47 B","2,42 B","2,43 B","2,21 B","2,26 B","2,26 B","2,27 B","2,28 B","2,31 B","2,27 B","2,22 B","2,17 B","1,93 B","1,87 B","1,84 B","1,54 B","1,46 B"
Passivo circulante,"806,67 M","713,91 M","746,98 M","666,40 M","625,42 M","719,23 M","672,88 M","734,82 M","844,10 M","708,58 M","683,16 M","678,39 M","590,83 M","550,78 M","535,52 M","589,53 M","611,60 M","485,79 M","522,50 M","476,48 M","615,85 M","733,27 M","634,01 M","406,23 M","436,90 M","427,54 M","407,32 M","384,74 M","403,01 M","404,50 M","375,35 M","362,05 M","512,65 M","471,11 M","429,27 M","404,58 M","396,80 M","316,44 M","298,69 M","186,98 M","185,49 M"
