Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
P/L,"16,00","15,51","13,75","11,92","13,14","15,43","16,48","12,08","17,89","37,39","16,16","16,32","17,08","19,03",-,-
P/VP,"2,77","2,73","2,01","2,19","2,32","2,37","2,54","2,32","3,50","5,96","4,52","4,19","4,88","4,23",-,-
P/EBIT,"10,52","10,26","9,10","9,27","10,76","11,52","11,78","8,87","11,47","16,69","11,85","10,79","13,00","11,78",-,-
P/EBIT *,"12,17","11,88","10,21","10,17","12,40","12,73","13,65","9,49","12,08","17,90","13,75","11,79","14,42","13,28",-,-
PSR,"2,83","2,72","2,22","2,17","2,38","2,68","3,21","2,74","3,92","5,72","4,45","4,34","5,41","5,19",-,-
P/Ativos,"1,75","1,66","1,22","1,30","1,38","1,41","1,50","1,40","2,06","3,16","2,42","2,25","2,86","2,63",-,-
LPA,"0,99","0,98","0,92","0,92","0,92","0,80","0,72","0,75","0,70","0,47","0,80","0,79","0,77","0,61",-,-
VPA,"5,72","5,58","6,26","5,01","5,20","5,24","4,68","3,89","3,57","2,92","2,84","3,07","2,68","2,73",-,-
EBIT por ação,"1,50","1,49","1,38","1,18","1,12","1,08","1,01","1,02","1,09","1,04","1,08","1,19","1,01","0,98",-,-
EBIT por ação *,"1,30","1,28","1,23","1,08","0,97","0,97","0,87","0,95","1,03","0,97","0,94","1,09","0,91","0,87",-,-
Ativo por ação,"9,06","9,20","10,31","8,41","8,75","8,79","7,94","6,45","6,07","5,51","5,32","5,72","4,58","4,38",-,-
Receita líquida por ação,"5,60","5,60","5,67","5,06","5,06","4,62","3,70","3,30","3,19","3,04","2,89","2,96","2,42","2,23",-,-
Margem bruta,"51,48%","51,42%","51,24%","50,72%","49,29%","51,05%","53,64%","58,32%","61,68%","62,33%","63,43%","65,62%","66,35%","67,01%","67,55%",--%
Margem líquida,"18,22%","18,12%","16,60%","18,76%","18,68%","18,01%","20,10%","23,44%","22,59%","16,39%","28,69%","27,57%","32,46%","32,50%","32,33%",--%
Margem EBIT,"26,87%","26,54%","24,38%","23,38%","22,15%","23,29%","27,29%","30,87%","34,15%","34,29%","37,50%","40,20%","41,61%","44,02%","42,29%",--%
