Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,4T2018
Ativo total,"1,52 B","1,61 B","1,95 B","2,04 B","2,11 B","2,40 B","3,58 B","3,65 B","3,47 B","4,01 B","3,82 B","3,18 B","3,29 B","4,37 B","3,46 B","3,34 B","3,11 B","2,81 B","2,97 B","2,46 B","2,78 B","2,37 B","1,65 B","1,32 B","1,06 B","802,13 M","527,45 M"
Ativo circulante,"407,62 M","491,73 M","737,17 M","750,57 M","819,00 M","1,03 B","2,29 B","2,37 B","2,18 B","2,72 B","2,59 B","1,95 B","2,09 B","3,19 B","2,29 B","2,20 B","1,98 B","1,70 B","1,94 B","1,51 B","1,90 B","1,67 B","1,07 B","820,05 M","576,95 M","397,83 M","280,52 M"
Caixa e eq. de caixa,"16,35 M","28,74 M","29,39 M","67,57 M","112,71 M","290,84 M","881,32 M","977,43 M","701,43 M","1,06 B","743,65 M","846,05 M","828,91 M","1,06 B","856,39 M","860,89 M","739,16 M","892,93 M","905,05 M","478,16 M","821,21 M","684,55 M","222,24 M","155,19 M","13,42 M","65,70 M","68,78 M"
Aplicações financeiras,"2,47 M","6,73 M",0,0,0,"5,43 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,01 M","14,26 M",0,0,0
Contas a receber,"136,43 M","171,04 M","281,50 M","332,99 M","308,51 M","343,64 M","707,38 M","583,88 M","633,30 M","713,40 M","801,73 M",0,0,"1,07 B",0,"74,66 M","149,53 M","21,18 M","166,60 M","119,98 M","270,59 M","220,13 M","202,81 M","112,45 M","190,37 M","98,53 M","57,39 M"
Estoques,"164,73 M","181,90 M","309,64 M","307,67 M","351,78 M","320,35 M","672,81 M","731,44 M","776,27 M","848,58 M","917,78 M","968,64 M","1,09 B","828,19 M","1,12 B","1,00 B","889,62 M","624,59 M","719,34 M","751,96 M","630,07 M","617,58 M","542,20 M","473,57 M","312,59 M","167,26 M","88,71 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"1,11 B","1,12 B","1,22 B","1,29 B","1,29 B","1,38 B","1,30 B","1,29 B","1,29 B","1,29 B","1,24 B","1,23 B","1,20 B","1,18 B","1,17 B","1,15 B","1,13 B","1,10 B","1,03 B","945,71 M","882,25 M","702,80 M","583,94 M","502,02 M","482,57 M","404,29 M","246,93 M"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"893,10 M","908,11 M","926,15 M","954,16 M","956,19 M","970,59 M","968,14 M","974,99 M","1,05 B","1,00 B","1,02 B","1,03 B","1,02 B","1,00 B","1,01 B","997,08 M","988,97 M","974,12 M","924,47 M","846,09 M","787,81 M","620,31 M","492,65 M","406,39 M","381,93 M","343,99 M","194,30 M"
Intangível,"43,00 M","39,35 M","41,23 M","34,98 M","37,40 M","37,69 M","59,02 M","56,64 M","2,74 M","60,45 M","3,42 M","3,47 M","3,65 M","3,97 M","4,18 M","3,51 M","2,42 M","2,60 M","2,78 M","2,12 M","2,27 M","1,29 M","484,00 Mil","533,00 Mil","583,00 Mil","522,00 Mil","609,00 Mil"
Passivo total,"1,52 B","1,61 B","1,95 B","2,04 B","2,11 B","2,40 B","3,58 B","3,65 B","3,47 B","4,01 B","3,82 B","3,18 B","3,29 B","4,37 B","3,46 B","3,34 B","3,11 B","2,81 B","2,97 B","2,46 B","2,78 B","2,37 B","1,65 B","1,32 B","1,06 B","802,13 M","527,45 M"
Passivo circulante,"588,82 M","606,52 M","532,21 M","531,01 M","827,81 M","2,07 B","1,88 B","1,53 B","1,33 B","1,70 B","1,77 B","1,19 B","1,08 B","1,96 B","1,04 B","880,43 M","745,63 M","427,02 M","569,99 M","554,80 M","714,32 M","943,32 M","842,16 M","688,19 M","498,73 M","333,52 M","126,87 M"
Fornecedores,"80,31 M","130,90 M","117,15 M","59,22 M","78,49 M","75,23 M","91,88 M","121,08 M","234,60 M","288,76 M","337,29 M","367,81 M","318,86 M","336,05 M","538,02 M","649,66 M","441,80 M","268,48 M","360,14 M","260,07 M","259,55 M","205,30 M","193,83 M","124,55 M","107,80 M","116,63 M","29,62 M"
Empréstimos e financ.,"133,76 M","131,76 M","127,14 M","127,17 M","458,79 M","1,47 B","798,62 M","531,79 M","454,87 M","549,36 M","528,24 M","639,87 M","470,03 M","259,16 M","99,96 M","169,11 M","117,95 M","91,69 M","57,79 M","222,13 M","407,44 M","690,29 M","546,85 M","449,16 M","355,03 M","184,65 M","73,02 M"
Passivo não circulante,"1,76 B","1,70 B","1,63 B","1,58 B","1,17 B","124,27 M","665,01 M","1,03 B","1,05 B","1,18 B","1,24 B","1,14 B","1,34 B","1,56 B","1,48 B","1,50 B","1,36 B","1,38 B","1,38 B","896,62 M","1,07 B","462,00 M","635,76 M","519,34 M","369,25 M","294,40 M","270,74 M"
Emprést. de longo prazo,"1,75 B","1,69 B","1,62 B","1,57 B","1,16 B","82,94 M","654,76 M","1,01 B","1,02 B","1,15 B","1,24 B","1,14 B","1,34 B","1,56 B","1,47 B","1,49 B","1,35 B","1,37 B","1,38 B","894,51 M","1,06 B","452,71 M","529,78 M","376,78 M","266,39 M","191,83 M","233,89 M"
Patrimônio líquido,"-836,46 M","-696,29 M","-208,28 M","-63,53 M","111,01 M","206,97 M","1,04 B","1,09 B","1,10 B","1,14 B","815,08 M","843,22 M","862,60 M","857,59 M","942,09 M","967,39 M","995,26 M","999,59 M","1,02 B","1,01 B","989,87 M","965,31 M","172,28 M","114,54 M","191,55 M","174,21 M","129,84 M"
Aos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
