Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010
Receita líquida,"165,00 M","183,65 M","286,64 M","323,00 M","224,93 M","188,36 M","435,84 M","506,04 M","132,97 M","155,29 M","264,61 M","544,29 M","249,20 M","171,54 M","314,95 M","420,06 M","382,44 M","600,95 M","515,16 M","410,33 M","361,39 M","168,11 M","280,83 M","236,80 M","119,90 M","129,06 M","219,45 M","188,14 M","30,88 M","88,21 M","248,17 M","159,06 M","50,40 M","75,66 M","98,94 M","106,52 M","15,00 M","19,67 M","43,05 M","48,80 M","-14,69 M","31,11 M","69,93 M","261,11 M","33,62 M","23,32 M","56,51 M","72,59 M","36,07 M","3,13 M","40,42 M","116,07 M","17,18 M",0,"49,40 M","60,99 M","22,83 M","30,51 M","41,80 M","44,00 M","16,32 M","30,25 M","10,75 M"
Custos,"-138,09 M","-166,93 M","-292,36 M","-239,02 M","-170,18 M","-123,56 M","-301,16 M","-226,57 M","-114,86 M","-158,16 M","-247,43 M","-269,69 M","-181,74 M","-153,85 M","-280,95 M","-372,12 M","-184,23 M","-204,16 M","-382,18 M","-290,35 M","-132,72 M","-98,53 M","-207,54 M","-174,21 M","-77,21 M","-73,58 M","-158,81 M","-146,50 M","-12,99 M","-54,65 M","-105,07 M","-97,84 M","-16,23 M","-47,44 M","-66,81 M","-77,59 M","-7,48 M","-11,84 M","-39,44 M","-53,55 M","-3,10 M","-23,37 M","-54,70 M","-79,60 M","-20,48 M","-21,85 M","-48,56 M","-66,28 M","-29,19 M","-5,38 M","-37,69 M","-76,19 M","-20,79 M",0,"-37,55 M","-64,85 M","-19,71 M","-26,81 M","-25,08 M","-32,50 M","-3,84 M","-17,16 M","-8,00 M"
Lucro bruto,"26,91 M","16,72 M","-5,71 M","83,98 M","54,76 M","64,81 M","134,68 M","279,47 M","18,10 M","-2,87 M","17,18 M","274,60 M","67,46 M","17,69 M","34,00 M","47,95 M","198,21 M","396,79 M","132,98 M","119,99 M","228,67 M","69,57 M","73,30 M","62,59 M","42,69 M","55,47 M","60,64 M","41,63 M","17,89 M","33,56 M","143,10 M","61,21 M","34,18 M","28,22 M","32,13 M","28,93 M","7,52 M","7,83 M","3,60 M","-4,75 M","-17,79 M","7,74 M","15,23 M","181,51 M","13,14 M","1,47 M","7,95 M","6,32 M","6,88 M","-2,25 M","2,73 M","39,89 M","-3,61 M",0,"11,84 M","-3,87 M","3,12 M","3,70 M","16,72 M","11,50 M","12,47 M","13,09 M","2,76 M"
Despesas operacionais,"-37,46 M","-32,81 M","-31,65 M","-36,84 M","-28,44 M","-33,20 M","-34,70 M","-38,15 M","-29,41 M","-26,36 M","-32,16 M","-49,44 M","-22,03 M","-25,23 M","-21,21 M","-36,50 M","-16,45 M","-23,34 M","-9,46 M","-43,89 M","-14,40 M","-22,91 M","-16,20 M","-21,83 M","-9,46 M","-13,17 M","-12,65 M","-19,26 M","-9,51 M","-8,70 M","-11,84 M","-19,53 M","44,13 M","-9,90 M","-9,62 M","-18,42 M","-7,93 M","-10,59 M","-11,12 M","-4,29 M","-7,53 M","-8,01 M","-9,55 M","-18,20 M","-6,49 M","-11,38 M","-10,07 M","-18,54 M","-6,75 M","-6,70 M","-9,04 M","-19,97 M","-7,36 M",0,"-8,62 M","-13,63 M","-6,49 M","-6,64 M","-6,14 M","-9,65 M","-11,31 M","-4,20 M","-4,09 M"
Despesas com vendas,"-16,85 M","-13,88 M","-14,99 M","-20,06 M","-15,21 M","-10,65 M","-13,60 M","-18,52 M","-14,91 M","-6,48 M","-15,15 M","-13,80 M","-9,54 M","-10,16 M","-7,51 M","-17,20 M","-9,83 M","-12,23 M","-4,31 M","-14,00 M","-3,40 M","-5,12 M","-5,44 M","-9,15 M","1,26 M","-2,54 M","-3,87 M","-4,44 M","-3,19 M","-1,73 M","-1,17 M","-5,74 M","-2,26 M","-1,35 M","-737,00 Mil","-6,14 M","-417,00 Mil","-210,00 Mil","90,00 Mil","-1,55 M","-285,00 Mil","-269,00 Mil","-626,00 Mil","-8,32 M","-311,00 Mil","477,00 Mil","-848,00 Mil","-5,40 M","-1,67 M","-1,20 M","-1,97 M","-8,47 M","-535,00 Mil",--,"-1,99 M","-3,08 M","-79,00 Mil","-450,00 Mil","-402,00 Mil","-2,28 M","-83,00 Mil","-612,00 Mil","-12,00 Mil"
Despesas administrativas,"-16,40 M","-15,23 M","-16,59 M","-16,71 M","-13,80 M","-18,81 M","-18,17 M","-18,95 M","-14,52 M","-16,26 M","-15,80 M","-22,46 M","-12,29 M","-16,71 M","-14,33 M","-19,90 M","-10,08 M","-12,21 M","-13,78 M","-20,00 M","-9,64 M","-9,30 M","-7,91 M","-15,89 M","-8,99 M","-9,82 M","-9,19 M","-14,27 M","-7,46 M","-6,76 M","-10,32 M","-13,33 M","-6,83 M","-7,17 M","-7,62 M","-11,30 M","-5,96 M","-6,22 M","-7,45 M","-8,81 M","-6,22 M","-6,82 M","-7,09 M","-10,31 M","-5,64 M","-6,34 M","-7,08 M","-9,71 M","-6,64 M","-7,40 M","-6,63 M","-9,25 M","-6,72 M",--,"-6,67 M","-10,54 M","-6,41 M","-6,21 M","-5,74 M","-7,37 M","-11,23 M","-3,65 M","-4,07 M"
EBIT,"-10,55 M","-16,09 M","-37,36 M","47,14 M","26,32 M","31,61 M","99,98 M","241,32 M","-11,31 M","-29,23 M","-14,98 M","225,16 M","45,43 M","-7,55 M","12,79 M","11,45 M","181,75 M","373,45 M","123,52 M","76,10 M","214,27 M","46,66 M","57,09 M","40,76 M","33,23 M","42,30 M","47,99 M","22,37 M","8,38 M","24,86 M","131,26 M","41,68 M","78,31 M","18,32 M","22,50 M","10,51 M","-411,00 Mil","-2,77 M","-7,51 M","-9,04 M","-25,31 M","-267,00 Mil","5,68 M","163,30 M","6,65 M","-9,90 M","-2,12 M","-12,22 M","128,00 Mil","-8,96 M","-6,31 M","19,92 M","-10,98 M",0,"3,22 M","-17,49 M","-3,37 M","-2,93 M","10,58 M","1,85 M","1,16 M","8,90 M","-1,33 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-14,84 M","-1,08 M","-40,07 M","12,91 M","-17,34 M","-75,73 M","-228,00 Mil","-36,65 M","-20,46 M","25,97 M","36,86 M","7,95 M","-30,18 M","-21,34 M","49,46 M","10,47 M","-35,63 M","-40,93 M","13,22 M","-1,42 M","-33,07 M","-76,97 M","15,47 M","-5,84 M","-15,29 M","-10,86 M","1,24 M","14,76 M","-5,97 M","-14,56 M","18,69 M","1,28 M","-17,32 M","-1,37 M","8,85 M","11,24 M","5,78 M","3,07 M","13,35 M","-19,41 M","-6,90 M","1,18 M","63,50 M","2,87 M","13,76 M","10,37 M","5,64 M","-4,05 M","-6,32 M","6,13 M","2,67 M","-3,87 M","3,18 M",0,"-7,99 M","-14,12 M","-4,38 M","1,09 M","11,19 M","7,01 M","-867,00 Mil","541,00 Mil","2,59 M"
Antes dos impostos,"-25,39 M","-17,17 M","-77,43 M","60,05 M","8,98 M","-44,13 M","99,75 M","204,67 M","-31,77 M","-3,26 M","21,88 M","233,11 M","15,24 M","-28,89 M","62,25 M","21,93 M","146,13 M","332,52 M","136,75 M","74,68 M","181,20 M","-30,31 M","72,56 M","34,92 M","17,94 M","31,45 M","49,23 M","37,13 M","2,41 M","10,30 M","149,95 M","42,96 M","60,98 M","16,96 M","31,36 M","21,75 M","5,37 M","302,00 Mil","5,84 M","-28,45 M","-32,21 M","912,00 Mil","69,19 M","166,18 M","20,41 M","463,00 Mil","3,52 M","-16,27 M","-6,19 M","-2,82 M","-3,64 M","16,05 M","-7,80 M",0,"-4,77 M","-31,61 M","-7,75 M","-1,85 M","21,77 M","8,86 M","293,00 Mil","9,44 M","1,26 M"
