Conta,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,4T2018
Ativo total,"2,22 B","2,77 B","3,49 B","3,64 B","3,99 B","6,51 B","7,99 B","7,71 B","7,83 B","8,76 B","11,11 B","9,91 B","8,71 B","7,84 B","8,98 B","6,77 B","5,97 B","4,51 B","5,41 B","4,26 B","1,35 B","1,20 B","1,57 B","1,39 B","1,06 B"
Ativo circulante,"917,24 M","1,32 B","1,72 B","1,81 B","2,06 B","4,25 B","5,73 B","5,55 B","6,12 B","6,94 B","9,37 B","8,21 B","7,11 B","6,28 B","7,40 B","5,41 B","4,64 B","3,36 B","4,36 B","3,21 B","1,09 B","916,43 M","1,31 B","1,06 B","885,49 M"
Caixa e eq. de caixa,"57,51 M","139,43 M","251,71 M","475,48 M","199,82 M","393,26 M","352,58 M","738,31 M","607,77 M","873,15 M","624,27 M","1,08 B","743,16 M","390,36 M","510,31 M","643,56 M","541,39 M","269,60 M","221,26 M","301,11 M","60,51 M","39,33 M","134,51 M","97,92 M","80,73 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,"114,74 M","308,88 M","174,93 M",0,"52,01 M","46,25 M","67,38 M","112,40 M","43,83 M","26,27 M","85,32 M","93,86 M","27,72 M","17,04 M","6,37 M",0,0
Contas a receber,"553,23 M","892,47 M","996,60 M","988,14 M","684,70 M","2,31 B","3,96 B","3,33 B","3,02 B","3,31 B","5,97 B","4,66 B","3,32 B","2,87 B","4,34 B","2,64 B","1,63 B","1,28 B","2,12 B","1,75 B","555,68 M","495,28 M","850,02 M","466,73 M","563,15 M"
Estoques,"162,66 M","184,42 M","318,96 M","223,82 M","909,32 M","1,08 B","1,01 B","839,84 M","1,71 B","1,82 B","2,11 B","1,70 B","2,39 B","1,80 B","2,07 B","1,64 B","1,99 B","1,31 B","1,66 B","851,48 M","347,20 M","292,93 M","268,85 M","411,00 M","212,52 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"1,30 B","1,45 B","1,77 B","1,83 B","1,93 B","2,26 B","2,26 B","2,16 B","1,71 B","1,81 B","1,73 B","1,70 B","1,60 B","1,56 B","1,58 B","1,37 B","1,33 B","1,16 B","1,06 B","1,05 B","255,36 M","287,48 M","256,63 M","332,41 M","173,37 M"
Investimentos,"2,12 M","581,00 Mil","432,00 Mil","3,35 M","3,22 M","2,37 M","1,34 M","1,32 M","9,54 M","9,53 M","4,44 M","4,08 M","3,21 M","3,22 M","725,00 Mil","468,00 Mil","28,00 Mil","84,00 Mil","84,00 Mil","85,00 Mil","28,00 Mil","27,00 Mil","28,00 Mil","131,00 Mil",0
Imobilizado,"152,64 M","157,31 M","158,73 M","172,41 M","179,19 M","215,57 M","219,47 M","219,66 M","212,35 M","178,51 M","175,76 M","165,73 M","153,35 M","150,78 M","141,59 M","129,20 M","118,82 M","105,64 M","186,85 M","97,64 M","38,58 M","40,52 M","39,08 M","58,03 M","20,55 M"
Intangível,"931,57 M","950,98 M","1,00 B","1,03 B","1,10 B","1,20 B","1,24 B","1,24 B","1,26 B","1,25 B","1,23 B","1,22 B","1,16 B","1,16 B","1,16 B","1,03 B","1,02 B","892,38 M","701,12 M","793,56 M","102,49 M","102,13 M","99,84 M","255,40 M","81,70 M"
Passivo total,"2,22 B","2,77 B","3,49 B","3,64 B","3,99 B","6,51 B","7,99 B","7,71 B","7,83 B","8,76 B","11,11 B","9,91 B","8,71 B","7,84 B","8,98 B","6,77 B","5,97 B","4,51 B","5,41 B","4,26 B","1,35 B","1,20 B","1,57 B","1,39 B","1,06 B"
Passivo circulante,"419,35 M","428,23 M","5,29 B","5,21 B","5,17 B","4,69 B","5,85 B","6,15 B","5,89 B","6,46 B","8,50 B","7,19 B","6,12 B","6,09 B","7,04 B","4,86 B","3,99 B","3,24 B","4,19 B","3,11 B","1,06 B","840,75 M","1,17 B","956,01 M","760,87 M"
Fornecedores,"118,82 M","2,87 M","2,43 B","2,28 B","2,57 B","2,78 B","3,92 B","3,05 B","3,14 B","3,80 B","6,24 B","4,87 B","3,72 B","3,64 B","4,96 B","3,20 B","2,48 B","1,66 B","2,81 B","1,81 B","442,72 M","401,80 M","741,92 M","509,36 M","395,60 M"
Empréstimos e financ.,"203,61 M","270,48 M","1,46 B","1,49 B","1,36 B","806,93 M","874,13 M","1,54 B","1,50 B","1,53 B","1,53 B","1,62 B","1,35 B","1,44 B","1,28 B","1,05 B","823,48 M","882,20 M","751,07 M","841,78 M","330,18 M","243,61 M","179,11 M","247,97 M","176,88 M"
Passivo não circulante,"1,98 B","1,89 B","205,65 M","239,39 M","146,44 M","1,10 B","1,27 B","430,17 M","888,32 M","1,22 B","1,14 B","1,22 B","1,29 B","477,86 M","519,94 M","440,39 M","608,46 M","284,41 M","230,62 M","130,13 M","58,04 M","106,65 M","136,84 M","111,86 M","114,02 M"
Emprést. de longo prazo,"801,11 M","741,25 M","41,63 M","48,49 M","10,47 M","635,08 M","616,23 M","96,11 M","273,62 M","576,06 M","481,11 M","442,42 M","593,54 M","309,00 M","319,06 M","345,22 M","515,48 M","207,87 M","172,94 M","66,49 M","55,34 M","104,48 M","134,85 M","90,19 M","107,52 M"
Patrimônio líquido,"-185,46 M","453,75 M","-2,01 B","-1,81 B","-1,32 B","724,03 M","861,54 M","1,14 B","1,05 B","1,08 B","1,47 B","1,50 B","1,30 B","1,27 B","1,42 B","1,47 B","1,37 B","988,80 M","990,61 M","1,02 B","227,84 M","256,50 M","260,02 M","319,84 M","183,97 M"
Aos não controladores,0,0,0,0,"5,06 M","18,90 M","23,44 M","23,28 M","24,28 M","23,98 M","23,81 M","16,43 M","15,55 M","14,95 M","16,24 M","15,44 M","6,57 M",0,"4,28 M","4,48 M","42,07 M","68,72 M","70,23 M","59,02 M","60,66 M"
