Conta,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"440,75 M","228,28 M","341,20 M","741,01 M","1,22 B","1,06 B","1,60 B","2,41 B","2,37 B","1,83 B","2,79 B","3,41 B","3,07 B","1,97 B","3,15 B","2,52 B","1,84 B","1,01 B","1,20 B","1,15 B","464,42 M","555,24 M","465,23 M","829,38 M","242,68 M","132,78 M","350,11 M"
Custos,"-420,51 M","-243,40 M","-347,37 M","-759,88 M","-1,36 B","-1,03 B","-1,52 B","-2,17 B","-2,02 B","-1,86 B","-2,38 B","-2,86 B","-2,63 B","-1,84 B","-2,81 B","-2,09 B","-1,59 B","-1,07 B","-927,22 M","-996,88 M","-408,03 M","-536,12 M","-361,54 M","-627,06 M","-213,54 M","-118,06 M","-328,32 M"
Lucro bruto,"20,24 M","-15,12 M","-6,17 M","-18,86 M","-139,58 M","24,15 M","72,61 M","244,23 M","351,86 M","-24,92 M","406,42 M","545,43 M","447,22 M","127,74 M","333,19 M","430,67 M","254,75 M","-61,12 M","277,65 M","149,15 M","56,39 M","19,12 M","103,69 M","202,32 M","29,14 M","14,72 M","21,78 M"
Despesas operacionais,"-192,56 M","1,32 B","-141,07 M","-266,50 M","-1,26 B","-178,14 M","-206,38 M","-161,00 M","-203,88 M","-169,56 M","-237,79 M","-262,07 M","-271,79 M","-175,40 M","-216,47 M","-207,38 M","-147,62 M","-118,43 M","-103,62 M","-105,18 M","-42,70 M","-38,67 M","-45,67 M","-79,22 M","-21,94 M","-21,50 M","-25,55 M"
Despesas com vendas,"-102,60 M","-32,99 M","-68,22 M","-57,62 M","-948,98 M","-74,44 M","-115,51 M","-22,35 M","-100,39 M","-101,21 M","-128,82 M","-162,63 M","-134,59 M","-75,47 M","-104,42 M","-124,34 M","-61,97 M","-49,14 M","-40,04 M","-65,58 M","-13,07 M","-16,71 M","-14,55 M","-25,96 M","-12,71 M","-12,42 M","-10,21 M"
Despesas administrativas,"-129,41 M","-175,75 M","-63,93 M","-73,93 M","-117,76 M","-94,11 M","-101,83 M","-144,65 M","-103,54 M","-60,16 M","-105,43 M","-75,06 M","-130,54 M","-100,65 M","-116,30 M","-77,79 M","-84,72 M","-70,00 M","-62,95 M","-35,62 M","-36,77 M","-23,92 M","-31,99 M","-59,81 M","-13,90 M","-8,99 M","-13,97 M"
EBIT,"-172,32 M","1,30 B","-147,24 M","-285,36 M","-1,40 B","-153,99 M","-133,78 M","83,23 M","147,98 M","-194,48 M","168,63 M","283,37 M","175,44 M","-47,66 M","116,72 M","223,28 M","107,13 M","-179,55 M","174,03 M","43,97 M","13,68 M","-19,55 M","58,02 M","123,10 M","7,21 M","-6,78 M","-3,77 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-469,64 M","1,16 B","-55,22 M","-121,03 M","-433,90 M","-146,31 M","-166,12 M","-230,31 M","-116,02 M","-210,00 M","-137,51 M","-113,35 M","-150,56 M","-156,98 M","-150,52 M","-83,72 M","-31,39 M","139,09 M","-210,07 M","-80,17 M","-13,14 M","-34,77 M","-649,00 Mil","-43,26 M","-7,02 M","-9,82 M","-3,48 M"
Antes dos impostos,"-641,97 M","2,46 B","-202,46 M","-406,39 M","-1,84 B","-300,30 M","-299,90 M","-147,09 M","31,96 M","-404,48 M","31,11 M","170,01 M","24,88 M","-204,64 M","-33,80 M","139,57 M","75,73 M","-40,47 M","-36,04 M","3,86 M","-14,27 M","-54,32 M","57,37 M","79,84 M","188,00 Mil","-16,60 M","-7,26 M"
