Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"5,45","2,56","1,60","2,64","-3,15","-7,82","-6,02","-7,29","-48,70","-11,36","-15,48","26,01","404,38","197,99","-22,05","52,74","54,13"
P/VP,"0,75","1,57","1,71","-30,06","-3,32","51,80","9,42","10,02","11,71","14,39","1,76","1,45","2,00","2,93","4,65","3,84","4,25"
P/EBIT,"6,86","2,64","1,12","2,08","-5,45","-15,48","-6,41","-7,66","-61,81","-12,41","-17,66","12,61","195,32","30,61","-18,55","24,14","27,61"
P/EBIT *,"7,46","2,80","1,13","2,12","-5,27","-11,90","-6,02","-7,13","-49,89","-11,71","-23,16","9,49","-52,16","54,11","-15,13","35,70","-585,20"
PSR,"0,37","0,53","0,23","0,57","1,35","0,88","2,23","5,14","8,71","4,20","1,05","0,66","0,92","1,08","1,51","1,52","2,32"
P/Ativos,"0,37","0,69","0,31","0,52","0,75","0,62","0,98","1,57","3,60","2,92","0,56","0,25","0,56","0,77","1,07","1,04","1,04"
LPA,"4,59","17,58","10,06","7,58","-8,73","-2,80","-4,98","-6,44","-2,46","-8,01","-1,54","0,58","0,05","0,13","-1,59","0,66","0,65"
VPA,"33,24","28,61","9,43","-0,67","-8,28","0,42","3,19","4,69","10,25","6,32","13,59","10,35","9,75","8,88","7,53","9,12","8,24"
EBIT por ação,"3,64","17,06","14,36","9,61","-5,05","-1,41","-4,69","-6,13","-1,94","-7,33","-1,35","1,19","0,10","0,85","-1,89","1,45","1,27"
EBIT por ação *,"3,35","16,05","14,25","9,42","-5,22","-1,84","-4,98","-6,59","-2,41","-7,77","-1,03","1,58","-0,37","0,48","-2,31","0,98","-0,06"
Ativo por ação,"67,28","65,13","52,67","38,79","36,70","35,52","30,74","29,88","33,37","31,21","42,52","60,79","35,12","33,74","32,71","33,64","33,68"
Receita líquida por ação,"66,73","85,02","71,34","35,38","20,34","25,00","13,44","9,14","13,77","21,64","22,77","22,89","21,20","24,07","23,22","23,02","15,09"
Margem bruta,"13,58%","24,75%","30,40%","45,89%","28,13%","26,77%","23,08%","16,85%","38,79%","49,96%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%"
Margem líquida,"6,88%","20,68%","14,10%","21,41%","-42,95%","-11,20%","-37,06%","-70,47%","-17,89%","-37,01%","-7,08%","2,63%","0,23%","0,55%","-6,84%","2,88%","4,29%"
Margem EBIT,"5,46%","20,06%","20,13%","27,17%","-24,82%","-5,66%","-34,86%","-67,08%","-14,10%","-33,87%","-5,94%","5,20%","0,47%","3,53%","-8,13%","6,30%","8,40%"
Margem EBIT *,"5,02%","18,87%","19,98%","26,62%","-25,68%","-7,36%","-37,08%","-72,12%","-17,46%","-35,91%","-4,53%","6,91%","-1,76%","2,00%","-9,96%","4,26%","-0,40%"
Margem EBITDA,"6,24%","21,06%","21,27%","29,38%","-20,21%","-2,46%",--%,"-57,63%","-7,75%",--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA *,"5,80%","19,87%","21,12%","28,84%","-21,06%","-4,16%",--%,"-62,67%","-11,12%",--%,--%,--%,--%,--%,--%,--%,--%
Margem operacional,"8,18%","19,58%","18,37%","22,67%","-42,95%","-11,20%","-37,06%","-70,47%","-17,89%","-36,85%","-6,71%","2,63%","0,80%","1,17%","-6,84%","3,87%","5,51%"
ROE,"13,81%","61,47%","106,69%","-1.138,68%","105,53%","-662,49%","-156,37%","-137,44%","-24,04%","-126,69%","-11,86%","5,82%","0,49%","1,48%","-21,07%","7,28%","7,85%"
ROA,"0,07","0,27","0,19","0,20","-0,24","-0,08","-0,16","-0,22","-0,07","-0,26","-0,04","0,01","0,00","0,00","-0,05","0,02","0,02"
ROIC,"6,41%","34,51%","35,18%","30,96%","-16,13%","-5,04%","-17,92%","-22,61%","-6,86%","-25,80%","-3,67%","2,18%","0,34%","2,82%","-6,69%","5,06%","4,28%"
ROIC *,"5,90%","32,46%","34,92%","30,34%","-16,68%","-6,55%","-19,07%","-24,30%","-8,49%","-27,35%","-2,80%","2,89%","-1,27%","1,59%","-8,20%","3,42%","-0,20%"
Giro do ativo,"0,99","1,31","1,35","0,91","0,55","0,70","0,44","0,31","0,41","0,69","0,54","0,38","0,60","0,71","0,71","0,68","0,45"
EBIT *,28 mi,137 mi,121 mi,80 mi,-45 mi,-16 mi,-43 mi,-57 mi,-21 mi,-67 mi,-9 mi,13 mi,-4 mi,4 mi,-20 mi,8 mi,-1 mi
EBITDA,35 mi,153 mi,129 mi,88 mi,-36 mi,-6 mi,--,-46 mi,-10 mi,--,--,--,--,--,--,--,--
EBITDA *,33 mi,144 mi,128 mi,87 mi,-37 mi,-9 mi,--,-49 mi,-14 mi,--,--,--,--,--,--,--,--
Liquidez corrente,"2,61","4,61","1,99","1,20","0,96","0,72","0,71","0,69","1,05","0,64","0,89","1,00","0,57","0,37","0,48","0,74","1,15"
Liquidez seca,"2,61","4,61","1,99","1,20","0,96","0,71","0,69","0,68","1,05","0,63","0,88","0,99","0,57","0,36","0,47","0,73","1,14"
Liquidez imediata,"0,80","1,19","0,48","0,48","0,23","0,44","0,46","0,43","0,74","0,32","0,38","0,32","0,36","0,13","0,14","0,22","0,18"
Dívida bruta,2 mi,4 mi,3 mi,4 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi
Dívida líquida,-67 mi,-87 mi,-55 mi,-43 mi,-23 mi,-51 mi,-28 mi,-15 mi,-34 mi,-15 mi,-32 mi,-38 mi,-30 mi,-11 mi,-16 mi,-23 mi,-19 mi
Capital de giro,140 mi,275 mi,119 mi,19 mi,-5 mi,-32 mi,-18 mi,-11 mi,2 mi,-17 mi,-10 mi,-1 mi,-36 mi,-51 mi,-42 mi,-17 mi,6 mi
Endividamento geral,"102,40%","127,66%","458,69%","-5.929,78%","-543,46%","8.302,38%","864,99%","537,39%","225,63%","393,59%","212,79%","487,12%","260,14%","279,86%","334,16%","269,01%","308,76%"
