Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"122,59 M","184,06 M","109,38 M","154,09 M","225,88 M","186,41 M","125,49 M","188,57 M","214,19 M","117,95 M","116,13 M","161,23 M","155,48 M","37,43 M","58,94 M","50,45 M","61,51 M","48,21 M","38,99 M","25,03 M","78,84 M","55,52 M","24,54 M","54,68 M","30,44 M","19,77 M","44,92 M","19,71 M","18,19 M","25,04 M","18,23 M","16,64 M","47,59 M","32,22 M","19,95 M","17,93 M","58,10 M","58,87 M","32,43 M","35,52 M","71,77 M","41,52 M","32,83 M","37,55 M","86,42 M","46,65 M","35,37 M","27,05 M","75,00 M","33,15 M","38,04 M","34,93 M","79,83 M","35,58 M","49,11 M","39,74 M","52,44 M","52,25 M","43,81 M","31,32 M","65,30 M","45,53 M","46,17 M","32,76 M"
Custos,"-103,37 M","-158,50 M","-81,70 M","-149,10 M","-150,04 M","-163,73 M","-109,42 M","-123,37 M","-117,52 M","-98,81 M","-98,23 M","-109,65 M","-57,74 M","-39,17 M","-40,26 M","-26,42 M","-38,06 M","-24,26 M","-31,36 M","-31,19 M","-61,17 M","-31,08 M","-25,21 M","-38,95 M","-25,67 M","-19,00 M","-24,09 M","-19,58 M","-16,54 M","-12,19 M","-11,88 M","-15,50 M","-38,09 M","-11,02 M","-12,54 M","-10,38 M","-34,11 M","-21,13 M","-17,48 M","-19,81 M","-53,19 M","-21,23 M","-22,40 M","-23,38 M",0,0,0,0,0,0,0,0,0,0,0,0,"17,87 M","-5,99 M",0,0,"12,39 M","-5,50 M",0,0
Lucro bruto,"19,22 M","25,55 M","27,68 M","4,99 M","75,84 M","22,69 M","16,07 M","65,21 M","96,67 M","19,15 M","17,90 M","51,58 M","97,74 M","-1,74 M","18,68 M","24,03 M","23,45 M","23,95 M","7,64 M","-6,16 M","17,67 M","24,44 M","-666,00 Mil","15,73 M","4,77 M","775,00 Mil","20,84 M","126,00 Mil","1,65 M","12,85 M","6,35 M","1,15 M","9,49 M","21,20 M","7,41 M","7,55 M","23,99 M","37,74 M","14,95 M","15,70 M","18,58 M","20,30 M","10,43 M","14,16 M","86,42 M","46,65 M","35,37 M","27,05 M","75,00 M","33,15 M","38,04 M","34,93 M","79,83 M","35,58 M","49,11 M","39,74 M","70,31 M","46,27 M","43,81 M","31,32 M","77,69 M","40,03 M","46,17 M","32,76 M"
Despesas operacionais,"9,62 M","-21,11 M","-17,28 M","-17,56 M","-3,79 M","-7,86 M","-3,19 M","-19,23 M","-10,19 M","-9,84 M","-21,29 M","-21,28 M","-13,18 M","-8,84 M","-21,97 M","-12,59 M","-28,67 M","-25,04 M","-19,06 M","-19,25 M","-16,99 M","-19,54 M","-11,54 M","-21,19 M","-2,52 M","-20,33 M","-21,49 M","-22,19 M","-16,06 M","-18,57 M","-20,16 M","-19,61 M","-3,55 M","-19,49 M","-17,81 M","-21,39 M","-83,24 M","-20,63 M","-21,20 M","-29,94 M","-26,78 M","-18,20 M","-16,77 M","-18,70 M","-68,48 M","-41,38 M","-38,16 M","-37,44 M","-56,80 M","-36,87 M","-42,10 M","-44,50 M","-59,74 M","-42,53 M","-45,85 M","-50,30 M","-76,53 M","-55,85 M","-43,98 M","-38,14 M","-71,51 M","-38,50 M","-36,11 M","-38,14 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"7,83 M","-21,16 M","-17,35 M","-18,13 M","-7,53 M","-9,71 M","-5,89 M","-19,57 M","-10,25 M","-9,81 M","-21,52 M","-21,93 M","-14,00 M","-9,90 M","-22,01 M","-12,33 M","-29,45 M","-25,03 M","-19,72 M","-19,29 M","-18,80 M","-21,02 M","-11,69 M","-21,38 M","-3,04 M","-21,35 M","-21,75 M","-22,95 M","-16,75 M","-19,96 M","-20,77 M","-20,84 M","-4,50 M","-20,93 M","-18,73 M","-22,03 M","-86,52 M","-20,67 M","-21,28 M","-30,31 M","-26,33 M","-17,83 M","-16,77 M","-18,95 M","-67,71 M","-41,48 M","-38,81 M","-36,18 M","-60,84 M","-36,87 M","-42,10 M","-44,98 M","-62,89 M","-42,53 M","-45,85 M","-50,30 M","-78,05 M","-56,59 M","-45,47 M","-38,03 M","-71,81 M","-39,88 M","-37,93 M","-38,66 M"
EBIT,"28,84 M","4,45 M","10,40 M","-12,57 M","72,05 M","14,83 M","12,88 M","45,97 M","86,48 M","9,31 M","-3,38 M","30,30 M","84,56 M","-10,59 M","-3,29 M","11,44 M","-5,22 M","-1,08 M","-11,42 M","-25,41 M","676,00 Mil","4,90 M","-12,20 M","-5,46 M","2,24 M","-19,55 M","-652,00 Mil","-22,07 M","-14,41 M","-5,72 M","-13,80 M","-18,46 M","5,95 M","1,71 M","-10,40 M","-13,84 M","-59,25 M","17,11 M","-6,25 M","-14,24 M","-8,20 M","2,09 M","-6,34 M","-4,54 M","17,94 M","5,27 M","-2,79 M","-10,39 M","18,20 M","-3,71 M","-4,06 M","-9,58 M","20,10 M","-6,95 M","3,25 M","-10,55 M","-6,22 M","-9,58 M","-175,00 Mil","-6,82 M","6,17 M","1,53 M","10,05 M","-5,37 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"3,17 M","265,00 Mil","1,41 M","10,65 M","2,81 M","-1,08 M","-3,46 M","-1,78 M","-3,42 M","-4,14 M","-99,00 Mil","-3,06 M","-6,46 M","-3,97 M","-3,50 M","327,00 Mil","-17,50 M","-4,29 M","-6,37 M","-3,33 M","-9,31 M","-1,97 M","-409,00 Mil","-150,00 Mil","-521,00 Mil","-792,00 Mil","-502,00 Mil","-716,00 Mil","-775,00 Mil","-714,00 Mil","-758,00 Mil","-395,00 Mil","-621,00 Mil","-1,29 M","-1,14 M","-1,42 M","-1,29 M","-2,26 M","-1,58 M","-391,00 Mil","730,00 Mil","-1,17 M","5,29 M","-912,00 Mil","-1,41 M","-1,49 M","-894,00 Mil","-1,09 M","-717,00 Mil","2,92 M","-654,00 Mil","-944,00 Mil","-635,00 Mil","-985,00 Mil","-1,06 M","-2,18 M","1,14 M","3,36 M","-493,00 Mil","-1,44 M","-1,51 M","-1,34 M","-1,08 M","-842,00 Mil"
Antes dos impostos,"32,01 M","4,71 M","11,81 M","-1,92 M","74,86 M","13,75 M","9,43 M","44,20 M","83,06 M","5,17 M","-3,48 M","27,24 M","78,10 M","-14,56 M","-6,79 M","11,77 M","-22,72 M","-5,38 M","-17,78 M","-28,74 M","-8,63 M","2,93 M","-12,61 M","-5,61 M","1,72 M","-20,34 M","-1,15 M","-22,78 M","-15,19 M","-6,44 M","-14,56 M","-18,86 M","5,33 M","424,00 Mil","-11,54 M","-15,26 M","-60,55 M","14,86 M","-7,83 M","-14,63 M","-7,47 M","923,00 Mil","-1,05 M","-5,45 M","16,53 M","3,79 M","-3,68 M","-11,49 M","17,49 M","-796,00 Mil","-4,72 M","-10,52 M","19,46 M","-7,94 M","2,20 M","-12,73 M","-5,09 M","-6,22 M","-668,00 Mil","-8,27 M","4,66 M","195,00 Mil","8,97 M","-6,21 M"
