Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,4T2018
Ativo total,"3,39 B","3,37 B","3,78 B","3,34 B","3,43 B","3,48 B","3,43 B","3,64 B","3,47 B","3,40 B","3,46 B","3,58 B","3,68 B","3,69 B","3,74 B","4,19 B","3,97 B","4,53 B","4,15 B","3,95 B","3,75 B","3,72 B","3,63 B","3,31 B","3,06 B","3,18 B","2,89 B"
Ativo circulante,"2,45 B","2,35 B","2,80 B","2,40 B","2,43 B","2,45 B","2,25 B","2,51 B","2,34 B","2,29 B","2,40 B","2,47 B","2,58 B","2,57 B","2,50 B","3,00 B","2,77 B","3,34 B","3,01 B","2,82 B","2,76 B","2,72 B","2,69 B","2,37 B","2,12 B","2,26 B","2,11 B"
Caixa e eq. de caixa,"290,42 M","375,87 M","617,72 M","237,03 M","338,08 M","427,96 M","315,82 M","421,62 M","401,23 M","535,62 M","339,18 M","356,85 M","315,42 M","141,94 M","103,30 M","303,75 M","110,57 M","733,97 M","461,12 M","172,25 M","276,57 M","382,31 M","315,04 M","651,53 M","455,22 M","292,27 M","398,91 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,00 M","2,00 M"
Contas a receber,"1,09 B","1,01 B","895,35 M","967,73 M","1,69 B","944,47 M","872,99 M","950,17 M","1,06 B","959,62 M","1,13 B","1,01 B","1,28 B","1,44 B","1,14 B","1,27 B","1,41 B","1,41 B","1,52 B","1,59 B","1,10 B","1,40 B","1,24 B","878,21 M","788,96 M","1,24 B","969,14 M"
Estoques,"723,75 M","624,85 M","847,72 M","728,07 M",0,"684,09 M","813,89 M","913,69 M","676,40 M","583,45 M","702,20 M","834,58 M","729,44 M","734,30 M","953,64 M","1,08 B","934,08 M","852,76 M","713,37 M","743,43 M","952,04 M","615,26 M","773,72 M","494,28 M","522,38 M","421,84 M","454,67 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"943,70 M","1,02 B","970,54 M","936,44 M","1,00 B","1,03 B","1,18 B","1,12 B","1,13 B","1,11 B","1,06 B","1,11 B","1,10 B","1,12 B","1,24 B","1,19 B","1,20 B","1,19 B","1,14 B","1,13 B","988,94 M","991,63 M","939,54 M","937,28 M","931,46 M","923,88 M","782,58 M"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"62,52 M","68,94 M","66,82 M","76,44 M","81,89 M","87,19 M","86,98 M","92,52 M","101,15 M","108,95 M","109,73 M","115,24 M","125,89 M","137,02 M","142,22 M","154,65 M","161,23 M","167,22 M","162,26 M","160,08 M","150,42 M","151,47 M","147,72 M","143,31 M","139,64 M","135,60 M","20,01 M"
