Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018
P/L,"1,63","1,96","3,38","4,44","3,39","2,44",-,-,-
P/VP,"0,36","0,42","0,31","0,34","0,17","0,46",-,-,-
P/EBIT,"1,08","1,30","2,60","2,51","1,24","1,72",-,-,-
P/EBIT *,"3,80","4,85","3,73","3,03","1,33","2,47",-,-,-
PSR,"0,10","0,12","0,09","0,09","0,05","0,12",-,-,-
P/Ativos,"0,16","0,19","0,14","0,16","0,07","0,16",-,-,-
LPA,"3,57","3,47","1,52","1,28","0,79","3,00",-,-,-
VPA,"16,02","16,17","16,56","16,66","15,63","15,75",-,-,-
EBIT por ação,"5,36","5,25","1,97","2,26","2,16","4,25",-,-,-
EBIT por ação *,"1,53","1,40","1,37","1,87","2,03","2,96",-,-,-
Ativo por ação,"35,33","35,11","36,27","35,39","38,44","47,20",-,-,-
Receita líquida por ação,"56,97","57,36","57,54","61,01","53,44","59,80",-,-,-
Margem bruta,"11,75%","11,45%","11,91%","11,59%","15,07%","14,08%","15,63%","15,78%","17,07%"
Margem líquida,"6,26%","6,04%","2,64%","2,09%","1,49%","5,02%","3,55%","2,71%","2,29%"
Margem EBIT,"9,41%","9,15%","3,42%","3,70%","4,04%","7,10%","5,73%","4,84%","5,01%"
Margem EBIT *,"2,68%","2,45%","2,38%","3,06%","3,80%","4,95%","5,58%","4,75%","4,88%"
Margem EBITDA,"9,86%","10,03%","4,38%","4,81%","5,48%","8,32%","6,96%","6,00%","6,00%"
Margem EBITDA *,"3,13%","3,32%","3,34%","4,17%","5,23%","6,17%","6,81%","5,92%","5,87%"
Margem operacional,"7,71%","7,41%","1,83%","1,69%","1,02%","5,43%","4,07%","2,99%","2,71%"
ROE,"22,27%","21,44%","9,16%","7,66%","5,08%","19,07%","14,83%","10,37%","6,82%"
ROA,"0,10","0,10","0,04","0,04","0,02","0,06","0,05","0,03","0,02"
ROIC,"27,41%","27,01%","9,77%","11,11%","8,73%","24,40%","17,44%","11,84%","11,11%"
ROIC *,"7,81%","7,22%","6,81%","9,18%","8,19%","17,01%","16,99%","11,63%","10,83%"
Giro do ativo,"1,61","1,63","1,59","1,72","1,39","1,27","1,27","1,17","0,94"
EBIT *,146 mi,134 mi,131 mi,179 mi,194 mi,284 mi,263 mi,176 mi,132 mi
EBITDA,538 mi,551 mi,241 mi,281 mi,280 mi,477 mi,328 mi,222 mi,163 mi
EBITDA *,171 mi,182 mi,184 mi,243 mi,268 mi,354 mi,321 mi,219 mi,159 mi
Liquidez corrente,"1,74","1,80","1,83","2,02","1,68","1,37","1,35","1,39","1,34"
Liquidez seca,"1,23","1,32","1,32","1,50","1,20","1,02","1,04","1,13","1,05"
Liquidez imediata,"0,21","0,29","0,32","0,47","0,09","0,30","0,19","0,18","0,25"
Dívida bruta,425 mi,416 mi,505 mi,543 mi,629 mi,395 mi,443 mi,502 mi,465 mi
Dívida líquida,134 mi,40 mi,77 mi,8 mi,487 mi,-339 mi,61 mi,207 mi,65 mi
Capital de giro,1.041 mi,1.041 mi,1.110 mi,1.154 mi,1.037 mi,910 mi,702 mi,628 mi,536 mi
Endividamento geral,"120,50%","117,13%","119,02%","112,35%","145,94%","199,59%","228,68%","227,68%","216,07%"
