Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"1,16 B","1,50 B","1,41 B","1,39 B","1,20 B","1,39 B","1,40 B","1,31 B","1,42 B","1,43 B","1,52 B","1,54 B","1,36 B","1,36 B","1,13 B","1,27 B","1,37 B","1,66 B","1,43 B","1,53 B","1,13 B","1,66 B","1,40 B","830,03 M","834,82 M","1,18 B","939,33 M","866,87 M","723,91 M"
Custos,"-1,00 B","-1,32 B","-1,26 B","-1,24 B","-1,05 B","-1,21 B","-1,25 B","-1,15 B","-1,25 B","-1,25 B","-1,36 B","-1,37 B","-1,19 B","-1,14 B","-954,04 M","-1,09 B","-1,18 B","-1,46 B","-1,21 B","-1,31 B","-947,26 M","-1,39 B","-1,16 B","-710,69 M","-723,09 M","-1,02 B","-792,19 M","-707,52 M","-607,62 M"
Lucro bruto,"158,03 M","184,10 M","150,49 M","149,48 M","146,42 M","177,25 M","151,62 M","160,66 M","167,95 M","175,28 M","158,17 M","169,45 M","175,39 M","223,64 M","173,89 M","182,15 M","192,92 M","192,39 M","214,34 M","220,91 M","180,30 M","269,96 M","237,25 M","119,34 M","111,72 M","162,91 M","147,14 M","159,35 M","116,30 M"
Despesas operacionais,"-109,96 M","-139,93 M","230,05 M","-108,03 M","-108,81 M","-136,04 M","-96,17 M","-113,68 M","-122,75 M","-101,45 M","-116,91 M","-117,22 M","-126,08 M","-170,00 M","-134,99 M","-130,23 M","-129,97 M","-150,62 M","-127,14 M","-14,34 M","-108,34 M","-154,09 M","-125,06 M","-98,97 M","-89,79 M","-120,87 M","-96,31 M","-96,50 M","-92,40 M"
Despesas com vendas,"-80,74 M","-120,84 M","-82,78 M","-77,75 M","-85,74 M","-101,99 M","-112,48 M","-85,99 M","-91,63 M","-101,88 M","-84,14 M","-90,20 M","-98,28 M","-149,80 M","-97,65 M","-92,17 M","-97,02 M","-125,57 M","-90,66 M","-86,75 M","-77,54 M","-117,92 M","-89,81 M","-74,26 M","-59,94 M","-88,14 M","-68,26 M","-66,40 M","-61,47 M"
Despesas administrativas,"-29,95 M","-38,83 M","-33,38 M","-31,27 M","-25,24 M","-32,64 M","-38,02 M","-32,55 M","-30,57 M","-32,38 M","-32,65 M","-30,50 M","-29,19 M","-32,56 M","-31,36 M","-39,52 M","-37,84 M","-40,55 M","-35,98 M","-34,75 M","-32,02 M","-42,77 M","-33,74 M","-23,00 M","-33,49 M","-33,73 M","-30,31 M","-30,31 M","-30,67 M"
EBIT,"48,07 M","44,17 M","380,54 M","41,46 M","37,61 M","41,21 M","55,45 M","46,98 M","45,20 M","73,83 M","41,26 M","52,23 M","49,31 M","53,64 M","38,90 M","51,92 M","62,95 M","41,77 M","87,20 M","206,57 M","71,96 M","115,88 M","112,20 M","20,37 M","21,94 M","42,04 M","50,84 M","62,84 M","23,89 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-20,73 M","-19,20 M","-24,87 M","-27,85 M","-23,94 M","-28,78 M","-18,31 M","-21,44 M","-19,28 M","-23,49 M","-20,72 M","-36,65 M","-36,66 M","-53,25 M","-39,38 M","-21,54 M","-40,90 M","-54,58 M","-27,26 M","2,40 M","-16,21 M","-23,61 M","-16,96 M","-18,10 M","-19,45 M","-16,08 M","-16,41 M","-18,02 M","-18,27 M"
Antes dos impostos,"27,34 M","24,97 M","355,68 M","13,60 M","13,67 M","12,43 M","37,13 M","25,54 M","25,92 M","50,34 M","20,55 M","15,59 M","12,65 M","398,00 Mil","-483,00 Mil","30,38 M","22,05 M","-12,80 M","59,94 M","208,97 M","55,75 M","92,26 M","95,24 M","2,27 M","2,48 M","25,96 M","34,42 M","44,83 M","5,62 M"
Imposto,"-2,65 M","14,22 M","-93,07 M","2,25 M","1,39 M","47,26 M","-16,20 M","-10,77 M","24,23 M","19,41 M","-1,03 M","1,28 M","3,67 M","23,00 M","6,69 M","-6,32 M","435,00 Mil","33,89 M","8,50 M","-56,64 M","-9,38 M","-19,29 M","-18,20 M","6,10 M","6,77 M","4,21 M","-9,06 M","-9,77 M","4,42 M"
Op. continuadas,"24,69 M","39,19 M","262,60 M","15,86 M","15,06 M","59,69 M","20,93 M","14,77 M","50,14 M","69,75 M","19,52 M","16,86 M","16,33 M","23,39 M","6,21 M","24,06 M","22,48 M","21,08 M","68,44 M","152,34 M","46,37 M","72,97 M","77,05 M","8,37 M","9,26 M","30,17 M","25,36 M","35,05 M","10,04 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"24,69 M","39,19 M","262,60 M","15,86 M","15,06 M","59,69 M","20,93 M","14,77 M","50,14 M","69,75 M","19,52 M","16,86 M","16,33 M","23,39 M","6,21 M","24,06 M","22,48 M","21,08 M","68,44 M","152,34 M","46,37 M","72,97 M","77,05 M","8,37 M","9,26 M","30,17 M","25,36 M","35,05 M","10,04 M"
Dos controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"152,34 M","46,37 M","72,97 M","77,05 M","8,37 M","9,26 M","30,17 M","25,36 M","35,05 M","10,04 M"
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
