Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"1,23 B","1,26 B","1,12 B","1,10 B","1,09 B","1,12 B","1,04 B","1,02 B","931,80 M","1,01 B","896,15 M","926,36 M","902,49 M","1,10 B","1,09 B","1,06 B","927,21 M","1,07 B","987,90 M","1,04 B","850,46 M","881,52 M","943,46 M","639,07 M","679,25 M","997,73 M","800,63 M","846,75 M","819,02 M","733,30 M","930,77 M","890,58 M","902,08 M","1,10 B","951,17 M","859,59 M","807,46 M","1,07 B","982,83 M","1,01 B","993,76 M","1,11 B","1,09 B","933,85 M","925,56 M","886,82 M","903,75 M","874,36 M","873,10 M","964,89 M","865,02 M","831,13 M","764,92 M","836,57 M","794,18 M","727,29 M","648,94 M","700,75 M","689,52 M","629,79 M","554,64 M","611,28 M","580,67 M","540,35 M","499,58 M"
Custos,"-582,62 M","-622,57 M","-530,09 M","-498,57 M","-532,00 M","-749,06 M","-543,07 M","-537,07 M","-506,42 M","-642,57 M","-533,01 M","-548,74 M","-513,61 M","-687,33 M","-573,64 M","-507,57 M","-485,61 M","-610,33 M","-511,71 M","-461,65 M","-408,22 M","-454,85 M","-449,86 M","-283,81 M","-343,39 M","-463,46 M","-387,52 M","-415,44 M","-409,06 M","-276,26 M","-526,60 M","-472,72 M","-493,25 M","-619,78 M","-537,02 M","-468,22 M","-457,23 M","-610,80 M","-564,24 M","-564,52 M","-514,56 M","-641,17 M","-636,34 M","-540,46 M","-506,19 M","-499,59 M","-562,94 M","-519,45 M","-504,51 M","-589,18 M","-510,79 M","-478,98 M","-426,44 M","-486,85 M","-472,06 M","-413,99 M","-361,27 M","-405,54 M","-376,30 M","-343,39 M","-295,54 M","-340,55 M","-320,70 M","-294,35 M","-258,18 M"
Lucro bruto,"646,84 M","632,66 M","585,72 M","602,79 M","560,48 M","373,36 M","494,54 M","479,42 M","425,38 M","366,58 M","363,14 M","377,62 M","388,88 M","416,05 M","516,28 M","553,78 M","441,59 M","458,65 M","476,19 M","579,57 M","442,24 M","426,67 M","493,59 M","355,26 M","335,86 M","534,27 M","413,11 M","431,32 M","409,96 M","457,04 M","404,17 M","417,86 M","408,83 M","483,86 M","414,15 M","391,37 M","350,23 M","455,11 M","418,59 M","447,38 M","479,20 M","470,70 M","448,90 M","393,39 M","419,38 M","387,23 M","340,81 M","354,91 M","368,60 M","375,71 M","354,23 M","352,15 M","338,48 M","349,72 M","322,12 M","313,30 M","287,67 M","295,21 M","313,22 M","286,40 M","259,10 M","270,73 M","259,97 M","245,99 M","241,40 M"
Despesas operacionais,"-436,48 M","-471,55 M","-395,71 M","-484,22 M","-435,42 M","-417,77 M","-439,26 M","-471,87 M","-392,56 M","-1,99 B","-378,69 M","-442,71 M","-676,94 M","-429,17 M","-436,12 M","-466,60 M","-394,70 M","-324,99 M","-323,71 M","-395,72 M","-293,02 M","-291,52 M","-393,83 M","-254,53 M","-375,36 M","-369,45 M","-319,57 M","-366,90 M","-311,86 M","-285,08 M","-200,48 M","-379,62 M","-264,83 M","-462,00 M","-329,02 M","-342,82 M","-126,35 M","-334,51 M","-315,54 M","-360,24 M","-317,64 M","-389,84 M","-343,60 M","-341,57 M","-292,06 M","-270,20 M","-281,82 M","-330,18 M","-236,68 M","-288,09 M","-287,83 M","-281,48 M","-237,77 M","-274,88 M","-239,41 M","-261,82 M","-204,94 M","-245,20 M","-222,92 M","-203,28 M","-170,71 M","-200,43 M","-169,13 M","-161,61 M","-162,70 M"
Despesas com vendas,"-307,29 M","-378,35 M","-291,93 M","-359,92 M","-326,84 M","-327,49 M","-322,60 M","-375,79 M","-279,21 M","-249,63 M","-273,16 M","-367,95 M","-298,85 M","-283,13 M","-304,54 M","-349,19 M","-257,80 M","-263,38 M","-269,58 M","-336,56 M","-241,01 M","-144,44 M","-300,67 M","-263,07 M","-234,25 M","-263,14 M","-249,82 M","-286,45 M","-239,31 M","-237,69 M","-283,99 M","-282,89 M","-244,40 M","-266,69 M","-256,35 M","-277,57 M","-220,24 M","-243,00 M","-234,12 M","-277,35 M","-221,49 M","-263,38 M","-254,38 M","-252,12 M","-214,85 M","-191,54 M","-221,20 M","-248,57 M","-204,33 M","-217,57 M","-218,64 M","-207,65 M","-179,40 M","-193,02 M","-189,10 M","-204,39 M","-159,44 M","-185,98 M","-175,77 M","-171,56 M","-129,93 M","-151,37 M","-130,73 M","-140,05 M","-117,26 M"
Despesas administrativas,"-71,53 M","-76,05 M","-63,76 M","-63,83 M","-70,19 M","-62,44 M","-64,63 M","-67,89 M","-68,85 M","-59,76 M","-46,81 M","-68,66 M","-57,09 M","-48,64 M","-49,86 M","-55,21 M","-36,68 M","-52,71 M","-40,71 M","-40,45 M","-34,52 M","-9,16 M","-41,45 M","-32,46 M","-37,02 M","-37,45 M","-38,57 M","-43,18 M","-50,93 M","-27,37 M","-49,85 M","-55,28 M","-54,82 M","-48,07 M","-45,55 M","-54,84 M","-56,68 M","-59,83 M","-70,11 M","-71,90 M","-66,11 M","-76,84 M","-72,94 M","-67,61 M","-62,56 M","-65,20 M","-47,35 M","-46,24 M","-45,05 M","-43,33 M","-44,85 M","-46,21 M","-41,93 M","-35,34 M","-39,39 M","-39,85 M","-37,15 M","-42,53 M","-35,03 M","-35,12 M","-31,51 M","-31,16 M","-29,68 M","-27,60 M","-31,95 M"
EBIT,"210,36 M","161,11 M","190,01 M","118,57 M","125,06 M","-44,41 M","55,28 M","7,55 M","32,82 M","-1,62 B","-15,54 M","-65,09 M","-288,06 M","-13,12 M","80,16 M","87,18 M","46,89 M","133,66 M","152,48 M","183,85 M","149,22 M","135,16 M","99,76 M","100,73 M","-39,50 M","164,82 M","93,54 M","64,42 M","98,10 M","171,96 M","203,70 M","38,25 M","144,01 M","21,87 M","85,13 M","48,54 M","223,88 M","120,60 M","103,05 M","87,14 M","161,56 M","80,86 M","105,30 M","51,83 M","127,32 M","117,03 M","58,99 M","24,73 M","131,92 M","87,62 M","66,40 M","70,67 M","100,71 M","74,84 M","82,71 M","51,48 M","82,73 M","50,01 M","90,30 M","83,12 M","88,38 M","70,31 M","90,84 M","84,39 M","78,70 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-25,11 M","8,80 M","-9,80 M","-15,35 M","-20,77 M","19,14 M","-4,87 M","9,91 M","-11,91 M","-27,34 M","-14,05 M","-32,83 M","-21,66 M","-2,71 M","-5,58 M","-6,77 M","84,91 M","74,46 M","29,07 M","-40,89 M","32,66 M","-47,74 M","-40,37 M","-10,87 M","30,72 M","15,64 M","2,95 M","-5,82 M","-12,09 M","46,41 M","-32,52 M","-31,29 M","-14,15 M","-17,54 M","-25,32 M","-18,35 M","-12,42 M","-17,76 M","-16,66 M","-30,82 M","-21,82 M","-23,32 M","-19,64 M","-8,52 M","-10,41 M","-7,70 M","-9,22 M","-7,55 M","1,53 M","-8,65 M","14,27 M","13,84 M","2,56 M","1,96 M","-935,00 Mil","1,01 M","6,06 M","9,14 M","6,69 M","4,65 M","8,57 M","6,89 M","3,96 M","1,21 M","-3,10 M"
Antes dos impostos,"185,25 M","169,91 M","180,21 M","103,22 M","104,29 M","-25,28 M","50,41 M","17,46 M","20,91 M","-1,65 B","-29,60 M","-97,92 M","-309,72 M","-15,84 M","74,58 M","80,41 M","131,79 M","208,12 M","181,55 M","142,97 M","181,88 M","87,42 M","59,38 M","89,86 M","-8,78 M","180,46 M","96,48 M","58,60 M","86,02 M","218,37 M","171,18 M","6,95 M","129,86 M","4,33 M","59,81 M","30,20 M","211,45 M","102,84 M","86,39 M","56,32 M","139,74 M","57,54 M","85,66 M","43,31 M","116,91 M","109,33 M","49,77 M","17,18 M","133,45 M","78,97 M","80,67 M","84,50 M","103,27 M","76,80 M","81,77 M","52,49 M","88,79 M","59,15 M","96,99 M","87,77 M","96,95 M","77,19 M","94,79 M","85,60 M","75,60 M"
