Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,4T2018
Ativo total,"2,60 B","2,53 B","2,59 B","2,61 B","2,45 B","2,51 B","2,64 B","2,66 B","2,49 B","2,52 B","2,57 B","2,67 B","2,71 B","2,56 B","2,61 B","2,57 B","2,53 B","2,58 B","2,60 B","2,66 B","2,73 B","2,70 B","3,48 B","3,14 B","2,40 B","2,42 B","2,01 B"
Ativo circulante,"518,54 M","469,97 M","553,23 M","558,44 M","395,50 M","438,65 M","513,00 M","499,03 M","311,17 M","338,70 M","363,60 M","434,06 M","442,38 M","274,86 M","293,22 M","225,37 M","209,76 M","249,98 M","238,90 M","240,07 M","239,07 M","202,98 M","481,60 M","446,82 M","232,59 M","249,14 M","171,11 M"
Caixa e eq. de caixa,"261,92 M","245,31 M","337,57 M","323,67 M","169,56 M","218,00 M","271,69 M","304,40 M","135,56 M","189,52 M","231,15 M","296,34 M","306,63 M","137,41 M","118,34 M","52,90 M","37,35 M","96,40 M","64,83 M","72,20 M","105,32 M","42,11 M","316,08 M","287,93 M","89,40 M","120,20 M","41,30 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"171,08 M","133,05 M","141,66 M","165,76 M","158,45 M","153,43 M","167,18 M","130,72 M","117,27 M","92,71 M","86,95 M","84,97 M","76,73 M","67,60 M","64,42 M","56,39 M","50,59 M","57,09 M","56,39 M","50,85 M","41,56 M","49,94 M","45,17 M","37,13 M","45,26 M","58,05 M","54,20 M"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"2,08 B","2,06 B","2,04 B","2,05 B","2,06 B","2,07 B","2,12 B","2,16 B","2,18 B","2,18 B","2,21 B","2,24 B","2,27 B","2,29 B","2,31 B","2,35 B","2,32 B","2,33 B","2,36 B","2,42 B","2,49 B","2,49 B","3,00 B","2,70 B","2,17 B","2,17 B","1,84 B"
Investimentos,"12,76 M","12,74 M","12,45 M","11,91 M","13,07 M","12,93 M","13,58 M","10,13 M","8,95 M","9,10 M","9,49 M","9,87 M","9,71 M","10,05 M","24,75 M","25,85 M","27,44 M","29,06 M","29,95 M","30,73 M","32,22 M","33,96 M","34,14 M","35,01 M","36,07 M","37,37 M","43,42 M"
Imobilizado,"659,11 M","634,54 M","631,42 M","617,51 M","604,30 M","607,95 M","607,10 M","612,31 M","619,44 M","607,98 M","598,78 M","602,93 M","611,76 M","608,12 M","613,21 M","623,83 M","637,68 M","626,11 M","687,95 M","707,93 M","732,34 M","747,75 M","1,11 B","1,14 B","1,19 B","1,17 B","958,36 M"
Intangível,"1,37 B","1,38 B","1,35 B","1,37 B","1,39 B","1,40 B","1,45 B","1,47 B","1,49 B","1,50 B","1,52 B","1,55 B","1,57 B","1,57 B","1,60 B","1,61 B","1,57 B","1,56 B","1,58 B","1,62 B","1,64 B","1,65 B","1,81 B","1,47 B","895,44 M","902,89 M","794,75 M"
Passivo total,"2,60 B","2,53 B","2,59 B","2,61 B","2,45 B","2,51 B","2,64 B","2,66 B","2,49 B","2,52 B","2,57 B","2,67 B","2,71 B","2,56 B","2,61 B","2,57 B","2,53 B","2,58 B","2,60 B","2,66 B","2,73 B","2,70 B","3,48 B","3,14 B","2,40 B","2,42 B","2,01 B"
Passivo circulante,"601,02 M","688,32 M","671,28 M","636,86 M","682,74 M","638,06 M","721,10 M","717,88 M","634,62 M","684,32 M","663,10 M","724,74 M","698,25 M","899,12 M","671,46 M","734,58 M","732,35 M","690,91 M","776,21 M","829,40 M","738,26 M","810,41 M","899,07 M","1,02 B","510,76 M","496,91 M","565,58 M"
Fornecedores,"104,37 M","109,91 M","107,11 M","99,21 M","84,07 M","111,19 M","148,20 M","146,06 M","141,07 M","144,55 M","136,41 M","144,83 M","151,29 M","139,98 M","124,45 M","114,67 M","124,64 M","133,76 M","116,36 M","106,72 M","84,68 M","82,51 M","279,94 M","484,92 M","41,91 M","75,79 M","59,47 M"
