Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"494,60 M","499,75 M","486,22 M","461,51 M","425,11 M","430,51 M","399,56 M","385,13 M","369,61 M","365,40 M","350,77 M","334,65 M","305,51 M","300,25 M","295,02 M","273,69 M","244,00 M","265,15 M","228,67 M","175,63 M","165,48 M","184,62 M","135,54 M","85,82 M","243,38 M","278,72 M","280,65 M","269,32 M","251,99 M"
Custos,"-343,38 M","-354,36 M","-337,58 M","-318,50 M","-292,12 M","-272,13 M","-273,44 M","-257,95 M","-250,54 M","-248,60 M","-235,41 M","-228,00 M","-204,38 M","-237,31 M","-202,11 M","-185,98 M","-170,52 M","-197,56 M","-166,40 M","-135,63 M","-128,42 M","-141,59 M","-98,50 M","-65,08 M","-179,38 M","-181,90 M","-203,29 M","-196,50 M","-179,60 M"
Lucro bruto,"151,22 M","145,39 M","148,64 M","143,01 M","132,99 M","158,37 M","126,12 M","127,18 M","119,07 M","116,80 M","115,36 M","106,65 M","101,14 M","62,94 M","92,91 M","87,70 M","73,48 M","67,58 M","62,27 M","39,99 M","37,06 M","43,03 M","37,05 M","20,74 M","64,00 M","96,81 M","77,36 M","72,82 M","72,39 M"
Despesas operacionais,"-86,62 M","-83,58 M","-73,17 M","-75,00 M","-77,38 M","-107,21 M","-69,50 M","-67,90 M","-75,13 M","-70,47 M","-69,20 M","-60,01 M","-68,24 M","-49,02 M","-63,41 M","-66,98 M","-61,78 M","-60,49 M","-62,73 M","-57,29 M","-58,80 M","-11,65 M","-59,36 M","-36,43 M","-49,18 M","-49,66 M","-41,70 M","-42,41 M","-48,47 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-90,25 M","-85,52 M","-77,28 M","-77,05 M","-78,11 M","-79,38 M","-74,78 M","-73,44 M","-73,49 M","88,26 M","-67,00 M","-67,07 M","-68,24 M","84,99 M","-63,34 M","-66,04 M","-62,85 M","83,13 M","-59,51 M","-58,23 M","-56,08 M","63,27 M","-58,81 M","-36,71 M","-48,00 M","32,57 M","-46,30 M","-47,20 M","-48,48 M"
EBIT,"64,60 M","61,80 M","75,47 M","68,01 M","55,61 M","51,16 M","56,62 M","59,28 M","43,94 M","46,33 M","46,15 M","46,65 M","32,90 M","13,92 M","29,50 M","20,72 M","11,70 M","7,09 M","-452,00 Mil","-17,30 M","-21,74 M","31,37 M","-22,32 M","-15,69 M","14,82 M","47,15 M","35,66 M","30,40 M","23,93 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-56,51 M","-57,33 M","-63,09 M","-58,69 M","-55,94 M","-53,27 M","-53,13 M","-52,24 M","-56,32 M","-54,10 M","-58,62 M","-60,05 M","-61,65 M","-56,01 M","-62,48 M","-56,02 M","-54,26 M","-57,33 M","-47,40 M","-42,15 M","-42,34 M","-45,75 M","-50,56 M","-41,08 M","-39,88 M","-51,07 M","-41,49 M","-43,01 M","-39,64 M"
Antes dos impostos,"8,09 M","4,47 M","12,38 M","9,33 M","-334,00 Mil","-2,10 M","3,49 M","7,04 M","-12,38 M","-7,77 M","-12,46 M","-13,40 M","-28,75 M","-42,09 M","-32,98 M","-35,30 M","-42,56 M","-50,24 M","-47,85 M","-59,45 M","-64,08 M","-14,38 M","-72,88 M","-56,76 M","-25,06 M","-3,91 M","-5,83 M","-12,61 M","-15,71 M"
