Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"34,34 B","32,11 B","31,48 B","31,33 B","31,17 B","30,69 B","30,00 B","30,09 B","28,90 B","28,44 B","28,27 B","28,11 B","28,61 B","27,93 B","27,38 B","27,20 B","26,56 B","25,72 B","24,50 B","24,09 B","23,53 B","22,58 B","20,83 B","20,00 B","19,92 B","19,37 B","16,42 B","15,72 B","15,41 B","14,61 B","12,74 B","12,19 B","12,01 B","11,46 B","10,97 B","10,74 B","10,10 B","10,23 B","10,38 B","9,97 B","10,08 B","9,91 B","9,71 B","9,39 B","9,30 B","8,93 B","8,77 B","8,32 B","8,63 B","8,36 B","8,21 B","8,09 B","7,36 B","7,30 B","7,27 B","7,11 B","6,69 B","6,41 B","6,22 B","6,00 B","5,96 B","5,40 B","4,99 B"
Ativo circulante,"8,30 B","6,23 B","6,09 B","6,56 B","6,41 B","6,24 B","6,18 B","6,40 B","5,59 B","5,42 B","5,38 B","5,23 B","5,60 B","5,39 B","5,02 B","4,91 B","4,50 B","4,40 B","3,77 B","3,91 B","4,02 B","4,08 B","4,06 B","4,29 B","4,97 B","5,44 B","4,40 B","4,86 B","4,85 B","4,99 B","3,17 B","2,91 B","3,03 B","3,60 B","3,18 B","3,02 B","2,49 B","2,58 B","2,72 B","2,31 B","2,42 B","2,26 B","2,19 B","2,32 B","2,26 B","2,17 B","2,18 B","1,90 B","2,28 B","2,12 B","2,22 B","2,31 B","1,73 B","1,82 B","1,87 B","1,93 B","1,64 B","1,50 B","1,49 B","1,49 B","1,46 B","1,47 B","1,46 B"
Caixa e eq. de caixa,"792,53 M","685,88 M","569,03 M","754,65 M","957,63 M","807,23 M","1,19 B","1,17 B","949,53 M","823,21 M","935,31 M","812,59 M","1,07 B","850,48 M","864,02 M","545,25 M","449,21 M","377,12 M","409,13 M","438,46 M","523,16 M","674,61 M","632,30 M","606,62 M","628,11 M","1,03 B","2,44 B","2,82 B","2,91 B","2,98 B","1,42 B","1,17 B","1,22 B","1,58 B","1,18 B","957,73 M","506,30 M","613,73 M","628,54 M","425,54 M","613,22 M","591,86 M","333,49 M","555,60 M","507,58 M","337,69 M","459,90 M","284,29 M","565,78 M","520,05 M","23,67 M","25,65 M","23,49 M","40,72 M","52,43 M","34,28 M","44,19 M","26,54 M","31,46 M","14,47 M","24,96 M","63,89 M","16,58 M"
Aplicações financeiras,"4,45 B","2,54 B","2,66 B","2,94 B","2,72 B","2,74 B","2,32 B","2,58 B","2,04 B","2,01 B","1,78 B","1,78 B","1,77 B","1,97 B","1,56 B","1,76 B","1,55 B","1,55 B","1,09 B","1,25 B","1,37 B","1,41 B","1,73 B","2,16 B","2,79 B","2,87 B","478,73 M","637,38 M","594,26 M","619,74 M","365,46 M","383,33 M","441,38 M","489,77 M","515,46 M","552,04 M","347,76 M","316,24 M","276,61 M","104,47 M","129,88 M","127,34 M","307,35 M","145,31 M","206,38 M","259,92 M","280,17 M","172,31 M","336,94 M","283,26 M","902,18 M","973,99 M","457,40 M","497,55 M","501,27 M","589,50 M","226,92 M","330,51 M","146,46 M","393,50 M","570,53 M","190,54 M","575,18 M"
Contas a receber,"2,47 B","2,44 B","2,46 B","2,48 B","2,41 B","2,38 B","2,34 B","2,33 B","2,30 B","2,27 B","2,32 B","2,26 B","2,46 B","2,24 B","2,31 B","2,29 B","2,23 B","2,09 B","1,98 B","1,93 B","1,84 B","1,71 B","1,40 B","1,25 B","1,31 B","1,30 B","1,24 B","1,18 B","1,19 B","1,25 B","1,23 B","1,21 B","1,22 B","1,36 B","1,32 B","1,34 B","1,47 B","1,45 B","1,55 B","1,63 B","1,50 B","1,38 B","1,41 B","1,45 B","1,39 B","1,41 B","1,33 B","1,31 B","1,26 B","1,20 B","1,17 B","1,18 B","1,13 B","1,11 B","1,20 B","1,20 B","1,15 B","1,00 B","1,03 B","987,60 M","798,62 M","874,34 M","819,27 M"
Estoques,"10,78 M","10,47 M","9,69 M","9,83 M","10,11 M","9,77 M","9,49 M","9,23 M","9,87 M","10,28 M","17,45 M","9,40 M","9,06 M","9,20 M","8,95 M","8,46 M","8,37 M","8,24 M","8,39 M","8,39 M","7,97 M","7,86 M","8,24 M","8,08 M","9,72 M","10,45 M","3,39 M","1,22 M","1,20 M","1,14 M","1,07 M","958,00 Mil","1,98 M","662,00 Mil","1,26 M","1,77 M","1,13 M","588,00 Mil","1,15 M","2,26 M","2,25 M","541,00 Mil","2,71 M","2,76 M","2,66 M","2,60 M","2,69 M","27,49 M","27,42 M","33,27 M","31,75 M","30,69 M","23,63 M","22,72 M","23,09 M","21,66 M","23,96 M","21,44 M","19,25 M","18,92 M","17,68 M","17,72 M","17,03 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"26,04 B","25,89 B","25,39 B","24,78 B","24,76 B","24,44 B","23,83 B","23,69 B","23,31 B","23,02 B","22,89 B","22,88 B","23,01 B","22,54 B","22,36 B","22,29 B","22,06 B","21,32 B","20,73 B","20,18 B","19,51 B","18,49 B","16,77 B","15,71 B","14,95 B","13,93 B","12,03 B","10,86 B","10,55 B","9,62 B","9,57 B","9,29 B","8,99 B","7,87 B","7,79 B","7,72 B","7,61 B","7,65 B","7,66 B","7,66 B","7,66 B","7,65 B","7,52 B","7,07 B","7,04 B","6,76 B","6,59 B","6,42 B","6,35 B","6,24 B","5,98 B","5,78 B","5,63 B","5,49 B","5,40 B","5,18 B","5,05 B","4,91 B","4,73 B","4,52 B","4,50 B","3,93 B","3,52 B"
Investimentos,"888,31 M","863,32 M","807,46 M","450,39 M","431,27 M","381,72 M","328,12 M","279,71 M","248,90 M","232,72 M","218,81 M","212,56 M","186,66 M","176,14 M","168,25 M","153,09 M","150,56 M","150,92 M","140,18 M","139,04 M","136,93 M","135,47 M","144,60 M","144,27 M","143,33 M","144,78 M","395,90 M","374,03 M","480,12 M","427,81 M","433,12 M","428,30 M","423,68 M","339,46 M","348,76 M","341,92 M","334,36 M","333,29 M","330,62 M","417,68 M","419,24 M","426,27 M","449,79 M","309,69 M","299,95 M","312,14 M","322,64 M","296,74 M","275,35 M","194,79 M","192,10 M","187,12 M","168,49 M","176,38 M","5,69 M","5,69 M","5,69 M","5,76 M","5,76 M","5,75 M","5,69 M","5,69 M","3,35 M"
Imobilizado,"5,72 B","5,88 B","5,73 B","5,76 B","5,83 B","6,00 B","5,75 B","5,78 B","5,64 B","5,59 B","5,53 B","5,41 B","5,37 B","5,32 B","5,11 B","4,95 B","5,01 B","4,71 B","4,62 B","4,61 B","4,76 B","4,67 B","4,71 B","4,69 B","4,65 B","4,43 B","4,35 B","4,25 B","4,30 B","4,28 B","4,29 B","4,23 B","4,08 B","4,03 B","3,92 B","3,87 B","3,79 B","3,81 B","3,78 B","3,75 B","3,66 B","3,66 B","3,43 B","3,20 B","3,14 B","2,86 B","2,70 B","2,63 B","2,57 B","2,51 B","2,40 B","2,27 B","2,13 B","2,00 B","1,93 B","1,78 B","1,69 B","1,63 B","731,52 M","576,02 M","493,26 M","1,26 B","329,58 M"
