Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"9,04","8,88","7,99","12,12","7,38","5,85","6,21","4,49","13,04","9,95","13,01",-,-,-,-,-,-,-
P/VP,"1,09","1,18","1,05","1,14","0,97","1,00","1,02","0,80","1,17","0,85","1,40",-,-,-,-,-,-,-
P/EBIT,"3,38","3,46","3,00","3,57","2,36","1,73","1,76","1,63","4,23","3,08","3,26",-,-,-,-,-,-,-
P/EBIT *,"3,70","3,79","3,18","3,61","2,27","1,76","1,76","1,71","4,37","3,18","3,56",-,-,-,-,-,-,-
PSR,"2,27","2,45","2,17","2,54","1,77","1,25","0,95","0,87","2,68","2,14","2,60",-,-,-,-,-,-,-
P/Ativos,"0,29","0,34","0,28","0,30","0,24","0,25","0,26","0,21","0,35","0,29","0,40",-,-,-,-,-,-,-
LPA,"1,13","1,23","1,10","0,70","0,93","1,13","0,95","0,90","0,39","0,33","0,31",-,-,-,-,-,-,-
VPA,"9,39","9,27","8,33","7,44","7,04","6,62","5,81","5,06","4,38","3,93","2,93",-,-,-,-,-,-,-
EBIT por ação,"3,01","3,15","2,93","2,38","2,90","3,82","3,36","2,47","1,21","1,08","1,26",-,-,-,-,-,-,-
EBIT por ação *,"2,76","2,88","2,76","2,36","3,02","3,74","3,36","2,36","1,17","1,05","1,15",-,-,-,-,-,-,-
Ativo por ação,"34,73","32,48","31,03","28,76","28,25","26,01","22,83","19,59","14,77","11,59","10,35",-,-,-,-,-,-,-
Receita líquida por ação,"4,48","4,45","4,05","3,35","3,88","5,29","6,21","4,64","1,90","1,56","1,57",-,-,-,-,-,-,-
Margem bruta,"66,96%","69,57%","72,64%","75,91%","81,93%","73,26%","56,04%","53,72%","67,40%","73,54%","78,11%","77,24%","76,78%","79,96%","77,75%","68,52%","73,94%","55,16%"
Margem líquida,"35,80%","39,41%","46,47%","34,76%","43,40%","40,56%","33,47%","35,74%","39,87%","45,88%","44,39%","38,24%","51,15%","50,74%","44,87%","36,18%","45,04%","34,86%"
Margem EBIT,"67,25%","70,82%","72,28%","71,20%","74,76%","72,22%","54,04%","53,24%","63,36%","69,61%","79,90%","72,12%","71,47%","74,81%","72,50%","60,84%","69,93%","51,34%"
Margem EBIT *,"61,53%","64,71%","68,18%","70,33%","77,92%","70,70%","54,07%","50,87%","61,23%","67,41%","73,07%","69,98%","70,33%","73,42%","71,52%","61,42%","67,91%","50,66%"
Margem EBITDA,"69,25%","75,04%","76,77%","75,85%","78,68%","74,90%","56,25%","55,70%","68,77%","76,08%","85,57%","77,05%","74,10%","77,55%","75,36%","62,83%","70,35%","51,34%"
Margem EBITDA *,"63,52%","68,93%","72,67%","74,98%","81,84%","73,39%","56,28%","53,33%","66,64%","73,88%","78,74%","74,91%","72,96%","76,16%","74,38%","63,41%","68,33%","50,66%"
Margem operacional,"46,96%","50,99%","48,51%","44,70%","49,56%","54,73%","46,52%","47,52%","49,19%","51,34%","52,21%","43,49%","54,96%","60,69%","53,87%","44,39%","55,70%","41,23%"
ROE,"12,36%","13,78%","15,86%","10,83%","16,04%","21,22%","22,98%","21,77%","11,99%","12,59%","15,13%","14,04%","19,38%","15,97%","17,53%","15,61%","17,62%","17,98%"
ROA,"0,05","0,05","0,06","0,04","0,06","0,08","0,09","0,08","0,05","0,06","0,07","0,06","0,08","0,08","0,07","0,07","0,08","0,08"
ROIC,"10,34%","10,85%","10,73%","9,28%","11,52%","16,02%","16,50%","16,22%","11,13%","11,57%","13,59%","12,17%","12,73%","12,90%","13,07%","12,31%","12,82%","14,10%"
ROIC *,"9,46%","9,92%","10,12%","9,16%","12,01%","15,69%","16,51%","15,50%","10,76%","11,21%","12,43%","11,81%","12,53%","12,66%","12,89%","12,43%","12,45%","13,91%"
Giro do ativo,"0,13","0,14","0,13","0,12","0,14","0,20","0,27","0,24","0,13","0,13","0,15","0,15","0,16","0,15","0,16","0,19","0,17","0,24"
EBIT *,2.725 mi,2.845 mi,2.728 mi,2.328 mi,2.987 mi,3.700 mi,3.320 mi,2.336 mi,1.152 mi,1.036 mi,1.135 mi,1.045 mi,1.033 mi,947 mi,859 mi,745 mi,635 mi,608 mi
EBITDA,3.067 mi,3.300 mi,3.072 mi,2.511 mi,3.016 mi,3.920 mi,3.454 mi,2.557 mi,1.294 mi,1.170 mi,1.329 mi,1.150 mi,1.088 mi,1.001 mi,905 mi,762 mi,658 mi,616 mi
EBITDA *,2.813 mi,3.031 mi,2.908 mi,2.482 mi,3.137 mi,3.841 mi,3.456 mi,2.449 mi,1.254 mi,1.136 mi,1.223 mi,1.118 mi,1.072 mi,983 mi,893 mi,769 mi,639 mi,608 mi
Liquidez corrente,"3,30","2,45","2,04","1,67","2,11","1,80","1,78","2,61","3,26","2,11","1,45","1,21","1,98","1,80","1,62","1,63","2,18","2,73"
Liquidez seca,"3,29","2,44","2,04","1,67","2,10","1,79","1,78","2,60","3,26","2,11","1,45","1,21","1,98","1,78","1,60","1,61","2,15","2,69"
Liquidez imediata,"0,31","0,27","0,26","0,25","0,33","0,15","0,29","0,49","1,95","0,93","0,35","0,32","0,31","0,44","0,04","0,03","0,09","0,03"
Dívida bruta,14.571 mi,12.611 mi,12.729 mi,11.820 mi,11.680 mi,10.096 mi,9.011 mi,8.548 mi,6.403 mi,4.763 mi,4.567 mi,4.628 mi,3.977 mi,3.283 mi,3.315 mi,2.834 mi,2.373 mi,2.175 mi
Dívida líquida,9.325 mi,9.382 mi,9.185 mi,8.988 mi,8.855 mi,8.164 mi,6.930 mi,4.654 mi,2.808 mi,2.693 mi,3.637 mi,3.909 mi,3.379 mi,2.479 mi,2.776 mi,2.477 mi,2.118 mi,1.583 mi
