Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"-9,63","-3,83","0,14","-5,73","-1,51","-104,82",-,-,-,-,-,-,-,-,-,-,-,-
P/VP,"0,23","0,22","0,23","-0,45","-0,75","-51,80",-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT,"2,79","3,13","1,40","-3,18","-2,47","-145,60",-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT *,"-1,25","-1,21","-1,12","-4,65","-4,92","-255,86",-,-,-,-,-,-,-,-,-,-,-,-
PSR,"0,08","0,08","0,09","0,88","0,78","29,03",-,-,-,-,-,-,-,-,-,-,-,-
P/Ativos,"0,06","0,06","0,07","0,48","0,63","17,43",-,-,-,-,-,-,-,-,-,-,-,-
LPA,"-0,52","-1,35","41,35","-11,35","-66,02","-31,15",-,-,-,-,-,-,-,-,-,-,-,-
VPA,"22,12","23,77","24,82","-144,07","-133,19","-63,03",-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação,"1,79","1,65","4,08","-20,43","-40,49","-22,43",-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação *,"-3,99","-4,28","-5,07","-13,99","-20,33","-12,76",-,-,-,-,-,-,-,-,-,-,-,-
Ativo por ação,"80,74","81,15","87,22","135,41","159,16","187,36",-,-,-,-,-,-,-,-,-,-,-,-
Receita líquida por ação,"66,47","61,45","62,18","73,70","128,95","112,47",-,-,-,-,-,-,-,-,-,-,-,-
Margem bruta,"27,19%","27,01%","32,08%","28,38%","19,50%","17,28%","28,42%","29,72%","25,81%","21,14%","19,91%","19,83%","24,22%","24,76%","23,80%","25,04%","27,89%","29,25%"
Margem líquida,"-0,78%","-2,20%","66,50%","-15,39%","-51,20%","-27,70%","-2,08%","-4,70%","-6,13%","-6,55%","-5,65%","-4,64%","-2,05%","-2,62%","-3,55%","-2,11%","0,82%","1,71%"
Margem EBIT,"2,70%","2,69%","6,55%","-27,71%","-31,40%","-19,94%","1,78%","1,53%","-0,35%","0,17%","4,20%","4,57%","4,60%","4,48%","3,32%","5,59%","10,08%","10,34%"
Margem EBIT *,"-6,00%","-6,97%","-8,15%","-18,98%","-15,76%","-11,35%","3,38%","2,27%","0,34%","0,81%","4,61%","4,11%","5,12%","5,52%","5,08%","8,29%","12,24%","13,54%"
Margem EBITDA,"5,66%","9,26%","13,68%","-18,53%","-25,17%","-15,29%","7,73%","9,25%","6,35%","5,51%","7,59%","7,23%","6,48%","6,18%","5,28%","7,31%","11,45%","11,68%"
Margem EBITDA *,"-3,04%","-0,41%","-1,02%","-9,80%","-9,53%","-6,69%","9,32%","10,00%","7,05%","6,14%","8,00%","6,77%","7,00%","7,21%","7,04%","10,00%","13,61%","14,87%"
Margem operacional,"1,82%","1,36%","106,63%","-47,47%","-51,70%","-26,96%","-2,47%","-6,84%","-9,08%","-9,87%","-8,41%","-4,51%","-3,56%","-3,94%","-5,41%","-3,20%","1,23%","2,65%"
ROE,"-2,35%","-5,69%","166,62%","7,88%","49,57%","49,42%","-2,22%","-5,55%","-11,25%","-10,54%","-15,79%","-15,46%","-5,30%","-19,23%","-17,61%","-7,83%","14,87%","32,15%"
ROA,"-0,01","-0,02","0,47","-0,08","-0,41","-0,17","-0,01","-0,02","-0,03","-0,03","-0,05","-0,04","-0,02","-0,02","-0,04","-0,02","0,01","0,03"
ROIC,"2,83%","2,60%","5,78%","-23,72%","-42,56%","-22,80%","2,41%","1,52%","-0,38%","0,17%","5,86%","8,01%","9,22%","9,56%","6,51%","9,90%","25,48%","33,75%"
ROIC *,"-6,30%","-6,74%","-7,19%","-16,24%","-21,37%","-12,97%","4,56%","2,26%","0,37%","0,79%","6,43%","7,20%","10,25%","11,77%","9,96%","14,68%","30,94%","44,18%"
Giro do ativo,"0,82","0,76","0,71","0,54","0,81","0,60","0,45","0,42","0,50","0,50","0,84","0,91","1,04","0,92","1,01","1,05","1,27","1,58"
EBIT *,-799 mi,-858 mi,-1.015 mi,-2.801 mi,-4.070 mi,-2.556 mi,341 mi,153 mi,22 mi,50 mi,396 mi,370 mi,407 mi,336 mi,244 mi,350 mi,498 mi,491 mi
EBITDA,754 mi,1.139 mi,1.704 mi,-2.735 mi,-6.500 mi,-3.443 mi,782 mi,626 mi,412 mi,346 mi,652 mi,652 mi,516 mi,375 mi,254 mi,309 mi,466 mi,424 mi
EBITDA *,-404 mi,-50 mi,-127 mi,-1.446 mi,-2.462 mi,-1.508 mi,943 mi,676 mi,457 mi,386 mi,688 mi,610 mi,557 mi,439 mi,338 mi,423 mi,554 mi,540 mi
Liquidez corrente,"1,56","1,67","1,62","0,22","0,34","0,48","2,93","1,95","2,19","1,88","1,58","1,60","1,30","1,62","1,90","2,00","1,66","1,64"
Liquidez seca,"1,02","1,27","1,18","0,18","0,26","0,36","2,61","1,75","1,92","1,56","1,09","1,17","0,86","1,19","1,46","1,64","1,26","1,16"
Liquidez imediata,"0,08","0,19","0,26","0,04","0,05","0,06","1,23","0,73","0,97","0,40","0,07","0,10","0,06","0,04","0,02","0,01","0,01","0,06"
