Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"3,09 B","3,69 B","2,69 B","3,84 B","2,57 B","3,96 B","2,72 B","3,08 B","3,70 B","4,57 B","3,18 B","3,40 B","3,63 B","7,08 B","5,37 B","6,60 B","6,78 B","8,92 B","6,28 B","4,38 B","2,94 B","3,33 B","2,66 B","2,43 B","1,70 B","2,33 B","1,68 B","1,48 B","1,28 B","1,98 B","1,56 B","1,48 B",0,"1,82 B","1,54 B","1,47 B",0,"3,02 B","2,07 B","1,78 B","1,73 B","2,91 B","2,08 B","1,89 B","2,14 B","2,75 B","1,84 B","1,65 B","1,73 B","2,08 B","1,50 B","1,21 B","1,30 B","1,59 B","1,23 B","991,80 M","1,00 B","1,18 B","1,04 B","982,60 M","1,03 B","1,15 B","1,05 B","953,80 M","913,34 M"
Custos,"-2,25 B","-2,78 B","-1,91 B","-2,76 B","-1,85 B","-2,74 B","-1,85 B","-2,01 B","-2,47 B","-3,12 B","-2,23 B","-2,48 B","-2,73 B","-5,15 B","-4,41 B","-5,19 B","-6,04 B","-9,09 B","-4,31 B","-3,13 B","-2,10 B","-2,34 B","-1,91 B","-1,77 B","-1,23 B","-1,56 B","-1,18 B","-1,08 B","-934,73 M","-1,43 B","-1,15 B","-1,11 B",0,"-1,36 B","-1,20 B","-1,19 B",0,"-2,44 B","-1,66 B","-1,38 B","-1,41 B","-2,39 B","-1,65 B","-1,52 B","-1,67 B","-2,10 B","-1,39 B","-1,24 B","-1,31 B","-1,58 B","-1,13 B","-893,53 M","-982,26 M","-1,23 B","-934,08 M","-744,85 M","-762,17 M","-903,07 M","-811,98 M","-723,74 M","-733,69 M","-821,15 M","-770,40 M","-691,38 M","-654,58 M"
Lucro bruto,"834,00 M","914,00 M","784,00 M","1,09 B","715,00 M","1,22 B","863,00 M","1,07 B","1,23 B","1,45 B","948,00 M","926,00 M","897,00 M","1,93 B","957,00 M","1,41 B","742,00 M","-167,79 M","1,97 B","1,25 B","840,16 M","992,40 M","750,21 M","667,80 M","466,68 M","769,84 M","496,37 M","397,58 M","347,84 M","551,38 M","405,84 M","363,73 M",0,"455,05 M","335,63 M","287,23 M",0,"585,99 M","403,53 M","399,67 M","322,94 M","516,39 M","430,74 M","368,01 M","472,37 M","646,93 M","449,43 M","413,39 M","418,75 M","502,97 M","371,11 M","316,97 M","316,43 M","368,66 M","291,52 M","246,95 M","238,33 M","273,56 M","232,22 M","258,86 M","295,02 M","330,70 M","284,17 M","262,42 M","258,75 M"
Despesas operacionais,"-1,04 B","-758,00 M","-460,00 M","-1,00 B","-979,00 M","-1,54 B","-833,00 M","-1,38 B","-82,00 M","-3,33 B","-1,56 B","-1,86 B","-1,74 B","-7,53 B","-1,86 B","-1,78 B","-1,97 B","-4,58 B","-1,68 B","-1,18 B","-937,70 M","-820,78 M","-704,03 M","-660,58 M","-511,13 M","-586,48 M","-490,71 M","-428,08 M","-402,71 M","-487,58 M","-413,20 M","-393,50 M",0,"-391,57 M","-324,41 M","-296,45 M",0,"-412,00 M","-345,04 M","-313,12 M","-280,90 M","-266,87 M","-409,42 M","-303,53 M","-395,56 M","-510,59 M","-365,13 M","-343,46 M","-342,68 M","-373,41 M","-301,80 M","-276,13 M","-283,16 M","-309,44 M","-255,12 M","-211,11 M","-209,94 M","-208,38 M","-197,36 M","-198,30 M","-219,00 M","-209,96 M","-180,34 M","-161,12 M","-173,86 M"
Despesas com vendas,"-668,00 M","-760,00 M","-627,00 M","-841,00 M","-645,00 M","-851,00 M","-715,00 M","-820,00 M","-839,00 M","-1,15 B","-944,00 M","-931,00 M","-1,06 B","-2,11 B","-800,00 M","-887,00 M","-1,12 B","-1,88 B","-1,09 B","-767,07 M","-664,48 M","-543,87 M","-449,49 M","-423,82 M","-288,80 M","-361,27 M","-289,59 M","-251,70 M","-218,20 M","-330,13 M","-258,56 M","-256,52 M",--,"-241,58 M","-218,75 M","-191,59 M",--,"-298,47 M","-245,42 M","-225,11 M","-173,98 M","-272,31 M","-258,84 M","-199,03 M","-307,31 M","-415,10 M","-284,57 M","-268,10 M","-288,54 M","-313,80 M","-240,31 M","-211,06 M","-225,40 M","-225,81 M","-186,27 M","-156,66 M","-163,93 M","-146,48 M","-130,52 M","-122,09 M","-166,63 M","-118,43 M","-136,91 M","-118,08 M","-139,03 M"
Despesas administrativas,"-373,00 M","-362,00 M","-351,00 M","-436,00 M","-397,00 M","-761,00 M","-475,00 M","-452,00 M","-522,00 M","-1,16 B","-430,00 M","-664,00 M","-886,00 M","-1,58 B","-865,00 M","-813,00 M","-931,00 M","-916,97 M","-563,41 M","-361,50 M","-202,66 M","-216,87 M","-206,12 M","-209,89 M","-196,48 M","-215,94 M","-184,32 M","-163,84 M","-172,80 M","-143,20 M","-140,79 M","-131,12 M",--,"-131,25 M","-96,96 M","-98,88 M",--,"-103,44 M","-89,94 M","-84,00 M","-95,37 M","-95,44 M","-113,03 M","-88,97 M","-82,33 M","-85,33 M","-70,95 M","-62,10 M","-46,20 M","-50,44 M","-48,53 M","-41,67 M","-40,26 M","-51,66 M","-47,03 M","-33,07 M","-36,44 M","-95,13 M","-21,30 M","-32,64 M","-31,65 M","-71,59 M","-17,27 M","-20,62 M","-15,32 M"
EBIT,"-203,00 M","156,00 M","324,00 M","82,00 M","-264,00 M","-324,00 M","30,00 M","-307,00 M","1,15 B","-1,88 B","-616,00 M","-931,00 M","-846,00 M","-5,60 B","-908,00 M","-371,00 M","-1,23 B","-4,75 B","292,61 M","65,84 M","-97,54 M","171,62 M","46,18 M","7,22 M","-44,45 M","183,36 M","5,67 M","-30,50 M","-54,87 M","63,80 M","-7,36 M","-29,77 M",0,"63,49 M","11,23 M","-9,22 M",0,"173,99 M","58,49 M","86,55 M","42,04 M","249,53 M","21,32 M","64,47 M","76,81 M","136,34 M","84,30 M","69,93 M","76,07 M","129,56 M","69,31 M","40,83 M","33,27 M","59,22 M","36,40 M","35,84 M","28,39 M","65,17 M","34,87 M","60,56 M","76,02 M","120,74 M","103,83 M","101,30 M","84,90 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-131,00 M","-31,00 M","83,00 M","-38,00 M","-179,00 M","-124,00 M","14,42 B","-1,55 B","-93,00 M","-449,00 M","-1,00 B","-324,00 M","-1,10 B","-1,22 B","-1,38 B","-1,48 B","-1,17 B","-1,10 B","-286,42 M","-80,15 M","-115,16 M","-108,06 M","-97,77 M","-114,31 M","-110,04 M","-100,34 M","-151,50 M","-158,39 M","-156,13 M","-157,97 M","-152,91 M","-134,90 M",0,"-116,13 M","-143,42 M","-156,37 M",0,"-324,12 M","-275,72 M","-234,84 M","-249,59 M","-269,79 M","-205,68 M","-188,69 M","-154,15 M","-137,80 M","-176,18 M","-170,56 M","-165,91 M","-143,87 M","-127,35 M","-115,28 M","-126,39 M","-125,38 M","-105,28 M","-96,27 M","-93,28 M","-107,65 M","-93,53 M","-92,14 M","-78,70 M","-142,87 M","-79,77 M","-75,88 M","-62,35 M"
Antes dos impostos,"-334,00 M","125,00 M","407,00 M","44,00 M","-443,00 M","-448,00 M","14,45 B","-1,85 B","1,05 B","-2,33 B","-1,62 B","-1,25 B","-1,94 B","-6,81 B","-2,29 B","-1,85 B","-2,40 B","-5,85 B","6,19 M","-14,31 M","-212,69 M","63,56 M","-51,59 M","-107,08 M","-154,50 M","83,02 M","-145,83 M","-188,89 M","-211,00 M","-94,18 M","-160,26 M","-164,68 M",0,"-52,64 M","-132,20 M","-165,59 M",0,"-150,13 M","-217,23 M","-148,29 M","-207,54 M","-20,27 M","-184,36 M","-124,22 M","-77,34 M","-1,46 M","-91,88 M","-100,63 M","-89,84 M","-14,30 M","-58,04 M","-74,44 M","-93,11 M","-66,16 M","-68,88 M","-60,44 M","-64,89 M","-42,48 M","-58,67 M","-31,58 M","-2,69 M","-22,13 M","24,06 M","25,42 M","22,55 M"
