Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012
Receita líquida,"1,12 B","972,32 M","1,01 B","1,01 B","1,04 B","895,38 M","938,28 M","977,00 M","990,72 M","905,69 M","940,41 M","932,42 M","954,42 M","845,14 M","905,24 M","910,47 M","902,38 M","848,51 M","816,68 M","585,95 M","416,00 M","375,93 M","350,94 M","356,13 M","338,98 M","319,91 M","293,65 M","285,40 M","282,53 M","295,62 M","257,61 M","282,38 M","266,85 M","276,28 M","252,44 M","260,87 M","256,09 M","258,47 M","231,17 M","241,12 M","229,67 M","200,96 M","203,25 M","222,44 M","218,02 M","211,47 M","203,08 M","141,02 M","137,94 M","130,13 M","115,91 M","110,91 M","104,34 M","82,61 M","83,16 M","79,42 M","78,50 M"
Custos,"-362,20 M","-375,12 M","-366,58 M","-409,37 M","-339,14 M","-378,47 M","-385,78 M","-368,85 M","-316,88 M","-403,49 M","-372,66 M","-421,81 M","-320,86 M","-428,84 M","-377,88 M","-387,89 M","-314,23 M","-455,99 M","-365,27 M","-248,27 M","-180,41 M","-186,40 M","-172,05 M","-175,84 M","-149,25 M","-192,79 M","-168,27 M","-176,26 M","-134,26 M","-208,93 M","-172,52 M","-185,18 M","-140,51 M","-189,18 M","-157,62 M","-167,80 M","-131,94 M","-176,70 M","-153,33 M","-159,65 M","-121,87 M","-140,94 M","-119,91 M","-131,18 M","-100,58 M","-129,06 M","-105,46 M","-78,97 M","-57,55 M","-77,71 M","-66,26 M","-67,26 M","-44,14 M","-53,54 M","-48,60 M","-50,39 M","-37,63 M"
Lucro bruto,"758,20 M","597,21 M","639,34 M","595,97 M","700,99 M","516,91 M","552,50 M","608,15 M","673,84 M","502,20 M","567,75 M","510,61 M","633,56 M","416,30 M","527,36 M","522,58 M","588,15 M","392,52 M","451,41 M","337,68 M","235,58 M","189,52 M","178,90 M","180,30 M","189,74 M","127,12 M","125,38 M","109,14 M","148,27 M","86,69 M","85,09 M","97,20 M","126,34 M","87,09 M","94,82 M","93,07 M","124,15 M","81,77 M","77,84 M","81,47 M","107,81 M","60,02 M","83,34 M","91,26 M","117,44 M","82,41 M","97,62 M","62,05 M","80,39 M","52,42 M","49,65 M","43,65 M","60,20 M","29,07 M","34,56 M","29,03 M","40,87 M"
Despesas operacionais,"-432,56 M","-381,71 M","-386,11 M","-367,30 M","-396,36 M","-322,65 M","-370,87 M","-410,10 M","-427,67 M","-408,89 M","-424,43 M","-379,55 M","-476,35 M","-445,42 M","-412,40 M","-415,51 M","-402,96 M","-397,94 M","-308,25 M","-270,77 M","-142,75 M","-175,30 M","-139,68 M","-131,90 M","-173,39 M","-117,66 M","-95,79 M","-91,34 M","-85,15 M","-95,29 M","-93,69 M","-88,15 M","-79,53 M","-88,41 M","-79,05 M","-79,97 M","-65,53 M","-106,03 M","-63,90 M","-69,02 M","-53,84 M","-62,55 M","-50,90 M","-112,93 M","-56,01 M","-59,79 M","-57,63 M","-41,41 M","-42,07 M","-34,47 M","-65,44 M","-40,50 M","-25,61 M","-27,11 M","-27,88 M","-23,52 M","-20,18 M"
Despesas com vendas,"-120,77 M","-73,11 M","-70,78 M","-50,30 M","-97,68 M","-72,68 M","-72,91 M","-44,60 M","-100,49 M","87,00 M","-130,72 M","-65,42 M","-67,10 M","83,11 M","-85,37 M","-54,31 M","-55,67 M","-10,15 M","-58,37 M","-25,98 M","-21,37 M","27,15 M","-32,28 M","-43,95 M","-32,68 M","-34,01 M","-26,05 M","-24,55 M","-25,38 M","-32,78 M","-19,18 M","-23,05 M","-21,64 M","-29,26 M","-18,92 M","-19,96 M","-16,07 M","-26,67 M","-16,14 M","-19,34 M","-13,24 M","-18,30 M","-22,66 M","-11,93 M","-13,88 M","-17,52 M","-11,75 M","-7,82 M","-6,25 M","-8,87 M","-5,14 M","-8,37 M","-5,08 M","-6,94 M","-5,45 M","-7,70 M","-5,11 M"
Despesas administrativas,"-257,47 M","-270,00 M","-269,07 M","-260,74 M","-242,00 M","-253,88 M","-235,69 M","-296,34 M","-257,39 M","-254,95 M","-273,77 M","-301,49 M","-310,20 M","-325,59 M","-324,94 M","-280,22 M","-271,76 M","-272,60 M","-299,56 M","-192,18 M","-99,94 M","-94,86 M","-88,66 M","-79,42 M","-75,33 M","-84,25 M","-69,06 M","-67,17 M","-61,42 M","-63,26 M","-70,79 M","-66,92 M","-58,29 M","-59,93 M","-58,16 M","-59,79 M","-50,31 M","-57,93 M","-47,23 M","-47,70 M","-38,38 M","-34,90 M","-34,63 M","-99,97 M","-40,13 M","-49,86 M","-45,75 M","-34,13 M","-27,77 M","-29,62 M","-58,83 M","-30,35 M","-16,76 M","-17,65 M","-17,14 M","-14,15 M","-10,31 M"
EBIT,"325,64 M","215,49 M","253,22 M","228,67 M","304,63 M","194,26 M","181,63 M","198,04 M","246,16 M","93,31 M","143,32 M","131,06 M","157,21 M","-29,13 M","114,95 M","107,08 M","185,20 M","-5,42 M","143,15 M","66,90 M","92,83 M","14,22 M","39,21 M","48,40 M","16,35 M","9,46 M","29,59 M","17,80 M","63,12 M","-8,60 M","-8,60 M","9,05 M","46,81 M","-1,31 M","15,77 M","13,09 M","58,62 M","-24,26 M","13,94 M","12,45 M","53,96 M","-2,53 M","32,44 M","-21,67 M","61,43 M","22,61 M","39,99 M","20,63 M","38,32 M","17,95 M","-15,79 M","3,15 M","34,59 M","1,96 M","6,69 M","5,51 M","20,68 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-185,34 M","-206,45 M","-182,63 M","-188,90 M","-171,18 M","-147,39 M","-143,31 M","-194,13 M","-149,20 M","-191,67 M","-160,02 M","-189,09 M","-201,99 M","-176,63 M","-169,95 M","-172,49 M","-274,99 M","-159,75 M","-144,58 M","-84,64 M","-40,96 M","-45,97 M","-36,73 M","-37,35 M","-34,47 M","-38,20 M","-30,17 M","-32,80 M","-25,12 M","-13,18 M","-6,27 M","-10,12 M","-5,12 M","-7,50 M","-6,96 M","-14,33 M","-9,05 M","-13,15 M","-8,61 M","-13,85 M","-1,16 M","-7,44 M","-3,71 M","-2,45 M","2,40 M","-161,00 Mil","3,41 M","6,80 M","6,45 M","3,10 M","-2,23 M","-3,42 M","-5,43 M","-2,27 M","-1,03 M","-2,20 M","-5,98 M"
Antes dos impostos,"140,29 M","9,04 M","70,60 M","39,77 M","133,45 M","46,87 M","38,31 M","3,92 M","96,97 M","-98,36 M","-16,71 M","-58,03 M","-44,78 M","-205,75 M","-55,00 M","-65,41 M","-89,79 M","-165,18 M","-1,43 M","-17,73 M","51,88 M","-31,75 M","2,48 M","11,04 M","-18,12 M","-28,73 M","-584,00 Mil","-15,00 M","38,00 M","-21,78 M","-14,88 M","-1,07 M","41,69 M","-8,82 M","8,81 M","-1,23 M","49,57 M","-37,41 M","5,32 M","-1,40 M","52,80 M","-9,97 M","28,73 M","-24,12 M","63,83 M","22,45 M","43,40 M","27,43 M","44,78 M","21,05 M","-18,02 M","-271,00 Mil","29,16 M","-309,00 Mil","5,66 M","3,31 M","14,70 M"
