Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020
Receita líquida,"451,06 M","501,79 M","494,58 M","451,47 M","439,92 M","473,49 M","496,99 M","407,70 M","387,79 M","399,00 M","359,54 M",0,"291,49 M","279,88 M","250,60 M","225,86 M","195,42 M","167,06 M","99,35 M","71,59 M",0,"40,35 M","29,34 M","21,87 M","19,83 M"
Custos,"-329,54 M","-354,70 M","-298,90 M","-303,87 M","-289,09 M","-307,83 M","-292,15 M","-237,13 M","-214,23 M","-228,69 M","-190,69 M",0,"-157,81 M","-139,46 M","-130,31 M","-126,19 M","-108,17 M","-89,68 M","-47,54 M","-37,33 M",0,"-22,05 M","-16,24 M","-12,36 M","-10,58 M"
Lucro bruto,"121,53 M","147,09 M","195,68 M","147,60 M","150,83 M","165,66 M","204,83 M","170,57 M","173,56 M","170,31 M","168,84 M",0,"133,68 M","140,41 M","120,29 M","99,67 M","87,25 M","77,38 M","51,80 M","34,26 M",0,"18,29 M","13,11 M","9,51 M","9,24 M"
Despesas operacionais,"-3,95 M","-39,37 M","-55,41 M","-65,52 M","-58,40 M","-67,27 M","-51,19 M","-33,50 M","-39,61 M","-47,23 M","-42,00 M",0,"-40,04 M","-47,54 M","-30,65 M","-24,75 M","-24,55 M","-22,66 M","-23,42 M","-6,90 M",0,"-3,96 M","-2,62 M","-1,32 M","-1,94 M"
Despesas com vendas,"-50,84 M","179,34 M","-55,41 M","-65,52 M","-57,54 M","124,30 M","-51,19 M","-33,50 M","-39,61 M","124,52 M","-42,00 M","-42,48 M","-40,04 M",0,0,0,0,0,0,0,"-4,34 M",0,0,"-1,32 M","-1,94 M"
Despesas administrativas,0,"-218,71 M",0,0,0,"-191,57 M",0,0,0,"-171,74 M",0,0,0,"-47,54 M","-30,65 M","-24,75 M","-24,55 M","-22,66 M","-23,42 M","-6,90 M",0,"-3,96 M","-2,62 M",0,0
EBIT,"117,58 M","107,72 M","140,26 M","82,08 M","92,43 M","98,39 M","153,65 M","137,07 M","133,95 M","123,08 M","126,84 M",0,"93,64 M","92,87 M","89,64 M","74,92 M","62,69 M","54,73 M","28,38 M","27,36 M",0,"14,34 M","10,49 M","8,19 M","7,30 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-107,53 M","-100,78 M","-90,17 M","-99,74 M","-85,17 M","-79,84 M","-79,22 M","-72,35 M","-65,80 M","-65,66 M","-63,89 M",0,"-62,91 M","-53,11 M","-38,97 M","-34,38 M","-25,87 M","-15,30 M","-7,45 M","-10,11 M",0,"-5,82 M","-4,17 M","-2,98 M","-2,37 M"
Antes dos impostos,"10,04 M","6,94 M","50,09 M","-17,66 M","7,26 M","18,55 M","74,43 M","64,72 M","68,15 M","57,43 M","62,95 M",0,"30,73 M","39,77 M","50,67 M","40,55 M","36,82 M","39,43 M","20,93 M","17,25 M",0,"8,52 M","6,32 M","5,21 M","4,93 M"
Imposto,"3,25 M","22,73 M","-11,79 M","10,95 M","5,25 M","-7,26 M","-13,59 M","-14,32 M","-15,04 M","-11,67 M","-15,08 M",0,"-4,51 M","11,00 M","-11,84 M","-9,71 M","-8,85 M","-13,51 M","-7,25 M","-6,45 M",0,"-894,00 Mil","-2,39 M","-1,79 M","-1,88 M"
Op. continuadas,"13,30 M","29,67 M","38,30 M","-6,71 M","12,51 M","11,29 M","60,84 M","50,39 M","53,11 M","45,75 M","47,87 M",0,"26,22 M","50,77 M","38,84 M","30,84 M","27,96 M","25,92 M","13,68 M","10,80 M",0,"7,62 M","3,93 M","3,42 M","3,05 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"13,30 M","29,67 M","38,30 M","-6,71 M","12,51 M","11,29 M","60,84 M","50,39 M","53,11 M","45,75 M","47,87 M",0,"26,22 M","50,77 M","38,84 M","30,84 M","27,96 M","25,92 M","13,68 M","10,80 M",0,"7,62 M","3,93 M","3,42 M","3,05 M"
Dos controladores,"-3,34 M","22,65 M","37,77 M","-6,49 M","13,15 M","9,75 M","56,94 M",0,"53,11 M",0,0,0,--,0,0,"30,84 M",0,0,0,"10,80 M",0,0,0,--,--
Dos não controladores,"16,63 M","7,02 M","531,00 Mil","-222,00 Mil","-642,00 Mil","1,54 M","3,90 M",0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--
