Conta,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,4T2019
Ativo total,"293,01 M","377,68 M","1,49 B","1,12 B","313,04 M","307,98 M","301,05 M","297,69 M","304,22 M","299,48 M","298,43 M","298,03 M","300,30 M","302,87 M","305,81 M","306,63 M","318,66 M","334,86 M","47,22 M","8,14 M","5,21 M"
Ativo circulante,"182,12 M","263,12 M","1,34 B","1,08 B","305,40 M","299,83 M","291,64 M","287,04 M","285,94 M","280,41 M","282,55 M","232,86 M","284,13 M","292,13 M","298,36 M","301,14 M","315,37 M","333,37 M","46,09 M","7,30 M","3,41 M"
Caixa e eq. de caixa,"12,71 M","11,74 M","2,88 M","2,22 M","5,26 M","5,88 M","20,82 M","24,29 M","144,01 M","147,32 M","241,78 M","1,86 M","185,00 M","214,29 M","290,16 M","293,28 M","307,82 M","325,73 M","36,07 M","1,41 M","135,00 Mil"
Aplicações financeiras,"87,73 M","107,25 M","200,93 M","203,90 M","288,63 M","278,31 M","256,99 M","251,71 M","133,64 M","122,91 M","29,64 M","226,71 M","93,63 M","70,11 M",0,0,0,0,0,0,0
Contas a receber,"10,38 M","33,54 M","7,47 M","10,82 M","3,64 M","4,46 M","5,07 M","4,10 M","4,04 M","4,98 M","5,00 M","3,67 M","4,27 M","3,99 M","5,23 M","4,88 M","5,31 M","5,51 M","6,88 M","4,20 M","3,06 M"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"110,89 M","114,56 M","145,33 M","34,49 M","7,64 M","8,14 M","9,41 M","10,65 M","18,29 M","19,07 M","15,88 M","65,17 M","16,17 M","10,74 M","7,44 M","5,49 M","3,29 M","1,49 M","1,14 M","837,00 Mil","1,80 M"
Investimentos,0,0,"27,83 M","27,60 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"108,48 M","111,28 M","113,49 M","1,97 M","2,22 M","2,35 M","2,60 M","2,83 M","3,09 M","3,45 M","3,83 M","4,14 M","4,49 M","3,48 M","2,02 M","1,74 M","1,58 M","1,43 M","1,08 M","778,00 Mil","964,00 Mil"
Intangível,"2,19 M","3,10 M","4,01 M","4,92 M","5,42 M","5,80 M","6,81 M","7,82 M","15,20 M","13,39 M","12,01 M","10,72 M","9,13 M","7,25 M","5,42 M","3,75 M","1,71 M",0,0,0,"1,00 Mil"
Passivo total,"293,01 M","377,68 M","1,49 B","1,12 B","313,04 M","307,98 M","301,05 M","297,69 M","304,22 M","299,48 M","298,43 M","298,03 M","300,30 M","302,87 M","305,81 M","306,63 M","318,66 M","334,86 M","47,22 M","8,14 M","5,21 M"
Passivo circulante,"59,71 M","111,48 M","1,10 B","807,24 M","18,54 M","17,27 M","16,68 M","16,21 M","17,80 M","17,99 M","19,18 M","17,93 M","21,46 M","23,29 M","20,53 M","19,88 M","27,18 M","30,03 M","18,38 M","13,27 M","9,29 M"
Fornecedores,"8,40 M","9,22 M","7,22 M","5,26 M","6,95 M","6,26 M","6,71 M","5,70 M","5,93 M","7,22 M","6,83 M","5,76 M","7,51 M","9,65 M","8,55 M","9,26 M","14,79 M","19,03 M","9,84 M","5,21 M","1,59 M"
Empréstimos e financ.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo não circulante,"99,23 M","101,76 M","103,68 M","652,00 Mil","812,00 Mil","878,00 Mil","1,05 M","1,14 M","1,23 M","1,27 M","1,30 M","1,34 M","1,32 M","1,27 M","1,00 Mil",0,"3,00 Mil","19,00 Mil","15,00 Mil","45,00 Mil","207,00 Mil"
Emprést. de longo prazo,"98,16 M","100,70 M","102,61 M","631,00 Mil","725,00 Mil","832,00 Mil","949,00 Mil","1,04 M","1,13 M","1,22 M","1,25 M","1,32 M","1,27 M","1,27 M",0,0,0,0,0,0,0
Patrimônio líquido,"134,06 M","164,44 M","280,15 M","307,49 M","293,69 M","289,83 M","283,32 M","280,33 M","285,19 M","280,22 M","277,95 M","278,76 M","277,52 M","278,31 M","285,27 M","286,75 M","291,49 M","304,82 M","28,83 M","-5,17 M","-4,28 M"
Aos não controladores,"16,91 M","17,18 M","17,14 M","17,26 M",0,--,0,0,0,0,0,0,--,--,--,0,--,--,--,--,--
