Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018
P/L,"16,03","25,82","13,25","27,60","16,91","13,30","13,81",-,-
P/VP,"1,91","2,31","1,94","4,23","5,29","7,74","14,33",-,-
P/EBIT,"2,81","3,54","2,65","5,97","7,24","8,30","9,33",-,-
P/EBIT *,"1,81","2,23","1,91","4,28","5,43","6,64","7,23",-,-
PSR,"0,14","0,17","0,14","0,29","0,38","0,51","0,54",-,-
P/Ativos,"0,24","0,27","0,22","0,45","0,51","0,94","1,03",-,-
LPA,"0,52","0,37","0,57","0,52","0,90","1,19","1,03",-,-
VPA,"4,35","4,10","3,88","3,42","2,88","2,04","1,00",-,-
EBIT por ação,"2,95","2,68","2,84","2,43","2,11","1,91","1,53",-,-
EBIT por ação *,"4,59","4,26","3,95","3,38","2,81","2,38","1,97",-,-
Ativo por ação,"34,87","35,33","33,68","31,90","30,01","16,88","13,91",-,-
Receita líquida por ação,"57,18","57,12","54,54","49,13","40,28","30,95","26,63",-,-
Margem bruta,"17,44%","16,87%","16,56%","16,27%","16,44%","17,05%","16,41%","16,85%","18,13%"
Margem líquida,"0,90%","0,64%","1,04%","1,07%","2,24%","3,84%","4,32%","3,77%","4,67%"
Margem EBIT,"5,16%","4,69%","5,21%","4,94%","5,23%","6,16%","5,74%","6,06%","7,27%"
Margem EBIT *,"8,03%","7,46%","7,24%","6,89%","6,96%","7,69%","7,40%","7,51%","8,64%"
Margem EBITDA,"7,39%","6,96%","7,43%","7,16%","7,04%","7,80%","9,54%","7,78%","8,75%"
Margem EBITDA *,"10,25%","9,73%","9,47%","9,10%","8,78%","9,33%","11,21%","9,23%","10,12%"
Margem operacional,"0,68%","0,30%","1,27%","0,83%","2,45%","4,41%","4,51%","5,35%","6,75%"
ROE,"11,89%","8,95%","14,63%","15,33%","31,31%","58,21%","115,52%","10,93%","26,30%"
ROA,"0,01","0,01","0,02","0,02","0,03","0,07","0,08","0,03","0,10"
ROIC,"12,65%","12,26%","13,57%","12,83%","13,09%","18,21%","20,21%","8,06%","28,28%"
ROIC *,"19,66%","19,52%","18,89%","17,88%","17,44%","22,75%","26,08%","9,99%","33,63%"
Giro do ativo,"1,64","1,62","1,62","1,54","1,34","1,83","1,92","0,78","2,11"
EBIT *,6.214 mi,5.766 mi,5.348 mi,4.579 mi,3.797 mi,3.223 mi,2.668 mi,2.108 mi,1.989 mi
EBITDA,5.718 mi,5.378 mi,5.484 mi,4.761 mi,3.840 mi,3.266 mi,3.440 mi,2.186 mi,0 mi
EBITDA *,7.935 mi,7.521 mi,6.988 mi,6.055 mi,4.787 mi,3.910 mi,4.040 mi,2.592 mi,2.330 mi
Liquidez corrente,"1,10","1,06","1,01","0,89","0,86","1,01","0,95","0,88","0,82"
Liquidez seca,"0,61","0,61","0,57","0,48","0,47","0,51","0,52","0,51","0,38"
Liquidez imediata,"0,28","0,35","0,34","0,33","0,36","0,29","0,40","0,36","0,28"
Dívida bruta,16.374 mi,16.299 mi,16.565 mi,15.184 mi,12.591 mi,8.033 mi,7.831 mi,8.821 mi,0 mi
Dívida líquida,12.008 mi,10.445 mi,10.937 mi,9.725 mi,6.749 mi,5.483 mi,4.299 mi,3.795 mi,0 mi
Capital de giro,1.620 mi,983 mi,136 mi,-1.809 mi,-2.237 mi,128 mi,-437 mi,-1.648 mi,-927 mi
Endividamento geral,"701,75%","761,09%","767,61%","832,55%","942,56%","726,25%","1.297,25%","270,12%","167,18%"
