Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"18,64 B","20,80 B","18,96 B","19,00 B","18,55 B","20,16 B","18,56 B","17,87 B","17,22 B","18,42 B","17,00 B","15,98 B","15,10 B","15,95 B","13,83 B","13,29 B","11,44 B","11,56 B","10,85 B","10,05 B","9,45 B","10,71 B","9,25 B","8,24 B","7,84 B","7,99 B","7,14 B","6,58 B","6,37 B"
Custos,"-15,12 B","-17,18 B","-15,77 B","-15,82 B","-15,49 B","-16,75 B","-15,51 B","-14,92 B","-14,42 B","-15,35 B","-14,24 B","-13,42 B","-12,67 B","-13,22 B","-11,58 B","-11,15 B","-9,62 B","-9,57 B","-8,92 B","-8,33 B","-7,94 B","-8,89 B","-7,72 B","-6,90 B","-6,62 B","-6,66 B","-5,83 B","-5,47 B","-5,39 B"
Lucro bruto,"3,52 B","3,61 B","3,18 B","3,18 B","3,07 B","3,42 B","3,05 B","2,95 B","2,80 B","3,07 B","2,76 B","2,56 B","2,43 B","2,74 B","2,25 B","2,15 B","1,83 B","1,99 B","1,93 B","1,72 B","1,51 B","1,82 B","1,53 B","1,34 B","1,22 B","1,33 B","1,31 B","1,10 B","984,00 M"
Despesas operacionais,"-2,21 B","-2,93 B","-2,18 B","-2,19 B","-2,12 B","-2,22 B","-2,10 B","-2,07 B","-1,99 B","-2,03 B","-1,87 B","-1,83 B","-1,81 B","-1,87 B","-1,51 B","-1,44 B","-1,30 B","-1,29 B","-1,13 B","-1,13 B","-1,02 B","-1,03 B","-967,00 M","-954,00 M","-891,00 M","-791,00 M","-792,00 M","-743,00 M","-705,00 M"
Despesas com vendas,"-1,53 B","-1,68 B","-1,53 B","-1,54 B","-1,51 B","-1,60 B","-1,48 B","-1,50 B","-1,42 B","-1,43 B","-1,37 B","-1,30 B","-1,31 B","-1,38 B","-1,06 B","-1,01 B","-929,00 M","-963,00 M","-811,00 M","-804,00 M","-756,00 M","-827,00 M","-717,00 M","-647,00 M","-620,00 M","-626,00 M","-580,00 M","-547,00 M","-520,00 M"
Despesas administrativas,"-214,00 M","-279,00 M","-252,00 M","-249,00 M","-231,00 M","-226,00 M","-253,00 M","-194,00 M","-205,00 M","-239,00 M","-209,00 M","-177,00 M","-206,00 M","-215,00 M","-211,00 M","-193,00 M","-168,00 M","-132,00 M","-167,00 M","-152,00 M","-137,00 M","-131,00 M","-106,00 M","-104,00 M","-94,00 M","-68,00 M","-104,00 M","-88,00 M","-92,00 M"
EBIT,"1,31 B","686,00 M","1,00 B","993,00 M","941,00 M","1,20 B","956,00 M","877,00 M","814,00 M","1,04 B","887,00 M","737,00 M","619,00 M","868,00 M","748,00 M","709,00 M","525,00 M","700,00 M","800,00 M","596,00 M","483,00 M","791,00 M","567,00 M","384,00 M","326,00 M","539,00 M","523,00 M","361,00 M","279,00 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-870,00 M","-880,00 M","-879,00 M","-840,00 M","-790,00 M","-669,00 M","-761,00 M","-719,00 M","-760,00 M","-736,00 M","-737,00 M","-628,00 M","-630,00 M","-445,00 M","-440,00 M","-328,00 M","-302,00 M","-287,00 M","-164,00 M","-145,00 M","-134,00 M","-27,00 M","-130,00 M","-131,00 M","-155,00 M","-182,00 M","79,00 M","-49,00 M","-48,00 M"
Antes dos impostos,"445,00 M","-194,00 M","124,00 M","153,00 M","151,00 M","528,00 M","195,00 M","158,00 M","54,00 M","306,00 M","150,00 M","109,00 M","-11,00 M","423,00 M","308,00 M","381,00 M","223,00 M","413,00 M","636,00 M","451,00 M","349,00 M","764,00 M","437,00 M","253,00 M","171,00 M","357,00 M","602,00 M","312,00 M","231,00 M"
