Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023
Ativo total,"21,13 M","22,81 M","24,84 M","25,28 M","26,25 M","27,60 M","31,56 M","30,87 M","32,82 M","25,95 M"
Ativo circulante,"8,79 M","10,27 M","12,36 M","12,66 M","13,44 M","14,78 M","18,46 M","18,67 M","20,52 M","25,31 M"
Caixa e eq. de caixa,"2,70 M","3,13 M","3,41 M","2,42 M","1,95 M","4,38 M","7,34 M","7,17 M","8,35 M","19,56 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0
Contas a receber,"3,97 M","5,00 M","6,63 M","7,86 M","8,73 M","7,86 M","8,88 M","9,41 M","10,15 M","4,50 M"
Estoques,"500,00 Mil","348,00 Mil","474,00 Mil","508,00 Mil","733,00 Mil","387,00 Mil","472,00 Mil","570,00 Mil","585,00 Mil",0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"12,33 M","12,54 M","12,48 M","12,61 M","12,81 M","12,82 M","13,10 M","12,20 M","12,30 M","638,00 Mil"
Investimentos,0,0,0,0,0,0,0,0,0,0
Imobilizado,"2,26 M","2,40 M","2,19 M","2,16 M","2,20 M","2,05 M","2,17 M","1,11 M","1,05 M","537,00 Mil"
Intangível,"9,98 M","10,13 M","10,29 M","10,46 M","10,61 M","10,77 M","10,93 M","11,09 M","11,25 M","101,00 Mil"
Passivo total,"21,13 M","22,81 M","24,84 M","25,28 M","26,25 M","27,60 M","31,56 M","30,87 M","32,82 M","25,95 M"
Passivo circulante,"2,16 M","1,71 M","1,77 M","1,68 M","2,08 M","2,46 M","2,88 M","1,87 M","2,82 M","755,00 Mil"
Fornecedores,"618,00 Mil","397,00 Mil","346,00 Mil","335,00 Mil","678,00 Mil","453,00 Mil","393,00 Mil","443,00 Mil","366,00 Mil","321,00 Mil"
Empréstimos e financ.,"467,00 Mil","458,00 Mil","257,00 Mil","257,00 Mil","285,00 Mil","312,00 Mil",0,0,0,"102,00 Mil"
Passivo não circulante,"777,00 Mil","897,00 Mil","792,00 Mil","857,00 Mil","924,00 Mil","989,00 Mil","1,10 M","237,00 Mil","277,00 Mil","88,00 Mil"
Emprést. de longo prazo,"776,00 Mil","896,00 Mil","788,00 Mil","854,00 Mil","919,00 Mil","983,00 Mil",0,0,0,"88,00 Mil"
Patrimônio líquido,"18,19 M","20,21 M","22,28 M","22,73 M","23,25 M","24,15 M","27,57 M","28,77 M","29,72 M","25,10 M"
Aos não controladores,"1,95 M","2,06 M","2,03 M","1,95 M","2,02 M","1,68 M","2,57 M","2,60 M","2,29 M",0
