Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,4T2022
Ativo total,"6,84 B","2,72 B","2,71 B","2,59 B","2,50 B","2,45 B","2,35 B","2,32 B","2,26 B","2,30 B","2,05 B"
Ativo circulante,"2,27 B","1,17 B","1,13 B","1,01 B","914,23 M","940,06 M","808,52 M","795,33 M","773,37 M","755,36 M","787,11 M"
Caixa e eq. de caixa,"129,66 M","451,62 M","294,58 M","219,18 M","146,83 M","183,44 M","137,23 M","143,44 M","123,63 M","98,39 M","112,43 M"
Aplicações financeiras,"414,65 M","2,48 M","135,00 M","132,67 M","93,16 M","45,43 M","25,28 M","46,19 M","48,86 M","47,48 M",0
Contas a receber,"666,97 M","275,26 M","258,41 M","263,95 M","238,19 M","253,28 M","237,38 M","251,47 M","265,40 M","256,02 M","240,13 M"
Estoques,"833,95 M","397,57 M","397,00 M","349,73 M","349,07 M","347,56 M","339,50 M","325,57 M","319,90 M","340,36 M","285,06 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"4,57 B","1,55 B","1,59 B","1,58 B","1,58 B","1,51 B","1,54 B","1,52 B","1,49 B","1,54 B","1,27 B"
Investimentos,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"2,96 B","1,39 B","1,42 B","1,42 B","1,40 B","1,35 B","1,37 B","1,34 B","1,34 B","1,35 B","1,15 B"
Intangível,"1,23 B","59,11 M","61,16 M","59,79 M","58,95 M","58,27 M","54,89 M","52,85 M","50,80 M","48,91 M","36,42 M"
Passivo total,"6,84 B","2,72 B","2,71 B","2,59 B","2,50 B","2,45 B","2,35 B","2,32 B","2,26 B","2,30 B","2,05 B"
Passivo circulante,"1,90 B","837,28 M","808,62 M","714,14 M","675,61 M","718,73 M","671,40 M","660,38 M","634,43 M","668,86 M","602,69 M"
Fornecedores,"879,06 M","486,89 M","455,52 M","392,96 M","383,69 M","420,41 M","388,18 M","366,70 M","376,02 M","405,10 M","377,78 M"
Empréstimos e financ.,"186,49 M",0,0,0,0,0,0,0,0,0,0
Passivo não circulante,"1,85 B","813,05 M","824,60 M","836,22 M","816,38 M","747,90 M","757,90 M","731,39 M","727,41 M","745,29 M","654,69 M"
Emprést. de longo prazo,"199,89 M",0,0,0,0,0,0,0,0,0,0
Patrimônio líquido,"3,09 B","1,07 B","1,08 B","1,04 B","1,00 B","988,28 M","916,61 M","925,33 M","897,68 M","884,78 M","794,80 M"
Aos não controladores,0,0,0,0,0,0,0,0,0,0,0
