Conta,1T2026 (TTM),2025,2024,2023,2022
P/L,--,--,-,-,-
P/VP,--,--,-,-,-
P/EBIT,--,--,-,-,-
P/EBIT *,--,--,-,-,-
PSR,--,--,-,-,-
P/Ativos,--,--,-,-,-
LPA,--,--,-,-,-
VPA,--,--,-,-,-
EBIT por ação,--,--,-,-,-
EBIT por ação *,--,--,-,-,-
Ativo por ação,--,--,-,-,-
Receita líquida por ação,--,--,-,-,-
Margem bruta,"46,01%","45,17%","42,94%","43,70%","44,87%"
Margem líquida,"3,33%","3,63%","4,27%","2,27%","3,78%"
Margem EBIT,"7,45%","7,30%","7,68%","5,72%","6,44%"
Margem EBIT *,"7,51%","7,18%","2,65%","4,97%","5,60%"
Margem EBITDA,"7,59%","10,89%","15,93%","8,66%","13,71%"
Margem EBITDA *,"7,65%","10,77%","10,90%","7,91%","12,87%"
Margem operacional,"5,00%","5,27%","5,82%","3,26%","5,04%"
ROE,"4,31%","10,19%","11,82%","6,64%","10,18%"
ROA,"0,02","0,04","0,05","0,03","0,04"
ROIC,"5,50%","12,35%","11,64%","8,46%","8,83%"
ROIC *,"5,55%","12,13%","4,02%","7,35%","7,68%"
Giro do ativo,"0,59","1,11","1,12","1,12","1,04"
EBIT *,300 mi,216 mi,72 mi,128 mi,119 mi
EBITDA,303 mi,328 mi,436 mi,223 mi,293 mi
EBITDA *,306 mi,324 mi,298 mi,204 mi,275 mi
Liquidez corrente,"1,19","1,40","1,31","1,13","1,31"
Liquidez seca,"0,75","0,92","0,82","0,62","0,83"
Liquidez imediata,"0,07","0,54","0,26","0,15","0,19"
Dívida bruta,386 mi,0 mi,0 mi,0 mi,0 mi
Dívida líquida,-158 mi,-455 mi,-229 mi,-146 mi,-113 mi
Capital de giro,367 mi,332 mi,221 mi,86 mi,184 mi
Endividamento geral,"121,10%","153,80%","148,40%","159,83%","158,20%"
