Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020
Ativo total,"47,38 B","48,73 B","48,83 B","49,20 B","52,27 B","52,75 B","31,49 B","29,26 B","27,69 B","28,99 B","31,22 B","33,01 B","33,69 B","32,28 B","29,34 B","29,39 B","28,45 B","19,56 B","18,53 B","18,03 B","18,26 B","18,42 B"
Ativo circulante,"7,41 B","8,46 B","8,82 B","8,73 B","11,09 B","11,13 B","9,68 B","7,32 B","5,35 B","5,94 B","7,79 B","9,19 B","6,90 B","6,27 B","5,50 B","5,95 B","5,47 B","2,35 B","1,88 B","1,69 B","1,83 B","1,74 B"
Caixa e eq. de caixa,"2,96 B","3,83 B","4,48 B","4,91 B","6,13 B","7,20 B","5,28 B","4,99 B","3,09 B","3,24 B","4,90 B","6,23 B","3,34 B","3,13 B","2,88 B","3,21 B","3,05 B","1,60 B","1,38 B","1,19 B","1,29 B","1,10 B"
Aplicações financeiras,"612,47 M","556,29 M","596,31 M","25,75 M","31,45 M","2,63 M","14,40 M",0,0,0,0,"59,61 M","58,00 M","105,35 M","102,61 M","142,90 M","124,66 M","77,75 M",0,0,0,0
Contas a receber,"1,64 B","1,71 B","1,54 B","1,23 B","1,40 B","1,49 B","919,20 M","575,06 M","569,25 M","679,48 M","656,78 M","569,73 M","577,27 M","617,86 M","625,92 M","549,63 M","556,03 M","328,63 M","330,26 M","325,71 M","382,85 M","384,39 M"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"39,97 B","40,27 B","40,01 B","40,47 B","41,17 B","41,62 B","21,82 B","21,94 B","22,35 B","23,06 B","23,43 B","23,82 B","26,79 B","26,01 B","23,84 B","23,44 B","22,99 B","17,21 B","16,65 B","16,34 B","16,43 B","16,68 B"
Investimentos,"2,11 B","2,13 B","2,13 B","2,22 B","2,30 B","2,26 B","2,11 B","2,05 B","2,11 B","2,06 B","2,11 B","2,13 B","2,19 B","2,16 B","1,08 B","1,02 B","1,10 B",0,0,0,0,0
Imobilizado,"25,35 B","25,57 B","25,87 B","25,96 B","26,15 B","26,33 B","11,64 B","11,73 B","11,80 B","11,91 B","11,88 B","11,22 B","10,66 B","10,44 B","10,15 B","9,75 B","9,18 B","8,99 B","8,90 B","8,63 B","8,72 B","8,83 B"
Intangível,"7,07 B","7,20 B","7,11 B","7,11 B","7,23 B","7,36 B","2,52 B","2,43 B","2,44 B","2,46 B","2,54 B","2,56 B","2,57 B","2,59 B","3,79 B","3,83 B","3,87 B","2,37 B","2,18 B","1,74 B","1,75 B","1,77 B"
Passivo total,"47,38 B","48,73 B","48,83 B","49,20 B","52,27 B","52,75 B","31,49 B","29,26 B","27,69 B","28,99 B","31,22 B","33,01 B","33,69 B","32,28 B","29,34 B","29,39 B","28,45 B","19,56 B","18,53 B","18,03 B","18,26 B","18,42 B"
Passivo circulante,"6,67 B","6,40 B","6,78 B","6,40 B","7,64 B","7,15 B","5,03 B","2,99 B","3,18 B","3,85 B","4,07 B","4,34 B","4,04 B","4,20 B","3,11 B","574,37 M","3,09 B","1,60 B","1,07 B","989,69 M","1,56 B","1,45 B"
Fornecedores,"1,26 B","1,46 B","1,35 B","1,02 B","1,04 B","1,31 B","784,73 M","422,94 M","410,72 M","572,32 M","935,02 M","736,37 M","574,06 M","549,02 M","467,97 M","431,88 M","431,42 M","225,58 M","290,40 M","160,16 M","149,59 M","147,93 M"
Empréstimos e financ.,"2,13 B","1,95 B","2,25 B","2,16 B","2,44 B","2,71 B","807,10 M","775,33 M","865,02 M","857,87 M","439,86 M","954,46 M","286,58 M","278,53 M","240,04 M","229,58 M","207,85 M","210,78 M","114,71 M","128,70 M","115,49 M","130,76 M"
Passivo não circulante,"27,59 B","28,55 B","28,49 B","28,73 B","30,04 B","31,12 B","13,88 B","13,96 B","12,29 B","12,77 B","13,19 B","13,89 B","14,17 B","12,83 B","13,28 B","13,32 B","12,54 B","8,91 B","8,31 B","8,61 B","8,52 B","8,72 B"
Emprést. de longo prazo,"21,73 B","22,74 B","22,75 B","22,51 B","23,72 B","24,51 B","7,58 B","7,53 B","5,67 B","5,56 B","5,77 B","5,77 B","5,88 B","5,60 B","5,57 B","5,36 B","4,63 B","4,51 B","4,21 B","3,66 B","3,65 B","3,63 B"
Patrimônio líquido,"13,12 B","13,78 B","13,56 B","14,06 B","14,58 B","14,48 B","12,59 B","12,32 B","12,22 B","12,37 B","13,96 B","14,79 B","15,48 B","15,25 B","12,95 B","12,73 B","12,82 B","9,05 B","9,15 B","8,43 B","8,18 B","8,25 B"
Aos não controladores,"1,21 B","1,27 B","1,29 B","1,38 B","1,33 B","1,28 B",0,0,0,0,0,0,0,0,0,0,0,"4,59 B","4,77 B","4,29 B","4,28 B","4,37 B"
