Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018
P/L,"-1,03","6,11","-1,38","-1,49","-16,73","-14,01",-,-
P/VP,"-0,69","-6,76","-1,03","-1,55","481,06","10,95",-,-
P/EBIT,"0,97","2,79","-4,14","-3,34","-24,62","-14,22",-,-
P/EBIT *,"0,92","2,20","13,08","-7,59","-53,39","-28,19",-,-
PSR,"0,22","0,60","1,69","2,31","27,68","23,85",-,-
P/Ativos,"0,10","0,30","0,63","0,35","3,39","1,87",-,-
LPA,"-0,64","0,34","-2,99","-2,10","-1,93","-1,57",-,-
VPA,"-0,95","-0,31","-4,01","-2,03","0,07","2,01",-,-
EBIT por ação,"0,68","0,74","-1,00","-0,94","-1,31","-1,55",-,-
EBIT por ação *,"0,71","0,94","0,32","-0,41","-0,60","-0,78",-,-
Ativo por ação,"6,83","6,99","6,55","8,94","9,53","11,75",-,-
Receita líquida por ação,"2,99","3,48","2,45","1,36","1,17","0,92",-,-
Margem bruta,"35,21%","38,83%","34,32%","13,38%","-1,98%","-34,97%","-94,56%","-296,90%"
Margem líquida,"-18,04%","12,55%","-121,39%","-154,91%","-167,48%","-232,94%","-501,36%","-1.519,71%"
Margem EBIT,"22,64%","21,38%","-40,85%","-69,23%","-112,46%","-167,68%","-259,74%","-783,49%"
Margem EBIT *,"23,87%","27,12%","12,92%","-30,49%","-51,85%","-84,61%","-157,67%","-573,70%"
Margem EBITDA,"22,90%","21,59%","-40,41%","-66,91%","-108,47%","-158,89%","-249,53%","-757,61%"
Margem EBITDA *,"24,13%","27,33%","13,35%","-28,17%","-47,86%","-75,81%","-147,46%","-547,81%"
Margem operacional,"-13,78%","16,60%","-117,12%","-152,04%","-164,75%","-231,48%","-500,13%","-1.507,43%"
ROE,"62,06%","-267,80%","75,28%","104,65%","-2.982,95%","-105,82%","-153,11%","316,32%"
ROA,"-0,08","0,06","-0,45","-0,24","-0,20","-0,18","-0,37","-0,31"
ROIC,"12,12%","13,87%","-18,30%","-11,98%","-15,22%","-16,25%","-20,60%","-16,95%"
ROIC *,"12,78%","17,60%","5,79%","-5,28%","-7,02%","-8,20%","-12,51%","-12,41%"
Giro do ativo,"0,44","0,50","0,37","0,15","0,12","0,08","0,07","0,02"
EBIT *,139 mi,184 mi,61 mi,-81 mi,-119 mi,-153 mi,-259 mi,-299 mi
EBITDA,133 mi,146 mi,-194 mi,-178 mi,-248 mi,-287 mi,-410 mi,-395 mi
EBITDA *,141 mi,185 mi,63 mi,-75 mi,-110 mi,-137 mi,-243 mi,-286 mi
Liquidez corrente,"0,92","0,84","0,45","0,55","0,97","1,50","1,72","1,80"
Liquidez seca,"0,66","0,61","0,32","0,31","0,97","1,50","1,72","1,80"
Liquidez imediata,"0,27","0,35","0,00","0,01","0,02","0,03","0,05","0,02"
Dívida bruta,751 mi,622 mi,1.197 mi,1.024 mi,934 mi,978 mi,997 mi,2.223 mi
Dívida líquida,564 mi,384 mi,1.044 mi,856 mi,813 mi,634 mi,937 mi,2.147 mi
Capital de giro,-50 mi,-101 mi,-520 mi,-537 mi,-24 mi,317 mi,337 mi,458 mi
Endividamento geral,"-884,57%","-4.389,91%","-265,75%","-545,00%","14.454,58%","478,63%","314,00%","-1.131,31%"
