Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"279,91 B","279,69 B","266,50 B","274,96 B","282,02 B","289,87 B","279,80 B","273,76 B","264,38 B","267,06 B","276,81 B","263,46 B","267,83 B","270,22 B","266,51 B","245,25 B","189,05 B","188,30 B","193,26 B","181,08 B","177,37 B","178,97 B","181,58 B","184,10 B","178,69 B","178,62 B","177,21 B","181,90 B","179,67 B","181,21 B","177,69 B","176,95 B","171,19 B","172,98 B","171,35 B","170,56 B","168,07 B","170,50 B","175,12 B","173,05 B","149,03 B","149,65 B","152,67 B","150,90 B","152,43 B","144,63 B","149,25 B","141,80 B","141,47 B","138,59 B","140,51 B","140,74 B","141,38 B","142,43 B","170,79 B","167,77 B","164,77 B","164,08 B","152,94 B","146,30 B","149,75 B","146,90 B","137,71 B"
Ativo circulante,"55,25 B","52,09 B","52,37 B","49,99 B","57,38 B","64,45 B","55,08 B","54,65 B","45,23 B","48,02 B","58,04 B","43,75 B","48,52 B","49,62 B","43,52 B","40,10 B","41,40 B","39,74 B","45,21 B","50,10 B","43,76 B","44,82 B","46,52 B","47,52 B","42,73 B","41,49 B","38,82 B","42,04 B","44,64 B","46,85 B","46,60 B","41,29 B","36,95 B","37,36 B","32,01 B","30,54 B","27,19 B","29,27 B","26,70 B","27,27 B","28,64 B","29,44 B","30,44 B","31,13 B","34,45 B","30,55 B","30,49 B","26,85 B","29,33 B","39,08 B","37,61 B","37,25 B","40,31 B","41,87 B","34,89 B","35,24 B","36,66 B","36,66 B","30,87 B","30,36 B","34,74 B","32,57 B","28,80 B"
Caixa e eq. de caixa,"12,54 B","16,42 B","18,50 B","22,98 B","23,24 B","26,57 B","22,44 B","18,30 B","12,16 B","13,62 B","21,68 B","13,00 B","14,78 B","13,84 B","6,76 B","5,30 B","3,41 B","2,90 B","5,77 B","4,74 B","4,08 B","3,86 B","3,61 B","3,19 B","3,83 B","3,56 B","3,52 B","6,83 B","3,22 B","2,14 B","2,67 B","2,50 B","2,08 B","2,12 B","2,45 B","2,54 B","2,90 B","2,18 B","2,64 B","2,72 B","3,18 B","2,04 B","2,96 B","2,15 B","2,88 B","3,15 B","3,85 B","3,06 B","5,15 B","4,48 B","4,33 B","4,68 B","7,16 B","6,01 B","9,03 B","8,88 B","8,23 B","7,99 B","7,08 B","11,33 B","12,36 B","11,28 B","9,96 B"
Aplicações financeiras,"15,14 B","11,13 B","9,75 B","6,86 B","7,62 B","8,95 B","6,70 B","8,22 B","5,83 B","5,92 B","10,27 B","7,20 B","8,53 B","12,19 B","12,64 B","13,07 B","15,31 B","15,48 B","18,55 B","19,08 B","14,36 B","13,67 B","11,87 B","14,36 B","11,74 B","10,43 B","9,13 B","9,81 B","7,23 B","6,41 B","6,36 B","6,67 B","6,31 B","6,92 B","7,37 B","6,42 B","6,50 B","5,68 B","5,77 B","6,24 B","5,44 B","6,84 B","6,92 B","7,01 B","4,65 B","3,73 B","6,27 B","7,10 B","5,83 B","6,10 B","7,18 B","7,64 B","9,22 B","6,35 B","7,32 B","7,77 B","11,22 B","11,25 B","7,08 B","3,35 B","6,03 B","6,77 B","7,66 B"
Contas a receber,"7,75 B","5,58 B","5,42 B","5,23 B","5,32 B","5,91 B","5,40 B","5,07 B","4,98 B","5,21 B","5,26 B","4,53 B","5,00 B","4,79 B","5,05 B","4,76 B","5,25 B","5,09 B","4,40 B","5,73 B","5,78 B","5,97 B","7,09 B","6,25 B","5,14 B","5,28 B","6,59 B","6,33 B","5,34 B","4,08 B","5,06 B","4,41 B","4,33 B","4,66 B","5,41 B","6,24 B","4,59 B","4,40 B","4,48 B","4,44 B","4,15 B","4,14 B","5,13 B","4,53 B","4,75 B","4,43 B","3,79 B","3,30 B","4,44 B","3,59 B","3,38 B","3,68 B","3,74 B","4,08 B","4,61 B","4,40 B","4,44 B","4,35 B","3,97 B","3,16 B","3,98 B","3,78 B","3,10 B"
Estoques,"421,52 M","422,55 M","389,92 M","393,24 M","446,28 M","441,47 M","474,82 M","468,23 M","449,01 M","426,69 M","452,86 M","465,96 M","447,03 M","429,31 M","486,74 M","389,16 M","1,16 B","1,12 B","1,02 B","957,70 M","935,65 M","938,33 M","942,01 M","1,03 B","993,54 M","1,01 B","939,01 M","895,97 M","908,43 M","890,93 M","941,78 M","927,41 M","934,88 M","944,39 M","1,04 B","1,04 B","988,25 M","996,63 M","984,53 M","996,75 M","992,09 M","1,03 B","947,75 M","970,02 M","873,66 M","852,93 M","1,03 B","1,01 B","1,02 B","958,34 M","906,25 M","840,35 M","889,33 M","806,91 M","880,68 M","811,50 M","768,33 M","747,39 M","672,59 M","652,67 M","673,65 M","676,61 M","675,10 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"224,66 B","227,60 B","214,13 B","224,97 B","224,64 B","225,42 B","224,72 B","219,11 B","219,15 B","219,04 B","218,77 B","219,71 B","219,31 B","220,59 B","222,99 B","205,15 B","147,65 B","148,56 B","148,05 B","130,98 B","133,61 B","134,14 B","135,06 B","136,58 B","135,95 B","137,14 B","138,39 B","139,86 B","135,03 B","134,36 B","131,10 B","135,67 B","134,25 B","135,62 B","139,34 B","140,02 B","140,88 B","141,23 B","148,43 B","145,77 B","120,39 B","120,21 B","122,23 B","119,77 B","117,98 B","114,08 B","118,76 B","114,95 B","112,14 B","99,51 B","102,90 B","103,49 B","101,07 B","100,56 B","135,90 B","132,53 B","128,11 B","127,42 B","122,08 B","115,94 B","115,02 B","114,33 B","108,91 B"
Investimentos,"22,83 B","24,52 B","24,45 B","32,00 B","32,09 B","31,69 B","32,24 B","31,73 B","33,59 B","33,20 B","34,98 B","35,20 B","34,45 B","33,99 B","33,87 B","33,49 B","27,18 B","27,65 B","28,49 B","28,12 B","29,06 B","29,09 B","29,73 B","29,65 B","28,93 B","29,01 B","28,79 B","28,45 B","28,28 B","27,98 B","27,64 B","29,05 B","28,82 B","28,71 B","28,71 B","28,01 B","27,40 B","26,53 B","27,32 B","24,21 B","23,14 B","21,95 B","21,84 B","21,02 B","20,68 B","20,07 B","19,48 B","19,17 B","18,67 B","17,41 B","16,84 B","16,35 B","15,11 B","14,68 B","4,59 B","4,79 B","4,77 B","5,51 B","4,70 B","4,78 B","4,80 B","4,72 B","5,29 B"
Imobilizado,"39,53 B","39,66 B","39,09 B","39,11 B","36,59 B","36,85 B","36,22 B","36,19 B","35,76 B","35,81 B","38,78 B","34,91 B","34,75 B","34,74 B","34,40 B","16,59 B","33,20 B","33,37 B","32,97 B","32,45 B","32,49 B","32,66 B","32,63 B","32,75 B","32,91 B","33,32 B","32,32 B","32,49 B","32,66 B","32,37 B","24,87 B","27,16 B","27,63 B","27,97 B","26,08 B","26,45 B","26,61 B","26,81 B","27,11 B","27,62 B","29,86 B","29,55 B","31,26 B","32,07 B","31,79 B","31,17 B","30,64 B","30,27 B","29,92 B","30,25 B","30,04 B","29,85 B","29,54 B","29,49 B","58,13 B","55,70 B","54,39 B","53,21 B","50,88 B","48,88 B","48,22 B","46,68 B","41,60 B"
Intangível,"76,03 B","76,63 B","76,95 B","77,26 B","77,52 B","78,17 B","78,56 B","78,88 B","79,43 B","79,87 B","79,09 B","79,24 B","79,62 B","79,98 B","80,24 B","79,43 B","4,80 B","4,99 B","5,08 B","670,87 M","664,24 M","785,49 M","643,31 M","630,30 M","635,91 M","655,04 M","633,20 M","629,84 M","791,05 M","649,65 M","607,59 M","711,66 M","690,21 M","749,76 M","672,70 M","740,26 M","744,44 M","761,74 M","958,77 M","913,97 M","982,49 M","935,15 M","1,14 B","1,16 B","1,32 B","1,37 B","784,88 M","713,73 M","762,96 M","788,58 M","1,11 B","1,14 B","1,15 B","1,20 B","2,36 B","2,36 B","2,37 B","2,37 B","2,37 B","2,17 B","2,18 B","2,26 B","2,02 B"
Passivo total,"279,91 B","279,69 B","266,50 B","274,96 B","282,02 B","289,87 B","279,80 B","273,76 B","264,38 B","267,06 B","276,81 B","263,46 B","267,83 B","270,22 B","266,51 B","245,25 B","189,05 B","188,30 B","193,26 B","181,08 B","177,37 B","178,97 B","181,58 B","184,10 B","178,69 B","178,62 B","177,21 B","181,90 B","179,67 B","181,21 B","177,69 B","176,95 B","171,19 B","172,98 B","171,35 B","170,56 B","168,07 B","170,50 B","175,12 B","173,05 B","149,03 B","149,65 B","152,67 B","150,90 B","152,43 B","144,63 B","149,25 B","141,80 B","141,47 B","138,59 B","140,51 B","140,74 B","141,38 B","142,43 B","170,79 B","167,77 B","164,77 B","164,08 B","152,94 B","146,30 B","149,75 B","146,90 B","137,71 B"
Passivo circulante,"26,22 B","30,98 B","27,31 B","26,81 B","25,06 B","31,63 B","26,76 B","23,21 B","28,79 B","27,16 B","30,91 B","29,84 B","23,64 B","26,44 B","24,70 B","27,24 B","24,17 B","23,88 B","26,60 B","25,74 B","24,50 B","27,39 B","24,70 B","26,46 B","24,62 B","26,34 B","24,81 B","28,50 B","33,35 B","36,52 B","40,69 B","33,37 B","33,81 B","34,19 B","28,05 B","27,60 B","26,26 B","31,14 B","31,38 B","31,26 B","29,18 B","28,10 B","22,55 B","22,29 B","22,08 B","19,28 B","26,65 B","21,80 B","19,70 B","25,62 B","22,89 B","23,00 B","23,93 B","25,33 B","31,47 B","29,85 B","26,43 B","26,12 B","20,67 B","16,26 B","19,31 B","18,37 B","13,27 B"
Fornecedores,"2,01 B","3,92 B","2,79 B","2,18 B","2,34 B","2,76 B","2,00 B","1,66 B","1,85 B","2,96 B","2,51 B","2,02 B","2,46 B","3,52 B","3,10 B","2,26 B","3,20 B","4,03 B","3,51 B","2,73 B","2,92 B","3,90 B","2,58 B","2,87 B","3,01 B","3,10 B","2,49 B","2,92 B","2,84 B","3,36 B","7,68 B","7,62 B","10,09 B","10,44 B","11,66 B","10,38 B","9,54 B","9,66 B","11,83 B","11,71 B","10,57 B","10,13 B","9,26 B","9,19 B","8,70 B","7,49 B","13,00 B","11,57 B","9,04 B","7,74 B","6,79 B","6,20 B","5,39 B","6,42 B","6,91 B","6,36 B","5,58 B","6,34 B","4,37 B","4,69 B","5,01 B","5,17 B","3,08 B"
