Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"1,33 B","1,17 B","1,05 B","2,19 B","1,31 B","688,23 M","777,70 M","686,92 M","734,88 M","724,48 M","601,57 M","614,58 M","581,40 M","546,84 M","495,86 M","466,69 M","454,96 M","419,11 M","170,21 M","44,72 M","45,97 M","63,72 M","61,71 M","63,72 M","63,72 M","55,30 M","51,78 M","54,78 M","54,91 M","59,02 M","62,43 M","118,53 M","129,92 M","133,42 M","152,28 M","163,46 M","158,69 M","159,37 M","145,86 M","153,50 M","164,70 M","166,97 M","162,32 M","163,86 M","161,18 M","156,30 M","157,77 M","154,95 M","153,32 M","152,65 M","146,13 M","138,75 M","138,99 M","144,50 M","142,94 M","147,11 M","137,12 M","137,09 M","138,15 M","134,59 M","134,80 M","153,55 M","148,69 M"
Ativo circulante,"374,35 M","241,42 M","214,00 M","478,72 M","163,83 M","126,06 M","168,25 M","154,33 M","168,69 M","156,64 M","242,71 M","256,76 M","221,99 M","179,37 M","161,26 M","145,92 M","135,83 M","117,53 M","88,27 M","27,96 M","27,17 M","39,71 M","34,78 M","39,71 M","39,71 M","21,25 M","19,79 M","20,94 M","20,34 M","22,74 M","23,96 M","47,80 M","58,20 M","58,55 M","82,78 M","86,27 M","87,08 M","91,72 M","81,14 M","95,09 M","111,94 M","112,02 M","106,73 M","108,64 M","104,97 M","99,30 M","98,02 M","94,36 M","93,27 M","93,39 M","86,92 M","81,71 M","82,25 M","86,34 M","88,50 M","88,86 M","87,05 M","86,74 M","87,75 M","84,33 M","87,43 M","106,74 M","105,95 M"
Caixa e eq. de caixa,"39,50 M","30,07 M","7,19 M","14,95 M","10,93 M","3,15 M","6,88 M","1,95 M","1,19 M","2,09 M","1,82 M","8,98 M","5,09 M","11,67 M","15,99 M","17,56 M","17,48 M","19,34 M","58,73 M","1,53 M","296,00 Mil","4,58 M","190,00 Mil","4,58 M","4,58 M","46,00 Mil","7,00 Mil","10,00 Mil","11,00 Mil","93,00 Mil","98,00 Mil","296,00 Mil","139,00 Mil","356,00 Mil","746,00 Mil","3,12 M","2,64 M","3,19 M","400,00 Mil","308,00 Mil","710,00 Mil","9,85 M","1,87 M","882,00 Mil","486,00 Mil","23,41 M","24,70 M","15,66 M","15,24 M","10,96 M","8,39 M","10,71 M","7,32 M","16,64 M","3,88 M","6,16 M","5,39 M","8,49 M","618,00 Mil","1,14 M","581,00 Mil","10,75 M","33,00 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,91 M","2,25 M","8,52 M",0,"6,24 M","10,46 M","9,82 M",0,0,0,0,0,0,0,0,0,0,0,0,0,"16,05 M","24,77 M","56,20 M",0,0
Contas a receber,"237,98 M","148,92 M","139,43 M","385,14 M","92,68 M","70,46 M","92,23 M","85,14 M","95,90 M","80,92 M","156,50 M","151,21 M","128,90 M","91,87 M","72,29 M","54,66 M","46,40 M","43,99 M","3,94 M","4,45 M","3,55 M","4,07 M","3,92 M","4,07 M","4,07 M","1,70 M","9,75 M","1,05 M","9,49 M","12,12 M","13,27 M","32,87 M","37,79 M","36,90 M","33,98 M","34,16 M","38,21 M","51,32 M","40,03 M","55,20 M","71,22 M","92,25 M","75,49 M","74,94 M","65,92 M","64,42 M","66,09 M","69,76 M","68,30 M","72,80 M","69,21 M","62,74 M","66,61 M","57,69 M","72,36 M","72,66 M","69,01 M","65,07 M","46,49 M","39,10 M","16,14 M","83,92 M","55,70 M"
Estoques,"25,28 M","20,40 M","20,99 M","23,63 M","18,27 M","17,67 M","24,53 M","25,16 M","24,16 M","24,31 M","26,72 M","29,87 M","45,07 M","43,21 M","42,44 M","53,68 M","48,91 M","37,37 M","18,33 M","18,83 M","18,33 M","19,26 M","19,71 M","19,26 M","19,26 M","19,49 M","9,67 M","10,38 M","10,39 M","10,39 M","10,39 M","10,85 M","15,09 M","15,58 M","16,08 M","16,39 M","16,80 M","17,16 M","14,09 M","16,57 M","16,66 M","8,93 M","6,12 M","8,74 M","13,98 M","10,21 M","6,92 M","8,40 M","8,08 M","7,85 M","8,22 M","6,00 M","5,83 M","9,40 M","7,56 M","9,61 M","12,11 M","12,51 M","17,57 M","13,97 M","10,66 M","11,54 M","16,30 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"956,58 M","932,91 M","832,49 M","1,71 B","1,15 B","562,17 M","609,45 M","532,58 M","566,19 M","567,84 M","358,86 M","357,82 M","359,41 M","367,46 M","334,60 M","320,77 M","319,12 M","301,58 M","81,94 M","16,76 M","18,80 M","24,01 M","26,93 M","24,01 M","24,01 M","34,05 M","31,99 M","33,85 M","34,57 M","36,28 M","38,47 M","70,73 M","71,72 M","74,87 M","69,50 M","77,19 M","71,62 M","67,65 M","64,72 M","58,41 M","52,77 M","54,95 M","55,59 M","55,22 M","56,20 M","57,00 M","59,75 M","60,59 M","60,05 M","59,26 M","59,20 M","57,04 M","56,74 M","58,16 M","54,44 M","58,25 M","50,07 M","50,35 M","50,40 M","50,26 M","47,37 M","46,81 M","42,74 M"
Investimentos,"571,49 M","565,72 M","420,07 M","424,88 M","782,20 M","28,00 M","55,61 M","192,91 M","69,41 M","69,41 M","69,41 M","69,41 M","51,60 M","45,00 M","45,00 M","45,00 M","45,00 M","40,25 M","40,25 M",0,0,0,0,0,0,0,0,0,"2,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil","12,00 Mil"
Imobilizado,"80,12 M","78,20 M","77,71 M","58,05 M","55,24 M","69,85 M","65,95 M","55,63 M","241,91 M","242,63 M","58,79 M","60,24 M","75,19 M","79,97 M","59,10 M","60,49 M","60,65 M","60,59 M","304,00 Mil","11,06 M","11,10 M","14,34 M","15,25 M","14,34 M","14,34 M","18,09 M","18,87 M","20,51 M","21,30 M","22,09 M","23,61 M","20,90 M","21,82 M","22,77 M","23,71 M","24,70 M","25,52 M","26,80 M","31,47 M","32,07 M","32,92 M","33,62 M","31,60 M","31,43 M","32,55 M","33,27 M","34,07 M","34,71 M","34,04 M","33,05 M","33,22 M","36,29 M","35,86 M","36,38 M","37,38 M","41,25 M","39,56 M","39,97 M","40,63 M","40,05 M","36,81 M","37,36 M","35,34 M"
