Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,4T2022
Ativo total,"270,08 M","268,37 M","263,50 M","211,36 M","201,95 M","192,26 M","186,88 M","9,00 Mil","1,00 Mil","1,00 Mil",0
Ativo circulante,"4,47 M","5,32 M","1,12 M","1,65 M","1,54 M","281,00 Mil","200,00 Mil","9,00 Mil","1,00 Mil","1,00 Mil",0
Caixa e eq. de caixa,"40,00 Mil","12,00 Mil","49,00 Mil","107,00 Mil","16,00 Mil","32,00 Mil","7,00 Mil","9,00 Mil","1,00 Mil","1,00 Mil",0
Aplicações financeiras,"394,00 Mil","1,18 M","30,00 Mil",0,"14,00 Mil","5,00 Mil",0,0,0,0,0
Contas a receber,0,0,"4,00 Mil",0,0,0,0,0,0,0,0
Estoques,"34,00 Mil","62,00 Mil","13,00 Mil","25,00 Mil","123,00 Mil","104,00 Mil","103,00 Mil",0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"265,61 M","263,05 M","262,38 M","209,71 M","200,41 M","191,98 M","186,68 M",0,0,0,0
Investimentos,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"138,63 M","137,24 M","131,84 M","82,76 M","21,06 M","17,16 M","12,38 M",0,0,0,0
Intangível,"93,17 M","93,97 M","94,21 M","94,48 M","146,46 M","148,48 M","150,16 M",0,0,0,0
Passivo total,"270,08 M","268,37 M","263,50 M","211,36 M","201,95 M","192,26 M","186,88 M","9,00 Mil","1,00 Mil","1,00 Mil",0
Passivo circulante,"9,71 M","8,76 M","8,17 M","19,55 M","18,25 M","9,51 M","8,74 M","23,00 Mil","1,00 Mil",0,0
Fornecedores,"4,71 M","4,03 M","3,55 M","4,48 M","3,68 M","1,40 M","2,06 M","20,00 Mil",0,0,0
Empréstimos e financ.,"2,06 M","2,05 M","1,66 M","7,24 M","7,05 M","2,49 M","2,55 M",0,0,0,0
Passivo não circulante,"14,82 M","11,60 M","2,78 M","41,13 M","33,59 M","28,11 M","26,29 M","61,00 Mil","4,00 Mil",0,0
Emprést. de longo prazo,"88,00 Mil","131,00 Mil","175,00 Mil","1,23 M","1,38 M","1,53 M","1,31 M",0,0,0,0
Patrimônio líquido,"245,54 M","248,02 M","252,55 M","150,68 M","150,11 M","154,64 M","151,85 M","-75,00 Mil","-4,00 Mil","1,00 Mil",0
Aos não controladores,0,0,0,0,0,0,0,--,--,0,--
