Conta,4T2025 (TTM),2024,2023,2022
P/L,--,--,-,-
P/VP,--,--,-,-
P/EBIT,--,--,-,-
P/EBIT *,--,--,-,-
PSR,--,--,-,-
P/Ativos,--,--,-,-
LPA,--,--,-,-
VPA,--,--,-,-
EBIT por ação,--,--,-,-
EBIT por ação *,--,--,-,-
Ativo por ação,--,--,-,-
Receita líquida por ação,--,--,-,-
Margem bruta,"59,14%","32,35%",--%,--%
Margem líquida,"-342,99%","-1.758,46%",--%,--%
Margem EBIT,"-277,97%","-2.601,09%",--%,--%
Margem EBIT *,"-264,88%","-127,89%",--%,--%
Margem EBITDA,"-143,23%","-2.407,14%",--%,--%
Margem EBITDA *,"-130,14%","66,06%",--%,--%
Margem operacional,"-392,38%","-2.618,93%",--%,--%
ROE,"-3,97%","-24,99%","0,00%",--%
ROA,"-0,04","-0,20","0,00",--
ROIC,"-3,03%","-29,96%",--%,--%
ROIC *,"-2,89%","-1,47%",--%,--%
Giro do ativo,"0,01","0,01","0,00",--
EBIT *,-8 mi,-3 mi,--,--
EBITDA,-5 mi,-53 mi,0 mi,--
EBITDA *,-4 mi,1 mi,--,--
Liquidez corrente,"0,61","0,03",--,--
Liquidez seca,"0,60","0,02",--,--
Liquidez imediata,"0,00","0,00",--,--
Dívida bruta,2 mi,4 mi,0 mi,0 mi
Dívida líquida,0 mi,3 mi,-1 mi,0 mi
Capital de giro,-4 mi,-10 mi,--,--
Endividamento geral,"8,21%","24,33%","0,00%",--%
