Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023
Receita líquida,"1,11 M","760,00 Mil","896,00 Mil","770,00 Mil","447,00 Mil","961,00 Mil","1,24 M",0,0,0,0,0,0
Custos,"-439,00 Mil","-241,00 Mil","-135,00 Mil","-288,00 Mil","-510,00 Mil","-541,00 Mil","-946,00 Mil",0,0,0,0,0,0
Lucro bruto,"673,00 Mil","519,00 Mil","761,00 Mil","482,00 Mil","-63,00 Mil","420,00 Mil","291,00 Mil",0,0,0,0,0,0
Despesas operacionais,"-3,68 M","-5,05 M","-2,26 M","2,37 M","-4,74 M","3,79 M","-61,67 M","-71,00 Mil","-5,00 Mil",0,0,0,0
Despesas com vendas,0,0,0,0,0,0,0,0,0,--,--,--,--
Despesas administrativas,"-3,67 M","-1,19 M","-1,97 M","-1,46 M","-4,69 M","1,29 M","-4,81 M","-71,00 Mil","-5,00 Mil",--,--,--,--
EBIT,"-3,00 M","-4,53 M","-1,50 M","2,85 M","-4,80 M","4,21 M","-61,38 M","-71,00 Mil","-5,00 Mil",0,0,0,0
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-214,00 Mil","-883,00 Mil","-288,00 Mil","-1,51 M","-605,00 Mil","-126,00 Mil","-266,00 Mil",0,0,0,0,0,0
Antes dos impostos,"-3,22 M","-5,42 M","-1,79 M","1,34 M","-5,41 M","4,09 M","-61,65 M","-71,00 Mil","-5,00 Mil",0,0,0,0
Imposto,"745,00 Mil","879,00 Mil","429,00 Mil","-762,00 Mil","873,00 Mil","-1,30 M","20,21 M",0,0,0,0,0,0
Op. continuadas,"-2,47 M","-4,54 M","-1,36 M","575,00 Mil","-4,53 M","2,79 M","-41,44 M","-71,00 Mil","-5,00 Mil",0,0,0,0
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"-2,47 M","-4,54 M","-1,36 M","575,00 Mil","-4,53 M","2,79 M","-41,44 M","-71,00 Mil","-5,00 Mil",0,0,0,0
Dos controladores,0,0,0,0,0,0,0,0,0,0,0,--,--
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,--,--
