Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016
Receita líquida,"5,47 B","5,57 B","5,74 B","4,94 B","5,39 B","5,55 B","5,13 B","4,17 B","4,68 B","4,91 B","4,92 B","4,25 B","4,48 B","4,45 B","4,38 B","3,92 B","3,19 B","3,73 B","2,72 B","1,70 B","1,83 B","1,73 B","805,33 M","401,59 M","2,80 B","3,25 B","3,03 B","2,62 B","2,54 B","2,46 B","2,42 B","1,99 B","2,19 B","2,19 B","2,00 B","1,72 B","1,87 B","1,82 B","1,74 B","1,44 B","1,67 B"
Custos,"-4,16 B","-4,05 B","-4,12 B","-4,28 B","-3,13 B","-3,92 B","-3,54 B","-3,41 B","-3,44 B","-3,90 B","-3,79 B","-3,59 B","-3,89 B","-3,01 B","-3,63 B","-3,50 B","-3,02 B","-2,14 B","-2,34 B","-1,82 B","-1,83 B","-1,21 B","-788,83 M","-1,11 B","-2,35 B","-5,31 B","-2,16 B","-1,98 B","-1,91 B","-1,75 B","-1,71 B","-1,77 B","-1,57 B","-1,60 B","-1,49 B","-1,42 B","-1,46 B","-1,42 B","-1,35 B","-1,23 B","-1,46 B"
Lucro bruto,"1,31 B","1,51 B","1,62 B","657,52 M","2,26 B","1,62 B","1,59 B","759,61 M","1,24 B","1,00 B","1,12 B","666,19 M","583,50 M","1,45 B","742,74 M","424,13 M","172,21 M","1,59 B","380,92 M","-119,48 M","-2,58 M","521,09 M","16,50 M","-709,29 M","457,14 M","-2,06 B","868,75 M","640,96 M","627,20 M","706,36 M","709,09 M","228,21 M","621,77 M","590,13 M","503,84 M","302,92 M","409,22 M","399,70 M","388,58 M","217,86 M","212,62 M"
Despesas operacionais,"646,73 M","689,35 M","-941,92 M","-693,77 M","-783,01 M","-501,37 M","-562,76 M","-318,43 M","-442,58 M","-484,55 M","-450,32 M","-364,98 M","-415,47 M","-355,32 M","-391,50 M","-287,67 M","-322,05 M","-961,67 M","-307,73 M","-282,44 M","-243,37 M","-807,46 M","-264,16 M","-314,56 M","-298,34 M","-341,60 M","-341,96 M","-299,30 M","-288,03 M","-285,61 M","-283,39 M","-254,41 M","-248,39 M","-284,54 M","-254,56 M","-198,00 M","-204,00 M","-229,73 M","-222,54 M","-216,55 M","-205,66 M"
Despesas com vendas,"-270,46 M","-285,60 M","-240,91 M","-177,42 M","-258,15 M","-269,23 M","-249,81 M","-200,72 M","-214,38 M","-233,29 M","-215,98 M","-188,78 M","-181,99 M","-223,58 M","-201,76 M","-163,32 M","-132,34 M","-162,89 M","-91,52 M","-79,57 M","-90,85 M","-108,62 M","-65,21 M","-60,72 M","-116,76 M","-130,31 M","-127,51 M","-115,72 M","-97,78 M","-111,08 M","-104,30 M","-82,60 M","-88,90 M","-94,18 M","-86,37 M","-73,64 M","-73,73 M","-82,80 M","-71,11 M","-75,71 M","-63,51 M"
Despesas administrativas,"-179,00 M","375,44 M","-525,63 M","-315,36 M","-311,80 M","-130,45 M","-162,69 M","-147,25 M","-127,06 M","-131,57 M","-180,73 M","-75,69 M","-114,20 M","-100,29 M","-119,14 M","-55,67 M","-78,77 M","-55,69 M","-105,00 M","-98,27 M","-68,34 M","-229,67 M","-198,94 M","-253,83 M","-181,58 M","-211,30 M","-214,46 M","-183,58 M","-190,25 M","-174,53 M","-179,09 M","-171,81 M","-159,49 M","-190,36 M","-168,19 M","-124,35 M","-130,27 M","-146,93 M","-151,43 M","-140,84 M","-142,15 M"
EBIT,"1,96 B","2,20 B","673,62 M","-36,25 M","1,48 B","1,12 B","1,03 B","441,18 M","800,74 M","520,01 M","671,83 M","301,22 M","168,03 M","1,09 B","351,23 M","136,47 M","-149,84 M","629,46 M","73,19 M","-401,92 M","-245,94 M","-286,38 M","-247,66 M","-1,02 B","158,80 M","-2,40 B","526,79 M","341,65 M","339,17 M","420,75 M","425,70 M","-26,20 M","373,38 M","305,60 M","249,28 M","104,93 M","205,21 M","169,97 M","166,04 M","1,32 M","6,96 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-3,45 B","-3,83 B","-2,04 B","1,50 B","172,74 M","-5,53 B","-905,31 M","-4,28 B","-1,86 B","-533,32 M","-2,29 B","-277,31 M","-904,67 M","14,35 M","-2,37 B","-2,62 B","2,82 B","-1,02 B","-2,27 B","1,56 B","-2,54 B","-36,19 M","-956,31 M","-2,13 B","-6,56 B","70,26 M","-1,08 B","-44,54 M","-282,90 M","-74,73 M","-443,31 M","-948,12 M","-180,39 M","72,36 M","-45,41 M","-149,41 M","-144,71 M","-57,68 M","-151,11 M","-43,40 M","-74,43 M"
Antes dos impostos,"-1,49 B","-1,63 B","-1,37 B","1,47 B","1,65 B","-4,41 B","121,87 M","-3,84 B","-1,06 B","-13,31 M","-1,61 B","23,91 M","-736,64 M","1,11 B","-2,01 B","-2,48 B","2,67 B","-392,34 M","-2,20 B","1,16 B","-2,79 B","-322,56 M","-1,20 B","-3,15 B","-6,40 B","-2,33 B","-556,90 M","297,12 M","56,27 M","346,01 M","-17,61 M","-974,32 M","192,99 M","377,96 M","203,87 M","-44,48 M","60,50 M","112,29 M","14,93 M","-42,08 M","-67,47 M"
Imposto,"7,51 B","15,00 Mil",0,"-12,00 Mil","-15,00 Mil","250,00 Mil","-685,00 Mil","32,46 M",0,"-39,53 M",0,0,0,0,0,0,0,0,0,0,0,"5,17 M","-22,32 M","9,56 M","250,09 M","19,68 M","6,38 M","46,10 M","61,02 M","-88,65 M","-30,15 M","-43,30 M","-20,70 M","-74,30 M","159,00 Mil","10,54 M","-5,20 M","-60,99 M","-5,49 M","-78,05 M","546,00 Mil"
Op. continuadas,"6,02 B","-1,63 B","-1,37 B","1,47 B","1,65 B","-4,41 B","121,19 M","-3,81 B","-1,06 B","-52,84 M","-1,61 B","23,91 M","-736,64 M","1,11 B","-2,01 B","-2,48 B","2,67 B","-392,34 M","-2,20 B","1,16 B","-2,79 B","-317,39 M","-1,23 B","-3,14 B","-6,15 B","-2,31 B","-550,52 M","343,21 M","117,29 M","257,36 M","-47,77 M","-1,02 B","172,28 M","303,66 M","204,03 M","-33,95 M","55,30 M","51,30 M","9,45 M","-120,14 M","-66,92 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"6,02 B","-1,63 B","-1,37 B","1,47 B","1,65 B","-4,41 B","121,19 M","-3,81 B","-1,06 B","-52,84 M","-1,61 B","23,91 M","-736,64 M","1,11 B","-2,01 B","-2,48 B","2,67 B","-392,34 M","-2,20 B","1,16 B","-2,79 B","-317,39 M","-1,23 B","-3,14 B","-6,15 B","-2,31 B","-550,52 M","343,21 M","117,29 M","257,36 M","-47,77 M","-1,02 B","172,28 M","303,66 M","204,03 M","-33,95 M","55,30 M","51,30 M","9,45 M","-120,14 M","-66,92 M"
Dos controladores,0,"124,87 M",0,"1,47 B",0,"9,19 B",0,"-3,81 B","-1,05 B","2,34 B",0,"23,91 M","-736,64 M","-722,37 M",0,"-2,48 B","2,67 B","-392,34 M","-2,20 B","1,16 B","-2,79 B","-317,39 M","-1,23 B","-3,14 B","-6,15 B","-2,31 B","-550,52 M","343,21 M","117,29 M","257,36 M","-47,77 M","-1,02 B","172,28 M","303,66 M","204,03 M","-33,95 M","55,30 M","51,30 M","9,45 M","-120,14 M","-66,92 M"
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
