Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"15,19 B","15,45 B","15,52 B","15,52 B","15,34 B","15,25 B","14,91 B","6,00 B","5,72 B","5,98 B","5,63 B","5,44 B","5,13 B","4,66 B","4,44 B","4,19 B","4,02 B","3,37 B","3,13 B","2,76 B","2,84 B","2,83 B","1,79 B","1,73 B","1,91 B","1,41 B","1,39 B","1,30 B","1,33 B","1,05 B","1,11 B","1,06 B","1,07 B","1,05 B","912,66 M","967,79 M","969,27 M","907,15 M","923,07 M","881,84 M","907,57 M","853,95 M","883,12 M","812,39 M","854,85 M","796,51 M","783,37 M","714,58 M","753,03 M","703,87 M","719,25 M","674,36 M","671,92 M","636,59 M","595,92 M","546,89 M","521,25 M","510,63 M","496,02 M","452,54 M","480,90 M","268,16 M","238,03 M"
Ativo circulante,"6,69 B","6,92 B","6,87 B","6,87 B","7,05 B","6,83 B","6,61 B","2,84 B","2,68 B","2,92 B","2,68 B","2,77 B","2,69 B","2,38 B","2,29 B","2,19 B","2,11 B","1,65 B","1,50 B","1,34 B","1,52 B","1,56 B","1,34 B","1,28 B","1,42 B","980,66 M","949,19 M","877,45 M","928,01 M","842,00 M","891,85 M","842,43 M","875,50 M","855,24 M","712,16 M","767,57 M","769,66 M","706,23 M","719,07 M","679,51 M","707,62 M","658,20 M","683,15 M","628,17 M","668,56 M","618,65 M","611,20 M","552,25 M","596,40 M","553,09 M","574,29 M","537,06 M","539,36 M","513,56 M","475,88 M","441,38 M","426,41 M","432,38 M","423,74 M","389,42 M","419,92 M","209,07 M","182,82 M"
Caixa e eq. de caixa,"129,68 M","320,63 M","174,94 M","177,37 M","135,96 M","181,16 M","162,44 M","53,88 M","53,03 M","73,32 M","60,70 M","73,47 M","83,60 M","28,83 M","74,93 M","81,68 M","106,75 M","33,75 M","49,05 M","69,62 M","222,60 M","38,30 M","13,50 M","12,96 M","7,60 M","13,81 M","7,66 M","7,84 M","5,69 M","8,50 M","3,39 M","17,46 M","8,29 M","10,16 M","4,92 M","7,70 M","8,67 M","5,02 M","7,16 M","9,61 M","3,21 M","8,82 M","4,79 M","5,03 M","7,54 M","10,83 M","6,58 M","12,56 M","10,97 M","13,79 M","10,75 M","7,51 M","8,43 M","11,52 M","8,37 M","4,80 M","6,21 M","15,53 M","6,23 M","3,26 M","6,81 M","8,00 M","38,99 M"
Aplicações financeiras,"933,52 M","760,70 M","560,58 M","645,80 M","967,41 M","593,38 M","603,96 M","508,81 M","540,82 M","676,40 M","582,87 M","608,57 M","699,47 M","447,61 M","471,19 M","633,57 M","603,56 M","228,81 M","248,16 M","316,30 M","348,15 M","522,87 M","552,74 M","552,65 M","611,58 M","263,88 M","267,69 M","249,29 M","294,06 M","227,30 M","280,36 M","265,71 M","325,05 M","327,76 M","213,33 M","302,42 M","284,02 M","237,82 M","214,44 M","214,16 M","245,95 M","216,94 M","188,70 M","171,29 M","202,61 M","189,55 M","169,28 M","146,64 M","196,58 M","171,91 M","189,03 M","206,90 M","204,88 M","190,64 M","167,23 M","201,02 M","160,53 M","158,02 M","172,77 M","196,08 M","180,48 M","5,00 M","5,90 M"
Contas a receber,"2,38 B","2,71 B","2,58 B","2,60 B","2,45 B","2,82 B","2,51 B","963,30 M","902,62 M","1,13 B","921,78 M","781,49 M","743,01 M","867,58 M","722,02 M","613,69 M","631,28 M","790,30 M","605,88 M","455,69 M","477,93 M","598,82 M","406,90 M","283,07 M","400,14 M","413,41 M","415,43 M","370,84 M","394,77 M","382,73 M","384,44 M","333,98 M","345,08 M","336,95 M","340,15 M","293,87 M","317,97 M","315,30 M","334,86 M","283,26 M","293,05 M","280,53 M","325,70 M","291,33 M","296,84 M","277,91 M","281,06 M","235,81 M","245,00 M","247,50 M","241,48 M","200,23 M","211,25 M","208,76 M","201,25 M","150,69 M","173,59 M","179,59 M","159,89 M","108,58 M","150,84 M","132,40 M","103,29 M"
Estoques,"2,19 B","2,14 B","2,48 B","2,47 B","2,46 B","2,22 B","2,31 B","968,24 M","920,20 M","774,28 M","866,76 M","864,46 M","842,53 M","772,06 M","755,06 M","651,73 M","556,68 M","450,49 M","448,21 M","362,06 M","348,04 M","290,90 M","241,90 M","271,32 M","253,41 M","179,50 M","180,74 M","163,37 M","162,61 M","150,86 M","147,50 M","140,86 M","128,15 M","113,49 M","116,78 M","123,05 M","119,07 M","110,48 M","124,02 M","128,37 M","122,61 M","106,95 M","121,04 M","117,50 M","121,08 M","98,13 M","115,83 M","120,46 M","102,76 M","85,11 M","99,82 M","89,82 M","87,48 M","76,13 M","82,54 M","65,72 M","66,10 M","57,38 M","71,94 M","67,70 M","64,58 M","48,86 M","21,20 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"8,50 B","8,52 B","8,64 B","8,65 B","8,29 B","8,42 B","8,30 B","3,16 B","3,05 B","3,06 B","2,95 B","2,66 B","2,44 B","2,28 B","2,14 B","2,00 B","1,91 B","1,72 B","1,63 B","1,41 B","1,31 B","1,27 B","444,17 M","453,89 M","488,43 M","432,58 M","442,45 M","426,67 M","404,58 M","203,03 M","219,11 M","213,88 M","197,26 M","194,66 M","200,49 M","200,22 M","199,61 M","200,92 M","203,99 M","202,33 M","199,94 M","195,75 M","199,97 M","184,22 M","186,29 M","177,86 M","172,17 M","162,33 M","156,63 M","150,77 M","144,96 M","137,30 M","132,56 M","123,03 M","120,04 M","105,51 M","94,84 M","78,25 M","72,28 M","63,12 M","60,98 M","59,09 M","55,20 M"
Investimentos,"34,07 M","37,02 M","38,75 M","38,63 M","35,88 M","4,06 M","4,19 M","4,19 M","4,19 M","4,19 M","4,19 M","4,19 M","3,76 M","3,16 M","3,16 M","2,86 M","2,86 M","2,86 M","7,08 M","4,76 M","2,27 M","3,02 M","4,03 M","3,48 M","3,07 M","3,02 M","3,02 M","3,31 M","3,32 M","3,32 M","3,32 M","3,33 M","3,32 M","2,92 M","2,41 M","2,41 M","2,40 M","905,00 Mil","1,18 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"2,02 B","2,12 B","2,14 B","2,17 B","2,23 B","2,31 B","2,17 B","863,46 M","845,79 M","890,93 M","835,21 M","850,10 M","769,76 M","691,58 M","586,25 M","492,48 M","446,33 M","403,87 M","348,24 M","287,32 M","313,41 M","316,30 M","277,02 M","293,33 M","354,78 M","304,08 M","317,79 M","299,64 M","275,87 M","83,20 M","81,84 M","77,83 M","68,84 M","67,64 M","68,95 M","71,55 M","70,71 M","73,05 M","72,74 M","74,68 M","72,50 M","73,59 M","77,23 M","74,98 M","76,67 M","75,77 M","73,52 M","72,12 M","69,44 M","68,54 M","67,68 M","65,01 M","63,34 M","61,09 M","56,79 M","47,69 M","37,63 M","30,29 M","24,90 M","22,90 M","22,13 M","21,38 M","12,40 M"
