Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"282,12 M","274,81 M","300,74 M","287,48 M","281,46 M","286,67 M","269,17 M","263,44 M","255,65 M","249,93 M","249,70 M","248,13 M","249,04 M","248,61 M","226,91 M","222,62 M","224,41 M","228,13 M","217,38 M","208,84 M","218,06 M","214,53 M","219,61 M","222,03 M","204,10 M","190,59 M","194,15 M","193,56 M","188,99 M","189,89 M","184,54 M","182,81 M","176,83 M","180,84 M","176,58 M","172,04 M","170,98 M","170,69 M","165,43 M","159,68 M","161,80 M","161,82 M","154,26 M","150,15 M","146,95 M","136,89 M","135,26 M","133,31 M","132,00 M","124,59 M","118,10 M","111,70 M","108,74 M","100,51 M","101,97 M","95,83 M","93,07 M","88,43 M","91,67 M","86,34 M","85,82 M","86,58 M","77,69 M"
Ativo circulante,"207,18 M","201,65 M","224,45 M","209,67 M","205,79 M","211,79 M","195,56 M","188,62 M","181,33 M","176,90 M","176,35 M","173,38 M","175,09 M","175,99 M","155,31 M","153,16 M","154,31 M","157,55 M","146,54 M","142,06 M","145,26 M","129,95 M","147,15 M","145,75 M","125,88 M","111,87 M","117,38 M","117,66 M","113,51 M","115,28 M","111,15 M","107,85 M","103,14 M","104,60 M","101,83 M","98,04 M","98,26 M","95,05 M","104,48 M","103,31 M","108,39 M","108,27 M","102,41 M","101,69 M","100,66 M","90,51 M","89,73 M","90,81 M","90,47 M","86,43 M","81,02 M","76,45 M","74,59 M","68,15 M","72,13 M","68,18 M","68,64 M","67,19 M","71,51 M","67,96 M","67,84 M","68,83 M","60,85 M"
Caixa e eq. de caixa,"16,78 M","16,14 M","14,15 M","16,12 M","17,56 M","16,86 M","11,47 M","12,63 M","14,83 M","13,86 M","12,34 M","13,97 M","11,30 M","8,86 M","11,96 M","10,86 M","10,96 M","12,98 M","17,29 M","17,05 M","14,86 M","16,87 M","27,53 M","12,38 M","9,79 M","5,66 M","6,04 M","5,80 M","4,74 M","2,96 M","3,05 M","4,91 M","4,65 M","4,20 M","5,68 M","5,61 M","5,34 M","5,06 M","3,57 M","4,62 M","6,52 M","6,96 M","5,51 M","5,74 M","7,73 M","10,61 M","10,54 M","8,89 M","9,12 M","7,14 M","6,96 M","6,22 M","3,61 M","3,06 M","2,70 M","2,54 M","1,09 M","2,13 M","2,65 M","3,71 M","4,32 M","1,77 M","5,22 M"
Aplicações financeiras,"52,21 M","51,19 M","78,63 M","67,27 M","60,86 M","59,97 M","56,26 M","51,83 M","45,61 M","45,60 M","42,28 M","36,79 M","37,08 M","34,47 M","26,68 M","25,76 M","28,98 M","31,01 M","23,39 M","18,76 M","19,17 M","14,77 M",0,"13,27 M","6,32 M","7,75 M","7,71 M","7,41 M","6,96 M","6,33 M","6,46 M","5,08 M","8,54 M","11,86 M","10,85 M","10,02 M","10,20 M","12,34 M","11,47 M","10,31 M","10,81 M","12,76 M","11,36 M","8,44 M","8,76 M","4,41 M","3,15 M","3,14 M","8,10 M","8,73 M","8,85 M","3,02 M","2,88 M","1,98 M","2,76 M","2,81 M","4,72 M","5,21 M","4,69 M","2,61 M","2,25 M","1,56 M","2,77 M"
Contas a receber,"45,01 M","44,89 M","41,89 M","43,94 M","43,37 M","52,76 M","42,55 M","41,41 M","37,19 M","40,86 M","42,99 M","41,78 M","45,66 M","53,34 M","34,05 M","30,13 M","31,65 M","36,13 M","36,42 M","36,80 M","41,07 M","33,06 M","47,57 M","49,02 M","33,56 M","30,89 M","36,87 M","37,63 M","36,02 M","40,68 M","34,51 M","32,65 M","27,32 M","32,37 M","31,08 M","30,66 M","30,98 M","29,78 M","34,94 M","30,85 M","31,89 M","34,74 M","31,51 M","36,85 M","35,11 M","31,97 M","34,97 M","37,83 M","37,04 M","37,02 M","31,64 M","34,39 M","35,81 M","32,35 M","31,39 M","29,08 M","28,70 M","27,34 M","28,43 M","25,11 M","24,84 M","29,77 M","23,42 M"
Estoques,"70,86 M","67,72 M","66,52 M","63,05 M","64,68 M","62,72 M","63,16 M","61,53 M","61,45 M","56,52 M","58,01 M","58,85 M","58,31 M","54,62 M","55,12 M","54,42 M","50,62 M","50,09 M","52,67 M","52,78 M","52,63 M","49,69 M","55,37 M","55,18 M","59,95 M","54,55 M","52,70 M","53,73 M","53,17 M","53,92 M","54,19 M","52,70 M","49,77 M","44,59 M","43,42 M","41,92 M","42,20 M","39,35 M","39,65 M","40,90 M","41,63 M","37,83 M","38,56 M","34,77 M","31,64 M","29,22 M","28,99 M","28,59 M","25,22 M","23,30 M","24,72 M","24,77 M","24,93 M","23,27 M","24,84 M","24,27 M","23,39 M","23,02 M","26,75 M","27,74 M","27,28 M","26,70 M","21,43 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"74,94 M","73,16 M","76,28 M","77,82 M","75,67 M","74,88 M","73,62 M","74,82 M","74,32 M","73,02 M","73,35 M","74,75 M","73,96 M","72,62 M","71,59 M","69,47 M","70,10 M","70,58 M","70,84 M","66,78 M","72,80 M","84,58 M","72,47 M","76,28 M","78,22 M","78,72 M","76,77 M","75,90 M","75,48 M","74,61 M","73,39 M","74,96 M","73,69 M","76,24 M","74,75 M","74,01 M","72,71 M","75,64 M","60,94 M","56,37 M","53,41 M","53,55 M","51,85 M","48,46 M","46,29 M","46,38 M","45,54 M","42,50 M","41,53 M","38,16 M","37,08 M","35,26 M","34,15 M","32,36 M","29,84 M","27,65 M","24,43 M","21,25 M","20,16 M","18,38 M","17,98 M","17,75 M","16,84 M"
Investimentos,"10,67 M","9,36 M","3,40 M","3,40 M","3,40 M","3,40 M","3,40 M","3,45 M","3,45 M","3,45 M","3,45 M","3,45 M","3,45 M","3,44 M","3,44 M","3,44 M","3,44 M","3,44 M","3,44 M","3,44 M","3,18 M","3,44 M","3,44 M","3,44 M","3,44 M","3,44 M","3,44 M","3,44 M","3,44 M","3,44 M","3,39 M","3,44 M","3,44 M","3,44 M","3,44 M","2,23 M","2,23 M","2,19 M","5,61 M","1,96 M","1,96 M","1,96 M","2,63 M","2,63 M","2,63 M","2,63 M","2,28 M","2,23 M","2,28 M","2,33 M","1,88 M","1,88 M","1,88 M","1,88 M","2,49 M","2,33 M","2,20 M","1,82 M","1,65 M","1,54 M","1,52 M","1,47 M","1,69 M"
Imobilizado,"41,62 M","41,06 M","37,29 M","36,89 M","34,76 M","34,04 M","33,00 M","33,03 M","32,53 M","31,23 M","31,20 M","31,61 M","30,85 M","30,72 M","30,15 M","28,94 M","29,47 M","29,81 M","29,50 M","29,31 M","30,35 M","30,40 M","30,41 M","29,64 M","29,93 M","29,67 M","27,64 M","26,86 M","26,93 M","25,88 M","26,47 M","26,57 M","26,55 M","27,10 M","27,36 M","27,77 M","28,20 M","28,76 M","24,18 M","24,51 M","24,10 M","24,35 M","23,96 M","23,04 M","23,39 M","23,12 M","22,86 M","22,70 M","21,43 M","20,68 M","19,75 M","19,71 M","19,70 M","19,51 M","19,40 M","18,87 M","17,96 M","16,77 M","16,21 M","15,23 M","14,59 M","15,02 M","14,06 M"
