Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"47,90 M","52,37 M","55,03 M","57,07 M","49,26 M","57,88 M","54,16 M","46,02 M","36,32 M","42,01 M","41,68 M","47,54 M","38,73 M","55,14 M","41,21 M","33,89 M","34,30 M","38,33 M","32,33 M","29,80 M","33,36 M","47,70 M","35,57 M","48,59 M","31,11 M","35,35 M","39,50 M","41,36 M","33,10 M","36,38 M","31,44 M","27,41 M","24,56 M","27,85 M","29,04 M","26,90 M","25,96 M","27,69 M","33,53 M","27,67 M","24,21 M","30,59 M","26,23 M","29,26 M","25,97 M","30,64 M","30,65 M","27,57 M","27,43 M","31,42 M","26,44 M","27,05 M","23,78 M","25,99 M","26,02 M","24,84 M","22,89 M","22,60 M","24,58 M","22,86 M","23,47 M","25,23 M","25,98 M","24,27 M","19,33 M"
Custos,"-17,70 M","-16,49 M","-21,58 M","-22,48 M","-18,03 M","-22,15 M","-20,12 M","-19,06 M","-13,25 M","-16,49 M","-14,42 M","-20,92 M","-15,25 M","-22,57 M","-17,25 M","-14,34 M","-14,45 M","-17,38 M","-14,22 M","-12,90 M","-14,15 M","-23,39 M","-17,56 M","-24,51 M","-15,98 M","-17,66 M","-19,23 M","-20,31 M","-14,83 M","-17,86 M","-13,62 M","-11,17 M","-9,75 M","-12,43 M","-11,07 M","-11,86 M","-10,93 M","-7,53 M","-15,10 M","-10,94 M","-9,49 M","-11,77 M","-10,15 M","-12,11 M","-10,06 M","-11,01 M","-12,36 M","-10,07 M","-9,34 M","-10,40 M","-9,23 M","-9,91 M","-8,70 M","-8,29 M","-10,16 M","-9,97 M","-9,35 M","-9,78 M","-9,22 M","-9,86 M","-10,40 M","-10,73 M","-12,24 M","-10,67 M","-8,43 M"
Lucro bruto,"30,19 M","35,88 M","33,45 M","34,59 M","31,23 M","35,73 M","34,04 M","26,96 M","23,07 M","25,52 M","27,26 M","26,62 M","23,48 M","32,57 M","23,96 M","19,55 M","19,85 M","20,95 M","18,11 M","16,90 M","19,20 M","24,31 M","18,01 M","24,09 M","15,13 M","17,69 M","20,27 M","21,05 M","18,27 M","18,53 M","17,82 M","16,24 M","14,81 M","15,42 M","17,97 M","15,04 M","15,03 M","20,16 M","18,43 M","16,73 M","14,73 M","18,82 M","16,08 M","17,15 M","15,90 M","19,63 M","18,29 M","17,50 M","18,09 M","21,02 M","17,22 M","17,14 M","15,08 M","17,70 M","15,86 M","14,87 M","13,53 M","12,81 M","15,37 M","13,00 M","13,07 M","14,50 M","13,74 M","13,61 M","10,90 M"
Despesas operacionais,"-20,11 M","-29,35 M","-23,95 M","-25,94 M","-21,23 M","-18,31 M","-24,56 M","-22,15 M","-18,81 M","-23,18 M","-20,27 M","-19,18 M","-18,66 M","-32,24 M","-18,62 M","-11,65 M","-15,24 M","-15,85 M","-17,19 M","-14,41 M","-15,85 M","-18,54 M","-17,56 M","-13,96 M","-14,22 M","-18,58 M","-17,55 M","-17,42 M","-15,56 M","-19,66 M","-15,01 M","-14,00 M","-13,58 M","-18,54 M","-15,52 M","-12,73 M","-14,06 M","-21,07 M","-12,88 M","-13,86 M","-13,45 M","-17,44 M","-11,73 M","-12,18 M","-11,20 M","-17,15 M","-13,22 M","-13,93 M","-11,97 M","-16,56 M","-12,24 M","-11,73 M","-10,32 M","-15,75 M","-11,63 M","-11,57 M","-9,88 M","-12,64 M","-10,33 M","-10,96 M","-10,38 M","-13,49 M","-11,46 M","-11,12 M","-9,39 M"
Despesas com vendas,"-11,26 M","-13,59 M","-13,13 M","-13,68 M","-12,18 M","-13,31 M","-12,87 M","-11,54 M","-10,31 M","-10,91 M","-11,07 M","-10,06 M","-9,88 M","-13,21 M","-9,04 M","-6,99 M","-8,09 M","-6,11 M","-8,97 M","-6,40 M","-7,90 M","-8,24 M","-9,38 M","-7,47 M","-7,28 M","-8,98 M","-9,12 M","-9,67 M","-8,78 M","-10,04 M","-7,96 M","-7,57 M","-7,35 M","-7,38 M","-8,27 M","-6,91 M","-7,53 M","-9,49 M","-7,41 M","-6,63 M","-7,06 M","-8,56 M","-6,09 M","-6,28 M","-5,86 M","-8,31 M","-7,56 M","-8,08 M","-6,63 M","-8,37 M","-6,45 M","-6,99 M","-6,07 M","-7,47 M","-6,28 M","-6,77 M","-5,99 M","-3,25 M","-6,40 M","-6,79 M","-6,18 M","-11,55 M","-3,39 M","-6,58 M","-4,16 M"
Despesas administrativas,"-10,15 M","-11,47 M","-10,59 M","-9,73 M","-9,44 M","-15,97 M","-9,22 M","-9,32 M","-8,51 M","-10,67 M","-9,27 M","-9,22 M","-8,80 M","-10,14 M","-9,03 M","-9,00 M","-7,75 M","-14,65 M","-8,06 M","-8,07 M","-7,63 M","-8,59 M","-8,17 M","-6,48 M","-6,83 M","-7,41 M","-8,40 M","-7,39 M","-6,23 M","-8,01 M","-7,00 M","-6,80 M","-6,21 M","-8,67 M","-7,59 M","-6,21 M","-6,84 M","-10,84 M","-5,85 M","-6,75 M","-6,39 M","-8,39 M","-5,58 M","-5,90 M","-5,38 M","-7,91 M","-5,69 M","-5,46 M","-5,37 M","-7,15 M","-5,57 M","-5,20 M","-4,50 M","-5,80 M","-5,30 M","-4,49 M","-4,39 M","-7,44 M","-4,14 M","-3,98 M","-4,25 M","-1,27 M","-8,11 M","-3,89 M","-5,05 M"
EBIT,"10,08 M","6,53 M","9,50 M","8,65 M","9,99 M","17,42 M","9,48 M","4,81 M","4,26 M","2,34 M","6,99 M","7,44 M","4,82 M","333,00 Mil","5,34 M","7,90 M","4,60 M","5,10 M","921,00 Mil","2,50 M","3,35 M","5,77 M","457,00 Mil","10,13 M","915,00 Mil","-890,00 Mil","2,72 M","3,64 M","2,71 M","-1,13 M","2,81 M","2,25 M","1,23 M","-3,12 M","2,45 M","2,31 M","974,00 Mil","-902,00 Mil","5,55 M","2,86 M","1,28 M","1,38 M","4,35 M","4,97 M","4,71 M","2,48 M","5,07 M","3,58 M","6,12 M","4,46 M","4,97 M","5,41 M","4,76 M","1,95 M","4,23 M","3,30 M","3,65 M","175,00 Mil","5,04 M","2,04 M","2,69 M","1,01 M","2,28 M","2,49 M","1,51 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-3,93 M","7,03 M","-9,02 M","569,00 Mil","-3,41 M","-4,78 M","1,20 M","6,19 M","872,00 Mil","-6,16 M","-180,00 Mil","-1,21 M","569,00 Mil","407,00 Mil","226,00 Mil","-1,67 M","-7,47 M","1,88 M","1,28 M","-4,79 M","3,19 M","-1,13 M","1,94 M","1,27 M","1,88 M","516,00 Mil","552,00 Mil","-307,00 Mil","484,00 Mil","-1,38 M","65,00 Mil","2,17 M","-96,00 Mil","741,00 Mil","-1,27 M","611,00 Mil","-249,00 Mil","-402,00 Mil","422,00 Mil","-1,64 M","-1,74 M","1,92 M","1,93 M","385,00 Mil","1,60 M","349,00 Mil","975,00 Mil","-154,00 Mil","-138,00 Mil","131,00 Mil","134,00 Mil","452,00 Mil","-129,00 Mil","237,00 Mil","433,00 Mil","379,00 Mil","-30,00 Mil","283,00 Mil","175,00 Mil","-206,00 Mil","-140,00 Mil","-208,00 Mil","44,00 Mil","-179,00 Mil","-192,00 Mil"
Antes dos impostos,"6,15 M","13,56 M","480,00 Mil","9,22 M","6,59 M","12,64 M","10,68 M","11,01 M","5,14 M","-3,82 M","6,81 M","6,24 M","5,39 M","740,00 Mil","5,57 M","6,24 M","-2,86 M","6,98 M","2,20 M","-2,30 M","6,55 M","4,64 M","2,39 M","11,39 M","2,80 M","-374,00 Mil","3,27 M","3,33 M","3,20 M","-2,50 M","2,88 M","4,42 M","1,14 M","-2,38 M","1,18 M","2,92 M","725,00 Mil","-1,30 M","5,97 M","1,22 M","-463,00 Mil","3,30 M","6,29 M","5,36 M","6,30 M","2,83 M","6,04 M","3,42 M","5,98 M","4,59 M","5,11 M","5,86 M","4,63 M","2,19 M","4,66 M","3,68 M","3,62 M","458,00 Mil","5,21 M","1,83 M","2,55 M","800,00 Mil","2,32 M","2,31 M","1,32 M"
Imposto,"-988,00 Mil","-3,91 M","939,00 Mil","-2,95 M","-1,81 M","-516,00 Mil","-4,43 M","-2,72 M","-2,55 M","1,21 M","-3,06 M","-2,42 M","-1,40 M","-447,00 Mil","-2,66 M","-479,00 Mil","-383,00 Mil","458,00 Mil","-1,99 M","-1,53 M","-235,00 Mil","-1,16 M","-2,06 M","-1,09 M","-485,00 Mil","-21,00 Mil","-2,09 M","-1,53 M","-1,59 M","-141,00 Mil","-770,00 Mil","-1,47 M","-801,00 Mil","324,00 Mil","-808,00 Mil","-929,00 Mil","-576,00 Mil","-771,00 Mil","-1,41 M","-226,00 Mil","-220,00 Mil","-759,00 Mil","-1,94 M","-1,70 M","-1,85 M","-754,00 Mil","-1,45 M","-1,49 M","-2,20 M","-1,19 M","-1,38 M","-1,68 M","-1,82 M","-1,22 M","-1,49 M","-1,39 M","-1,00 M","1,13 M","-1,61 M","-667,00 Mil","-731,00 Mil","-61,00 Mil","-1,11 M","-1,14 M","-726,00 Mil"
Op. continuadas,"5,16 M","9,65 M","1,42 M","6,26 M","4,77 M","12,13 M","6,25 M","8,29 M","2,59 M","-2,61 M","3,75 M","3,81 M","3,99 M","293,00 Mil","2,91 M","5,76 M","-3,25 M","7,44 M","205,00 Mil","-3,83 M","6,31 M","3,48 M","327,00 Mil","10,31 M","2,31 M","-395,00 Mil","1,18 M","1,80 M","1,60 M","-2,65 M","2,11 M","2,95 M","336,00 Mil","-2,06 M","372,00 Mil","2,00 M","149,00 Mil","-2,08 M","4,56 M","997,00 Mil","-683,00 Mil","2,54 M","4,34 M","3,66 M","4,45 M","2,08 M","4,59 M","1,93 M","3,78 M","3,40 M","3,73 M","4,19 M","2,81 M","970,00 Mil","3,18 M","2,29 M","2,62 M","1,59 M","3,60 M","1,17 M","1,81 M","739,00 Mil","1,22 M","1,17 M","593,00 Mil"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"5,16 M","9,65 M","1,42 M","6,26 M","4,77 M","12,13 M","6,25 M","8,29 M","2,59 M","-2,61 M","3,75 M","3,81 M","3,99 M","293,00 Mil","2,91 M","5,76 M","-3,25 M","7,44 M","205,00 Mil","-3,83 M","6,31 M","3,48 M","327,00 Mil","10,31 M","2,31 M","-395,00 Mil","1,18 M","1,80 M","1,60 M","-2,65 M","2,11 M","2,95 M","336,00 Mil","-2,06 M","372,00 Mil","2,00 M","149,00 Mil","-2,08 M","4,56 M","997,00 Mil","-683,00 Mil","2,54 M","4,34 M","3,66 M","4,45 M","2,08 M","4,59 M","1,93 M","3,78 M","3,40 M","3,73 M","4,19 M","2,81 M","970,00 Mil","3,18 M","2,29 M","2,62 M","1,59 M","3,60 M","1,17 M","1,81 M","739,00 Mil","1,22 M","1,17 M","593,00 Mil"
Dos controladores,"4,65 M","8,09 M","1,43 M","5,10 M","3,46 M","14,75 M","5,12 M","7,69 M","4,05 M","-2,71 M","4,72 M","4,18 M","3,01 M","-1,29 M","3,48 M","7,84 M","4,29 M","10,15 M","2,10 M","-3,43 M","7,15 M","2,53 M","702,00 Mil","11,51 M","2,29 M","460,00 Mil","1,88 M","2,34 M","1,58 M","-1,71 M","2,12 M","3,00 M","977,00 Mil","-2,39 M","792,00 Mil","1,85 M","425,00 Mil","-1,19 M","4,08 M","754,00 Mil","-625,00 Mil","2,55 M","3,99 M","3,38 M","4,20 M","1,66 M","4,44 M","1,75 M","3,64 M","2,85 M","3,38 M","4,14 M","2,55 M","741,00 Mil","2,98 M","2,20 M","262,00 Mil","1,35 M","3,03 M","944,00 Mil","1,61 M","458,00 Mil","1,06 M","272,00 Mil","398,00 Mil"
Dos não controladores,"513,00 Mil","1,56 M","-8,00 Mil","1,16 M","1,31 M","-2,62 M","1,13 M","600,00 Mil","-1,46 M","102,00 Mil","-968,00 Mil","-365,00 Mil","982,00 Mil","1,59 M","-573,00 Mil","2,08 M","1,04 M","-2,71 M","-1,89 M","-397,00 Mil","-838,00 Mil","953,00 Mil","-375,00 Mil","-1,20 M","25,00 Mil","-855,00 Mil","-694,00 Mil","-534,00 Mil","25,00 Mil","-931,00 Mil","-11,00 Mil","-48,00 Mil","-641,00 Mil","336,00 Mil","-420,00 Mil","147,00 Mil","-276,00 Mil","-882,00 Mil","484,00 Mil","243,00 Mil","-58,00 Mil","-9,00 Mil","357,00 Mil","281,00 Mil","256,00 Mil","413,00 Mil","150,00 Mil","182,00 Mil","140,00 Mil","554,00 Mil","349,00 Mil","44,00 Mil","262,00 Mil","229,00 Mil","194,00 Mil","89,00 Mil","2,35 M","235,00 Mil","575,00 Mil","223,00 Mil","204,00 Mil","281,00 Mil","152,00 Mil","896,00 Mil","195,00 Mil"
