Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"1,69 B","1,71 B","1,58 B","1,43 B","4,91 B","1,26 B","1,17 B",0,"1,05 B","1,09 B","1,03 B","946,19 M","840,39 M","819,32 M","881,17 M","670,29 M","502,58 M","397,38 M","270,35 M","249,02 M","212,49 M","201,87 M","220,27 M","317,29 M","459,08 M","381,13 M","328,20 M","338,05 M","314,99 M","349,32 M","348,48 M","290,40 M","333,54 M","340,01 M","352,57 M","394,93 M","464,26 M","387,92 M","398,08 M","356,92 M","344,13 M","433,95 M","315,19 M","357,81 M","296,97 M","286,55 M","257,67 M","265,88 M","261,04 M","232,74 M","213,16 M","188,46 M","188,71 M","231,75 M","264,85 M","242,08 M","236,97 M","274,18 M","232,57 M","228,93 M","248,35 M","204,61 M","191,26 M","176,26 M"
Custos,"-2,68 B","-1,16 B","-1,11 B","-1,28 B","-4,43 B","-1,11 B","-998,18 M",0,"-792,70 M","-828,12 M","-802,85 M","-634,62 M","-627,47 M","-515,26 M","-573,46 M","-433,77 M","-331,50 M","-267,36 M","-171,10 M","-131,75 M","-80,15 M","-137,58 M","-146,70 M","-226,94 M","-233,67 M","-240,85 M","-218,02 M","-295,22 M","-240,63 M","-215,40 M","-278,84 M","-203,61 M","-220,31 M","-208,95 M","-245,11 M","-287,65 M","-257,01 M","-208,59 M","-157,64 M","-193,87 M","-204,33 M","-280,23 M","-206,98 M","-204,68 M","-181,93 M","-189,15 M","-161,01 M","-154,76 M","-163,96 M","-149,92 M","-131,22 M","-129,51 M","-104,76 M","-145,26 M","-156,95 M","-151,74 M","-157,24 M","-174,12 M","-133,17 M","-129,71 M","-130,70 M","-128,78 M","-126,11 M","-115,76 M"
Lucro bruto,"-986,96 M","546,64 M","470,86 M","144,04 M","480,24 M","146,59 M","167,46 M",0,"262,01 M","263,89 M","230,69 M","311,57 M","212,92 M","304,07 M","307,71 M","236,52 M","171,09 M","130,02 M","99,25 M","117,28 M","132,35 M","64,29 M","73,57 M","90,34 M","225,41 M","140,28 M","110,18 M","42,84 M","74,36 M","133,92 M","69,64 M","86,78 M","113,23 M","131,06 M","107,46 M","107,28 M","207,25 M","179,33 M","240,44 M","163,04 M","139,80 M","153,72 M","108,21 M","153,13 M","115,04 M","97,41 M","96,66 M","111,12 M","97,08 M","82,82 M","81,95 M","58,94 M","83,95 M","86,49 M","107,90 M","90,35 M","79,73 M","100,06 M","99,41 M","99,22 M","117,65 M","75,83 M","65,15 M","60,50 M"
Despesas operacionais,"958,25 M","-365,62 M","-130,65 M","215,65 M","746,51 M","187,61 M","215,62 M",0,"202,43 M","245,45 M","-30,36 M","162,72 M","397,82 M","338,08 M","37,22 M","143,90 M","228,53 M","160,65 M","324,90 M","129,47 M","-69,03 M","36,60 M","34,54 M","42,59 M","-39,86 M","-53,47 M","-11,91 M","-66,82 M","85,98 M","-71,89 M","-41,06 M","-64,71 M","120,75 M","-80,79 M","-46,35 M","-72,07 M","-92,37 M","-152,67 M","-43,22 M","-75,80 M","-53,44 M","-45,04 M","-5,95 M","-6,80 M","12,64 M","-58,42 M","-43,83 M","-42,79 M","-67,59 M","-26,10 M","-22,79 M","-123,34 M","-17,50 M","-63,89 M","29,94 M","-17,21 M","-68,69 M","-64,40 M","-52,23 M","-45,74 M","-38,34 M","-34,10 M","21,48 M","-72,71 M"
Despesas com vendas,"920,69 M","-392,91 M","-243,86 M",0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Despesas administrativas,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"-140,74 M","-145,55 M","-153,55 M","-139,05 M","-136,26 M","-133,69 M","-142,79 M","-128,67 M","-129,17 M","-121,49 M","-153,99 M","-130,32 M","-131,77 M","-126,95 M","-202,10 M","-141,93 M","-136,99 M","-130,79 M","-164,25 M","-120,22 M","-168,24 M","-116,07 M","-133,21 M","-109,90 M","-111,03 M","-101,85 M","-120,85 M","-95,75 M","-99,12 M","-105,86 M","-107,52 M","-88,90 M","-82,15 M","-90,67 M","-97,08 M","-81,82 M","-77,28 M","-74,83 M","-82,75 M","-73,21 M","-87,58 M","-69,95 M"
EBIT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"107,89 M","132,47 M","248,24 M","86,17 M","98,27 M","-23,98 M","160,34 M","62,03 M","28,57 M","22,07 M","233,98 M","50,27 M","61,11 M","35,21 M","114,88 M","26,66 M","197,22 M","87,24 M","86,37 M","108,69 M","102,26 M","146,33 M","127,69 M","38,99 M","52,83 M","68,33 M","29,48 M","56,72 M","59,16 M","-64,40 M","66,45 M","22,60 M","137,84 M","73,13 M","11,04 M","35,66 M","47,17 M","53,48 M","79,31 M","41,73 M","86,64 M","-12,21 M"
Resultado financeiro,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"217,00 Mil","457,00 Mil","-62,69 M","634,00 Mil","1,78 M","134,00 Mil","227,00 Mil","337,00 Mil","364,00 Mil","21,00 Mil","312,00 Mil","912,00 Mil","16,66 M","502,00 Mil","3,04 M","85,00 Mil","5,31 M","847,00 Mil","724,00 Mil","563,00 Mil","1,79 M","1,24 M","4,50 M","769,00 Mil","1,54 M","680,00 Mil","234,00 Mil","1,07 M","1,71 M","442,00 Mil","891,00 Mil","8,31 M","1,03 M","1,01 M","6,32 M","-4,00 M","474,00 Mil","3,10 M","257,00 Mil","516,00 Mil","39,06 M","1,18 M"
Antes dos impostos,"-28,72 M","181,02 M","340,22 M","359,69 M","1,23 B","334,20 M","383,08 M",0,"464,44 M","509,34 M","200,33 M","474,29 M","610,74 M","642,15 M","344,93 M","380,42 M","399,61 M","290,67 M","424,14 M","246,75 M","63,31 M","100,88 M","108,11 M","132,93 M","185,55 M","86,81 M","100,06 M","-23,85 M","160,57 M","62,36 M","28,94 M","22,09 M","234,29 M","51,18 M","77,77 M","35,71 M","117,92 M","26,75 M","202,53 M","88,09 M","87,09 M","109,25 M","104,05 M","147,57 M","132,19 M","39,76 M","54,37 M","69,01 M","29,71 M","57,79 M","60,87 M","-63,96 M","67,34 M","30,90 M","138,87 M","74,14 M","17,36 M","31,66 M","47,65 M","56,58 M","79,57 M","42,24 M","125,70 M","-11,04 M"
Imposto,"419,82 M","43,75 M","-72,51 M","-52,23 M","6,07 M","-14,85 M","-50,45 M",0,"71,55 M","-175,84 M","78,91 M","-187,60 M","-239,81 M","-254,32 M","-122,62 M","-163,57 M","-35,94 M","-168,88 M","-226,99 M","-141,26 M","98,12 M","-85,64 M","-32,28 M","-99,83 M","54,41 M","-85,01 M","-89,23 M","15,12 M","119,28 M","-89,72 M","-93,69 M","-79,08 M","-28,07 M","-93,03 M","-99,73 M","-91,27 M","-17,90 M","-106,44 M","-122,48 M","-95,83 M","51,46 M","-98,53 M","-132,89 M","-85,23 M","-4,60 M","-55,19 M","-51,55 M","-59,70 M","28,31 M","-46,25 M","-51,43 M","-4,21 M","48,04 M","-39,44 M","-51,31 M","-60,21 M","74,92 M","-45,01 M","-47,03 M","-56,05 M","41,73 M","-39,13 M","-70,03 M","-43,94 M"
Op. continuadas,"391,10 M","224,77 M","267,70 M","307,46 M","1,23 B","319,36 M","332,63 M",0,"535,99 M","333,50 M","279,24 M","286,69 M","370,93 M","387,83 M","222,31 M","216,85 M","363,67 M","121,79 M","197,16 M","105,48 M","161,44 M","15,24 M","75,83 M","33,10 M","239,96 M","1,80 M",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
