Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"6,45","7,26","4,45","4,31","2,99","3,79","4,83","2,98","7,05","6,62","7,25","2,31","3,21","2,20","3,10","2,76","3,10","3,75"
P/VP,"0,61","0,71","0,87","0,88","0,60","0,55","0,52","0,54","0,97","0,82","0,75","0,46","0,52","0,50","0,62","0,58","0,72","1,05"
P/EBIT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/EBIT *,--,--,--,--,--,--,--,"9,16",--,--,--,--,--,--,--,--,--,--
PSR,"0,40","0,45","0,56","0,57","0,40","0,57","0,50","0,42","0,66","0,48","0,35","0,18","0,27","0,34","0,41","0,38","0,51","0,68"
P/Ativos,"0,05","0,05","0,07","0,07","0,04","0,04","0,03","0,03","0,06","0,05","0,04","0,02","0,03","0,03","0,04","0,04","0,05","0,06"
LPA,"3,17","3,17","6,15","5,87","5,39","3,42","2,18","3,12","2,21","1,90","1,38","2,46","1,96","2,76","2,15","2,14","2,05","1,77"
VPA,"33,45","32,21","0,00","28,55","26,84","23,42","20,37","17,26","16,05","15,27","13,30","12,33","12,18","12,19","10,68","10,15","8,81","6,30"
EBIT por ação,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EBIT por ação *,--,--,--,--,--,--,--,"1,02",--,--,--,--,--,--,--,--,--,--
Ativo por ação,"447,40","421,37","0,00","385,29","359,98","347,01","311,04","270,60","258,10","248,69","262,84","264,30","241,00","213,66","182,89","155,36","128,69","115,27"
Receita líquida por ação,"51,19","51,19","48,57","44,19","40,07","22,73","21,24","22,41","23,60","26,12","28,85","31,55","23,36","18,07","16,43","15,72","12,46","9,77"
Margem bruta,"30,81%","10,67%","20,21%","21,10%","21,80%","31,54%","17,25%","21,62%","19,87%","18,63%","19,11%","8,44%","17,84%","23,97%","29,20%","25,76%","32,20%","26,46%"
Margem líquida,"4,82%","6,19%","12,67%","13,27%","13,45%","15,03%","10,28%","13,94%","9,35%","7,27%","4,80%","7,80%","8,39%","15,27%","13,08%","13,60%","16,47%","18,12%"
Margem EBIT,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBIT *,--%,--%,--%,--%,--%,--%,--%,"4,53%",--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA *,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem operacional,"1,95%","2,32%","13,63%","15,61%","17,28%","17,65%","7,58%","6,70%","11,56%","8,83%","6,02%","3,35%","9,47%","20,87%","17,87%","19,37%","24,14%","24,52%"
ROE,"7,98%","9,83%","15,83%","20,54%","20,08%","14,58%","10,72%","18,10%","13,75%","12,43%","10,40%","19,96%","16,09%","22,63%","20,11%","21,06%","23,29%","28,09%"
ROA,"0,01","0,01","0,01","0,02","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,02","0,02"
ROIC,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
ROIC *,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Giro do ativo,"0,12","0,12","0,11","0,11","0,11","0,07","0,07","0,08","0,09","0,10","0,11","0,12","0,10","0,08","0,09","0,10","0,10","0,08"
EBIT *,--,--,--,--,--,--,--,5.817 mi,--,--,--,--,--,--,--,--,--,--
EBITDA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EBITDA *,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Liquidez corrente,--,--,--,--,--,--,--,"0,73","0,79","0,75","0,75","0,80","0,77","0,83","0,87","0,91","0,84","0,80"
Liquidez seca,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Liquidez imediata,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dívida bruta,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dívida líquida,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital de giro,--,--,--,--,--,--,--,-294.436 mi,-215.509 mi,-250.605 mi,-261.503 mi,-191.669 mi,-211.065 mi,-133.592 mi,-85.940 mi,-53.765 mi,-81.485 mi,-98.082 mi
Endividamento geral,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
