Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"7,10","5,74","7,54","4,82","6,04","8,99","4,69","8,81","11,32","8,90","7,37","8,56","11,64","12,54","9,78","10,62","12,19"
P/VP,"1,01","0,65","0,71","0,65","0,90","1,03","0,79","1,39","1,50","1,34","1,42","1,58","1,97","2,04","1,94","2,22","2,34"
P/EBIT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/EBIT *,--,--,--,--,--,--,"8,52",--,--,--,--,--,--,--,--,--,--
PSR,"0,80","0,53","0,62","0,62","1,29","1,86","1,07","1,82","1,41","0,97","1,14","1,37","1,82","1,81","1,34","1,68","1,63"
P/Ativos,"0,09","0,05","0,07","0,07","0,09","0,11","0,09","0,15","0,16","0,12","0,13","0,13","0,16","0,17","0,14","0,17","0,19"
LPA,"2,32","1,80","1,43","1,96","2,07","1,56","2,13","1,80","1,38","1,42","1,62","1,42","1,13","1,07","1,04","0,95","0,76"
VPA,"16,26","0,00","15,22","14,56","13,89","13,57","12,62","11,44","10,43","9,48","8,39","7,70","6,70","6,61","5,25","4,54","3,94"
EBIT por ação,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EBIT por ação *,--,--,--,--,--,--,"1,17",--,--,--,--,--,--,--,--,--,--
Ativo por ação,"176,13","0,00","149,94","141,95","134,10","129,55","108,29","105,00","99,43","102,12","89,42","92,40","83,28","79,72","71,12","59,96","48,19"
Receita líquida por ação,"20,55","19,45","17,42","15,25","9,70","7,54","9,35","8,70","11,12","13,01","10,48","8,91","7,27","7,43","7,59","5,98","5,64"
Margem bruta,"16,30%","14,89%","11,93%","16,16%","36,80%","-2,98%","33,80%","22,36%","21,15%","31,53%","-9,64%","10,06%","9,63%","19,63%","12,19%","23,13%","23,23%"
Margem líquida,"11,28%","9,26%","8,20%","12,83%","21,36%","20,72%","22,81%","20,70%","12,44%","10,95%","15,49%","15,99%","15,60%","14,46%","13,71%","15,83%","13,41%"
Margem EBIT,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBIT *,--%,--%,--%,--%,--%,--%,"12,55%",--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA *,--%,--%,--%,--%,--%,--%,"17,30%",--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem operacional,"6,64%","6,43%","2,62%","10,75%","24,13%","0,53%","11,51%","18,43%","10,56%","15,02%","2,76%","12,56%","11,15%","12,31%","11,38%","15,77%","13,22%"
ROE,"14,25%","10,38%","9,38%","13,44%","14,92%","11,51%","16,89%","15,76%","13,27%","15,02%","19,33%","18,51%","16,93%","16,25%","19,84%","20,86%","19,19%"
ROA,"0,01","0,01","0,01","0,01","0,02","0,01","0,02","0,02","0,01","0,01","0,02","0,02","0,01","0,01","0,01","0,02","0,02"
ROIC,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
ROIC *,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Giro do ativo,"0,12","0,10","0,12","0,11","0,07","0,06","0,09","0,08","0,11","0,13","0,12","0,10","0,09","0,09","0,11","0,10","0,12"
EBIT *,--,--,--,--,--,--,12.424 mi,--,--,--,--,--,--,--,--,--,--
EBITDA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EBITDA *,--,--,--,--,--,--,17.126 mi,--,--,--,--,--,--,--,--,--,--
Liquidez corrente,--,--,--,--,--,--,"0,86","0,88","0,79","0,73","0,78","0,91","0,89","0,89","1,13","1,05","1,14"
Liquidez seca,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Liquidez imediata,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dívida bruta,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dívida líquida,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital de giro,--,--,--,--,--,--,-93.083 mi,-78.640 mi,-140.478 mi,-194.946 mi,-134.962 mi,-60.878 mi,-64.193 mi,-64.237 mi,58.257 mi,17.508 mi,40.509 mi
Endividamento geral,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
