Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"62,55 B","61,66 B","58,08 B","51,55 B","46,33 B","206,04 B","45,64 B","54,43 B",0,"41,67 B","51,07 B","45,60 B","46,13 B","40,16 B","46,73 B","51,98 B","22,71 B","30,93 B","28,55 B","20,10 B","23,16 B","22,49 B","22,99 B","18,28 B","16,10 B","24,19 B","23,28 B","24,71 B","26,82 B","26,56 B","24,60 B","17,32 B","23,70 B","24,01 B","29,79 B","29,27 B","34,72 B","38,46 B","31,85 B","34,01 B","33,46 B","29,52 B","26,66 B","27,59 B","27,20 B","25,32 B","23,53 B","23,66 B","21,84 B","17,23 B","21,18 B","20,20 B","18,38 B","18,95 B","19,15 B","20,04 B","20,54 B","20,33 B","22,56 B","19,42 B","18,14 B","17,20 B","17,24 B","15,13 B","13,73 B"
Custos,"-53,09 B","-52,37 B","-50,29 B","-42,50 B","-36,99 B","-175,35 B","-37,12 B","-46,90 B",0,"-36,07 B","-45,42 B","-40,51 B","-40,45 B","-38,85 B","-39,78 B","-43,37 B","-13,47 B","-24,59 B","-21,03 B","-2,93 B","-16,37 B","-23,26 B","-9,25 B","-19,59 B","-43,48 B","-21,21 B","-20,15 B","-12,95 B","-18,60 B","-13,32 B","-19,27 B","-23,32 B","-15,66 B","-20,26 B","-18,78 B","-26,11 B","-27,72 B","-31,47 B","-27,48 B","-17,39 B","-18,00 B","-22,08 B","-46,91 B","-19,29 B","-33,39 B","-25,63 B","-25,64 B","-17,45 B","-16,13 B","-19,34 B","-17,39 B","-19,92 B","-12,91 B","-14,17 B","-14,58 B","-18,96 B","-15,52 B","-16,76 B","-24,88 B","-14,73 B","-14,27 B","-13,22 B","-12,90 B","-11,83 B","-10,71 B"
Lucro bruto,"9,46 B","9,29 B","7,79 B","9,05 B","9,34 B","30,69 B","8,51 B","7,53 B",0,"5,60 B","5,66 B","5,08 B","5,67 B","1,31 B","6,95 B","8,61 B","9,24 B","6,34 B","7,51 B","17,16 B","6,79 B","-770,44 M","13,74 B","-1,31 B","-27,38 B","2,97 B","3,12 B","11,76 B","8,21 B","13,24 B","5,33 B","-6,00 B","8,04 B","3,75 B","11,01 B","3,16 B","7,00 B","6,99 B","4,36 B","16,62 B","15,46 B","7,44 B","-20,25 B","8,30 B","-6,19 B","-317,04 M","-2,11 B","6,21 B","5,71 B","-2,12 B","3,78 B","281,33 M","5,47 B","4,78 B","4,57 B","1,08 B","5,02 B","3,57 B","-2,32 B","4,69 B","3,87 B","3,99 B","4,34 B","3,30 B","3,02 B"
Despesas operacionais,"-4,48 B","-4,94 B","-4,10 B","-7,03 B","-4,95 B","-17,43 B","-4,31 B","-4,35 B",0,"-7,47 B","-3,38 B","-3,21 B","-3,12 B","-2,74 B","-2,48 B","-1,25 B","-2,26 B","-4,07 B","-504,18 M","-7,75 B","-696,69 M","9,49 B","-10,09 B","763,07 M","15,99 B","-6,75 B","-194,12 M","-4,89 B","-2,58 B","-5,33 B","-1,15 B","6,36 B","-2,63 B","-1,57 B","-7,32 B","-1,04 B","-1,87 B","-4,20 B","-2,29 B","-8,54 B","-6,87 B","-980,02 M","11,27 B","-2,43 B","6,33 B","2,79 B","3,58 B","-1,79 B","-1,95 B","3,42 B","-977,88 M","1,12 B","-2,21 B","-2,32 B","-1,69 B","407,53 M","-2,06 B","-1,56 B","3,92 B","-1,72 B","-1,25 B","-1,10 B","-1,56 B","-897,74 M","-1,04 B"
Despesas com vendas,0,0,0,0,0,"-9,17 B","-3,97 B","-7,28 B","-7,11 B",0,0,0,0,0,0,0,0,0,0,0,0,"18,11 B","-4,77 B",0,0,"9,45 B","-2,07 B",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Despesas administrativas,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"-3,85 B","-4,19 B","-7,30 B","-5,07 B","-4,51 B","-3,96 B","-4,11 B","-4,12 B","-3,97 B","-3,90 B","-3,87 B","-5,85 B","-4,07 B","-3,99 B","-4,72 B","-3,34 B","-3,07 B","-2,97 B","-2,97 B","-3,26 B","-2,86 B","-2,71 B","-2,79 B","-3,26 B","-2,70 B","-2,57 B","-2,67 B","-2,63 B","-2,49 B","-2,43 B","-2,45 B","-2,45 B","-2,40 B","-2,26 B","-2,46 B","-2,73 B","-2,03 B","-1,87 B","-1,99 B","-1,84 B","-1,69 B","-1,58 B"
EBIT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"-548,67 M","-11,39 B","-4,16 B","3,05 B","6,87 B","5,64 B","7,91 B","4,18 B","359,71 M","5,41 B","2,18 B","3,70 B","2,11 B","5,12 B","2,79 B","2,07 B","8,08 B","8,59 B","6,46 B","-8,98 B","5,87 B","140,76 M","2,47 B","1,47 B","4,42 B","3,76 B","1,30 B","2,80 B","1,40 B","3,26 B","2,46 B","2,88 B","1,49 B","2,96 B","2,01 B","1,60 B","2,97 B","2,62 B","2,88 B","2,78 B","2,40 B","1,97 B"
Resultado financeiro,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"-30,00 M","23,09 M","-37,03 M","-114,87 M","-172,63 M","-96,56 M","-257,86 M","-309,81 M","-118,14 M","-177,32 M","-201,71 M","-191,90 M","-150,96 M","-125,06 M","-377,70 M","-271,92 M","-99,66 M","-88,98 M","-146,37 M","-129,24 M","-99,75 M","-54,33 M","-93,46 M","-57,02 M","-74,61 M","-39,17 M","-119,69 M","-49,06 M","-202,00 Mil","-8,55 M","-28,32 M","-25,07 M","-37,59 M","-14,44 M","1,38 M","-14,32 M","-23,19 M","-14,57 M","23,34 M","-35,22 M","-19,71 M","-21,72 M"
Antes dos impostos,"4,98 B","4,35 B","3,69 B","2,02 B","4,39 B","13,26 B","4,20 B","3,18 B",0,"-1,88 B","2,28 B","1,87 B","2,56 B","-1,43 B","4,47 B","7,36 B","6,97 B","2,27 B","7,01 B","9,42 B","6,10 B","8,72 B","3,65 B","-548,67 M","-11,39 B","-3,77 B","2,93 B","6,70 B","5,54 B","7,65 B","3,87 B","241,57 M","5,23 B","1,98 B","3,51 B","1,96 B","5,00 B","2,41 B","1,80 B","7,98 B","8,51 B","6,31 B","-9,11 B","5,77 B","86,43 M","2,38 B","1,41 B","4,34 B","3,72 B","1,18 B","2,75 B","1,40 B","3,25 B","2,43 B","2,86 B","1,45 B","2,95 B","2,01 B","1,58 B","2,95 B","2,61 B","2,91 B","2,74 B","2,38 B","1,95 B"
