Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012
Ativo total,"19,62 B","23,10 B","20,44 B","21,38 B","18,52 B","21,62 B","19,21 B","19,02 B","17,85 B","18,27 B","16,24 B","16,98 B","14,40 B","16,57 B","13,93 B","13,70 B","12,13 B","13,31 B","11,58 B","11,38 B","10,33 B","10,90 B","9,64 B","9,99 B","11,66 B","14,93 B","14,99 B","11,71 B","10,21 B","13,63 B","12,84 B","13,28 B","12,00 B","13,33 B","12,54 B","12,55 B","11,41 B","12,54 B","11,56 B","12,02 B","10,67 B","11,50 B","10,42 B","11,11 B","9,73 B","10,38 B","8,98 B","9,35 B","8,28 B","8,79 B","7,83 B","8,35 B","7,57 B","7,29 B"
Ativo circulante,"7,76 B","11,38 B","8,67 B","9,99 B","7,79 B","9,91 B","7,45 B","5,50 B","4,65 B","5,93 B","4,55 B","5,41 B","3,92 B","7,22 B","5,64 B","4,78 B","3,94 B","5,13 B","3,83 B","3,77 B","3,26 B","3,62 B","3,28 B","3,43 B","5,39 B","8,67 B","8,94 B","5,07 B","3,75 B","6,90 B","4,27 B","4,73 B","3,72 B","4,99 B","4,13 B","3,60 B","2,68 B","3,24 B","2,60 B","3,14 B","2,09 B","2,58 B","2,20 B","3,00 B","2,45 B","2,96 B","2,31 B","2,55 B","1,90 B","2,42 B","1,71 B","2,47 B","2,00 B","1,90 B"
Caixa e eq. de caixa,"6,07 B","8,86 B","6,11 B","7,08 B","4,91 B","7,79 B","5,49 B","4,29 B","3,47 B","4,75 B","3,37 B","4,36 B","2,81 B","6,08 B","4,66 B","4,02 B","3,15 B","4,09 B","2,75 B","2,59 B","2,18 B","2,20 B","1,83 B","2,10 B","4,11 B","7,38 B","6,12 B","3,83 B","2,67 B","6,06 B","2,77 B","3,29 B","2,32 B","3,64 B","2,51 B","2,52 B","1,60 B","2,17 B","1,36 B","2,00 B","1,04 B","1,56 B","1,18 B","1,83 B","1,55 B","2,09 B","1,61 B","1,86 B","1,15 B","1,79 B","1,01 B","1,68 B","1,38 B","1,33 B"
Aplicações financeiras,"305,86 M","1,19 B","1,15 B","1,60 B","1,55 B","719,10 M","700,30 M",0,0,0,0,0,0,0,0,0,0,0,0,"304,60 M","302,01 M","245,10 M","370,05 M","439,36 M","435,94 M","286,30 M","161,12 M",0,0,0,"117,02 M","489,96 M","482,17 M","474,37 M","356,41 M","26,00 Mil","65,00 Mil","59,00 Mil","44,00 Mil","43,00 Mil","43,00 Mil","52,00 Mil","74,00 Mil","186,32 M","74,00 Mil","77,00 Mil","651,00 Mil","3,18 M","3,12 M","3,05 M","3,02 M","393,00 Mil","375,00 Mil","398,00 Mil"
Contas a receber,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Estoques,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ativos biológicos,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ativo não circulante,"11,86 B","11,71 B","11,78 B","11,38 B","10,73 B","11,71 B","11,76 B","13,52 B","13,20 B","12,34 B","11,68 B","11,57 B","10,48 B","9,35 B","8,29 B","8,92 B","8,19 B","8,19 B","7,75 B","7,62 B","7,08 B","7,28 B","6,37 B","6,56 B","6,27 B","6,26 B","6,05 B","6,64 B","6,46 B","6,73 B","8,57 B","8,54 B","8,28 B","8,34 B","8,41 B","8,95 B","8,73 B","9,30 B","8,96 B","8,89 B","8,58 B","8,91 B","8,21 B","8,11 B","7,28 B","7,42 B","6,67 B","6,80 B","6,39 B","6,36 B","6,12 B","5,88 B","5,57 B","5,39 B"
Investimentos,"8,88 B","9,03 B","9,06 B","9,26 B","8,58 B","8,83 B","8,94 B","10,14 B","9,95 B","9,33 B","8,78 B","8,93 B","8,34 B","7,96 B","7,26 B","7,91 B","7,16 B","7,14 B","6,81 B","6,64 B","6,08 B","6,08 B","4,83 B","5,04 B","4,78 B","4,92 B","5,01 B","5,45 B","5,28 B","5,33 B","7,48 B","7,83 B","7,56 B","7,63 B","7,60 B","7,84 B","7,64 B","8,24 B","8,10 B","8,48 B","7,76 B","8,12 B","7,51 B","7,95 B","7,12 B","7,27 B","6,52 B","6,65 B","6,38 B","6,22 B","6,11 B","5,87 B","5,56 B","5,39 B"
Imobilizado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
