Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
P/L,"7,21","7,49","7,91","6,34","7,44","8,45","7,69","4,34","8,06","7,00","6,62","6,06","8,69","8,88"
P/VP,"5,24","6,51","7,10","5,13","5,74","4,56","4,63","5,51","4,18","3,19","3,20","3,37","3,79","3,17"
P/EBIT,"6,62","6,85","7,06","5,66","6,41","6,74","6,19","3,36","6,46","6,04","5,81","5,11","7,26","7,46"
P/EBIT *,"-536,90","-678,36","-767,77","-584,98","-619,06",--,--,--,--,--,--,--,--,--
PSR,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/Ativos,"3,38","2,93","3,18","2,76","2,78","2,50","2,72","1,94","2,09","2,13","2,12","2,22","2,89","2,50"
LPA,"4,74","4,64","4,48","4,09","3,19","2,03","1,98","3,43","1,82","2,09","2,07","2,17","1,78","1,27"
VPA,"6,51","5,35","4,99","5,06","4,14","3,75","3,29","2,70","3,52","4,58","4,27","3,90","4,08","3,58"
EBIT por ação,"5,15","5,08","5,03","4,59","3,71","2,54","2,46","4,43","2,27","2,42","2,35","2,57","2,13","1,52"
EBIT por ação *,"-0,06","-0,05","-0,05","-0,04","-0,04","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Ativo por ação,"10,11","11,90","11,13","9,41","8,54","6,86","5,61","7,69","7,02","6,87","6,46","5,92","5,35","4,53"
Receita líquida por ação,--,--,--,--,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Margem bruta,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem líquida,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBIT,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBIT *,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA *,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem operacional,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
ROE,"72,72%","86,84%","89,77%","80,96%","77,10%","54,02%","60,27%","126,86%","51,82%","45,51%","48,42%","55,50%","43,62%","35,64%"
ROA,"0,47","0,39","0,40","0,43","0,37","0,30","0,35","0,45","0,26","0,30","0,32","0,37","0,33","0,28"
ROIC,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
ROIC *,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Giro do ativo,--,--,--,--,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
EBIT *,-124 mi,-100 mi,-90 mi,-87 mi,-75 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi
EBITDA,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EBITDA *,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Liquidez corrente,"2,45","1,28","1,20","1,08","1,11","1,28","1,27","1,05","1,24","1,52","1,04","0,96","2,07","2,25"
Liquidez seca,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Liquidez imediata,"1,92","0,99","0,94","0,87","0,93","1,02","0,77","0,90","1,09","1,11","0,70","0,58","1,46","1,66"
Dívida bruta,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dívida líquida,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital de giro,4.596 mi,2.476 mi,1.627 mi,455 mi,712 mi,1.126 mi,765 mi,450 mi,1.326 mi,1.717 mi,133 mi,-113 mi,1.531 mi,1.346 mi
Endividamento geral,"55,20%","122,43%","122,95%","86,14%","106,18%","82,85%","70,59%","184,38%","99,50%","49,85%","51,31%","51,64%","31,03%","26,57%"
