Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"6,11","5,21","-3,92","15,47","14,70","18,48","11,55","377,75","-4,26","-20,69","37,43","-10,52","-13,61","-24,89","-52,22","120,64","229,58","70,45"
P/VP,"3,45","3,22","-12,75","37,35","18,93","16,92","9,59","-21,67","-17,91","81,79","14,01","-21,93","11,87","17,64","13,48","10,21","9,46","9,78"
P/EBIT,"1,09","1,10","2,51","3,18","3,96","5,44","4,49","4,17","8,00","5,87","8,22","9,14","9,59","17,01","24,22","19,38","21,90","35,81"
P/EBIT *,"1,11","1,13","2,58","3,21","4,04","5,48","4,41","4,16","4,43","5,93","7,90","8,90","9,25","16,31","26,13","21,62","21,61","35,85"
PSR,"0,08","0,08","0,18","0,24","0,31","0,41","0,41","0,36","0,33","0,48","0,76","0,88","0,81","1,43","2,31","1,38","1,41","1,97"
P/Ativos,"0,10","0,09","0,14","0,23","0,45","0,55","0,48","0,46","0,42","0,49","0,82","1,01","0,79","1,57","2,32","1,56","1,82","2,46"
LPA,"0,71","0,81","-1,56","0,42","0,65","0,60","0,70","0,02","-1,26","-0,28","0,19","-0,80","-0,42","-0,31","-0,19","0,05","0,02","0,07"
VPA,"1,26","1,31","-0,48","0,17","0,51","0,65","0,84","-0,28","-0,30","0,07","0,52","-0,38","0,48","0,44","0,75","0,54","0,51","0,52"
EBIT por ação,"3,98","3,85","2,43","2,05","2,42","2,03","1,79","1,46","0,67","0,99","0,89","0,92","0,59","0,46","0,42","0,28","0,22","0,14"
EBIT por ação *,"3,91","3,75","2,36","2,03","2,38","2,02","1,82","1,47","1,22","0,98","0,92","0,95","0,61","0,48","0,39","0,25","0,22","0,14"
Ativo por ação,"41,62","45,85","42,12","28,58","21,39","20,06","16,91","13,23","12,82","11,90","8,88","8,31","7,24","4,98","4,36","3,50","2,63","2,08"
Receita líquida por ação,"57,01","54,80","34,05","26,88","30,96","26,95","19,40","17,11","16,21","12,10","9,64","9,52","6,98","5,45","4,38","3,97","3,41","2,60"
Margem bruta,"17,06%","17,35%","20,56%","20,50%","18,52%","17,23%","19,76%","19,23%","17,57%","18,48%","19,54%","20,19%","19,37%","20,63%","20,91%","15,10%","19,01%","18,14%"
Margem líquida,"1,32%","1,55%","-4,59%","1,47%","2,11%","2,22%","3,59%","0,09%","-7,80%","-2,32%","2,02%","-8,40%","-5,99%","-5,76%","-4,54%","1,05%","0,67%","2,80%"
Margem EBIT,"6,99%","7,02%","7,13%","7,62%","7,82%","7,55%","9,24%","8,54%","4,16%","8,18%","9,19%","9,68%","8,49%","8,42%","9,55%","7,10%","6,42%","5,51%"
Margem EBIT *,"6,85%","6,84%","6,95%","7,55%","7,68%","7,49%","9,40%","8,56%","7,50%","8,09%","9,56%","9,93%","8,80%","8,78%","8,86%","6,37%","6,51%","5,50%"
Margem EBITDA,"8,66%","8,80%","9,09%","9,53%","9,16%","8,83%","10,83%","10,08%","5,53%","9,37%","10,03%","10,46%","9,34%","9,48%","10,72%","8,24%","7,27%","7,18%"
Margem EBITDA *,"8,53%","8,62%","8,91%","9,45%","9,01%","8,78%","11,00%","10,11%","8,87%","9,29%","10,40%","10,72%","9,65%","9,84%","10,02%","7,51%","7,35%","7,17%"
Margem operacional,"1,01%","1,27%","-4,42%","1,27%","1,25%","2,17%","3,95%","-0,77%","-11,16%","-1,66%","2,60%","-7,83%","-6,01%","-5,79%","-4,60%","-2,32%","-0,63%","2,62%"
ROE,"40,44%","44,81%","-1.793,01%","59,97%","61,65%","91,55%","82,98%","-5,74%","420,03%","-394,90%","37,36%","209,00%","-87,03%","-70,84%","-26,36%","6,81%","4,24%","13,87%"
ROA,"0,02","0,02","-0,04","0,01","0,03","0,03","0,04","0,00","-0,10","-0,02","0,02","-0,10","-0,06","-0,06","-0,05","0,01","0,01","0,03"
ROIC,"18,12%","18,37%","11,28%","16,82%","22,42%","22,51%","21,91%","19,75%","8,93%","14,04%","18,24%","18,13%","14,09%","15,13%","15,00%","11,56%","12,03%","9,78%"
ROIC *,"17,78%","17,90%","10,99%","16,65%","22,00%","22,35%","22,29%","19,81%","16,10%","13,90%","18,98%","18,61%","14,60%","15,77%","13,91%","10,37%","12,19%","9,77%"
Giro do ativo,"1,37","1,20","0,81","0,94","1,45","1,34","1,15","1,29","1,26","1,02","1,09","1,15","0,96","1,10","1,00","1,14","1,30","1,25"
EBIT *,3.910 mi,3.749 mi,2.366 mi,2.029 mi,2.377 mi,2.020 mi,1.825 mi,1.466 mi,1.216 mi,979 mi,922 mi,946 mi,615 mi,479 mi,387 mi,253 mi,221 mi,143 mi
EBITDA,4.942 mi,4.822 mi,3.096 mi,2.562 mi,2.837 mi,2.382 mi,2.102 mi,1.726 mi,896 mi,1.134 mi,967 mi,996 mi,652 mi,517 mi,469 mi,327 mi,247 mi,186 mi
EBITDA *,4.866 mi,4.723 mi,3.034 mi,2.542 mi,2.792 mi,2.367 mi,2.133 mi,1.730 mi,1.438 mi,1.124 mi,1.003 mi,1.020 mi,674 mi,536 mi,438 mi,298 mi,250 mi,186 mi
Liquidez corrente,"1,32","1,34","1,48","1,86","1,60","1,90","1,76","1,47","1,36","1,86","2,01","1,65","2,17","2,12","2,15","1,74","2,39","2,28"
Liquidez seca,"1,07","1,13","1,23","1,65","1,39","1,61","1,61","1,34","1,24","1,68","1,85","1,50","1,93","1,90","1,94","1,56","2,09","1,92"
Liquidez imediata,"0,43","0,48","0,46","0,41","0,64","0,84","0,75","0,57","0,51","0,83","1,03","0,66","0,82","0,53","0,43","0,23","0,28","0,25"
Dívida bruta,24.572 mi,27.786 mi,30.082 mi,21.556 mi,13.766 mi,13.404 mi,11.572 mi,10.477 mi,10.467 mi,9.607 mi,6.827 mi,7.007 mi,5.348 mi,3.429 mi,2.666 mi,2.035 mi,1.634 mi,1.223 mi
Dívida líquida,13.690 mi,12.755 mi,15.621 mi,8.878 mi,6.695 mi,6.102 mi,5.180 mi,6.008 mi,6.070 mi,5.799 mi,3.429 mi,4.258 mi,2.874 mi,1.865 mi,1.377 mi,1.288 mi,1.057 mi,799 mi
Capital de giro,5.858 mi,7.269 mi,7.883 mi,8.389 mi,4.856 mi,6.528 mi,4.890 mi,2.641 mi,2.153 mi,3.404 mi,2.848 mi,1.971 mi,2.309 mi,1.500 mi,1.243 mi,722 mi,751 mi,683 mi
Endividamento geral,"2.143,74%","2.323,20%","48.218,44%","4.235,40%","1.914,14%","2.968,11%","1.914,50%","-4.798,45%","-4.358,99%","16.649,90%","1.602,12%","-2.271,68%","1.408,13%","1.022,14%","478,95%","471,14%","386,49%","296,96%"
