Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"39,93 B","39,68 B","39,13 B","38,91 B","38,11 B","36,92 B","37,48 B","38,35 B","42,61 B","41,41 B","41,69 B","38,72 B","37,09 B","36,74 B","39,01 B","37,21 B","36,44 B","34,05 B","33,78 B","32,32 B","32,09 B","30,53 B","35,48 B","27,11 B","27,05 B","23,79 B","24,10 B","27,80 B","25,42 B","27,98 B","28,65 B","23,34 B","19,40 B","22,86 B","22,09 B","20,72 B","20,88 B","25,76 B","23,68 B","18,49 B","19,03 B","18,39 B","17,73 B","16,07 B","15,72 B","15,29 B","15,59 B","14,74 B","14,48 B","14,24 B","14,03 B","13,55 B","12,85 B","12,68 B","11,19 B","11,09 B","11,34 B","10,31 B","10,30 B","9,47 B","8,81 B","9,70 B","9,22 B"
Ativo circulante,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"21,51 B","13,92 B","15,34 B","12,21 B","13,54 B","16,04 B","14,31 B","17,95 B","18,95 B","15,80 B","12,52 B","13,90 B","13,68 B","11,41 B","11,84 B","16,27 B","14,72 B","9,64 B","10,42 B","10,03 B","10,22 B","8,66 B","8,50 B","7,91 B","8,81 B","8,41 B","8,43 B","8,38 B","8,91 B","9,00 B","8,11 B","8,64 B","7,44 B","7,34 B","7,82 B","6,68 B","6,96 B","6,12 B","5,43 B","6,01 B","5,44 B"
Caixa e eq. de caixa,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"253,42 M",--,--,--,"182,22 M",--,--,--,"150,18 M",--,--,--,"212,83 M",--,--,--,"253,85 M",--,--,--,"168,57 M",--,--,--,"1,12 B",--,--,--,"3,02 B",--,--,--,"169,56 M",--,--,--,"3,11 B","2,88 B"
Aplicações financeiras,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Contas a receber,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Estoques,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ativos biológicos,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ativo não circulante,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Investimentos,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Imobilizado,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
