Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P/VP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT *,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PSR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P/Ativos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LPA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VPA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação *,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ativo por ação,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Receita líquida por ação,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Margem bruta,"47,86%","48,57%","52,23%","43,40%","40,25%","38,63%","38,67%","35,70%","34,26%","42,57%",--%,--%,--%,--%,--%,--%,--%,--%
Margem líquida,"-13,57%","-18,50%","-20,96%","-1,77%","-31,94%","-14,32%","-34,00%","-17,78%","-3,65%","-10,68%",--%,--%,--%,--%,--%,--%,--%,--%
Margem EBIT,"-3,46%","-7,47%","-7,63%","19,99%","-13,45%","-5,81%","-11,71%","-19,73%","-5,34%","-5,13%",--%,--%,--%,--%,--%,--%,--%,--%
Margem EBIT *,"2,55%","2,56%","-2,35%","-1,49%","-7,33%","-1,06%","-1,60%","-19,88%","-12,16%","-2,61%",--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA,"2,10%","-3,79%","-2,88%","24,46%","-9,16%","-2,81%","-9,58%","-17,55%","-3,09%","-3,58%",--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA *,"8,11%","6,24%","2,40%","2,98%","-3,04%","1,93%","0,53%","-17,69%","-9,91%","-1,06%",--%,--%,--%,--%,--%,--%,--%,--%
Margem operacional,"-13,43%","-18,50%","-20,96%","0,35%","-28,96%","-12,23%","-30,49%","-19,80%","-4,71%","-6,91%",--%,--%,--%,--%,--%,--%,--%,--%
ROE,"-84,04%","-111,50%","-60,02%","-5,46%","-131,04%","-25,50%","-42,83%","-7,54%","-2,77%","-6,47%","4,91%","2,41%","13,66%","-6,64%","-4,02%","-4,88%","71,02%","98,25%"
ROA,"-0,11","-0,16","-0,14","-0,01","-0,18","-0,06","-0,11","-0,05","-0,02","-0,04","0,04","0,02","0,11","-0,05","-0,03","-0,04","0,55","0,33"
ROIC,"-3,10%","-6,65%","-5,32%","13,69%","-7,74%","-2,61%","-4,13%","-7,36%","-3,29%","-3,25%","-46,30%","-26,47%","-22,15%","-89,76%","-74,53%","-31,54%","353,90%","309,38%"
ROIC *,"2,29%","2,28%","-1,64%","-1,02%","-4,22%","-0,48%","-0,57%","-7,41%","-7,49%","-1,65%","-48,55%","-58,78%","-41,80%","-36,61%","-38,96%","-31,53%","-45,17%","-64,00%"
Giro do ativo,"0,84","0,85","0,67","0,63","0,55","0,43","0,33","0,28","0,50","0,39","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
EBIT *,8 mi,8 mi,-9 mi,-6 mi,-27 mi,-3 mi,-4 mi,-11 mi,-6 mi,-1 mi,-4 mi,-3 mi,-6 mi,-4 mi,-4 mi,-5 mi,-7 mi,-13 mi
EBITDA,7 mi,-13 mi,-11 mi,92 mi,-33 mi,-8 mi,-19 mi,-10 mi,-2 mi,-2 mi,0 mi,-2 mi,-2 mi,-9 mi,-7 mi,-5 mi,48 mi,60 mi
EBITDA *,27 mi,20 mi,8 mi,11 mi,-11 mi,5 mi,1 mi,-10 mi,-5 mi,-1 mi,-4 mi,-3 mi,-5 mi,-4 mi,-4 mi,-5 mi,-7 mi,-13 mi
Liquidez corrente,"0,24","0,21","0,32","0,33","0,19","0,22","0,40","1,57","1,05","1,82","16,98","16,59","9,87","8,80","40,35","34,79","6,01","1,57"
Liquidez seca,"0,24","0,21","0,32","0,33","0,19","0,22","0,40","1,57","1,05","1,82","16,98","16,59","9,87","8,80","40,35","34,79","6,01","1,57"
Liquidez imediata,"0,09","0,06","0,10","0,21","0,09","0,05","0,27","1,43","0,86","1,66","14,92","0,32","0,00","0,02","0,00","0,01","0,19","0,01"
Dívida bruta,50 mi,45 mi,56 mi,120 mi,187 mi,64 mi,51 mi,11 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,6 mi,60 mi
Dívida líquida,31 mi,33 mi,41 mi,83 mi,167 mi,51 mi,8 mi,-37 mi,-16 mi,-38 mi,0 mi,-33 mi,-30 mi,-48 mi,-54 mi,-55 mi,-68 mi,-61 mi
Capital de giro,-163 mi,-165 mi,-113 mi,-117 mi,-188 mi,-184 mi,-96 mi,19 mi,0 mi,18 mi,31 mi,34 mi,32 mi,44 mi,56 mi,56 mi,64 mi,45 mi
Endividamento geral,"639,88%","606,29%","326,41%","385,45%","645,64%","311,65%","286,69%","52,80%","50,93%","56,70%","9,09%","13,96%","27,00%","38,99%","22,93%","18,56%","29,95%","200,38%"
