Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"85,56 M","80,97 M","81,38 M","85,84 M","84,55 M","92,12 M","89,07 M","92,98 M","80,76 M","95,76 M","94,22 M","100,93 M","86,78 M","95,70 M","90,80 M","86,87 M","83,75 M","72,78 M","69,30 M","61,75 M","62,83 M","53,80 M","53,48 M","50,64 M","38,43 M","16,77 M","14,34 M","10,90 M","11,04 M","11,18 M","11,74 M","10,99 M","10,19 M","11,39 M","10,96 M","11,73 M","3,56 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Custos,"-42,16 M","-43,07 M","-43,18 M","-45,59 M","-34,08 M","-20,71 M","-50,47 M","-54,37 M","-43,58 M","-57,44 M","-52,60 M","-54,59 M","-49,14 M","-57,34 M","-52,71 M","-55,75 M","-47,59 M","-52,38 M","-38,98 M","-38,56 M","-33,74 M","-37,73 M","-30,24 M","-28,68 M","-23,76 M","-10,88 M","-7,18 M","-8,38 M","-7,68 M","-7,88 M","-6,08 M","-7,68 M","-7,36 M","-7,12 M","-5,22 M","-6,95 M","-2,31 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro bruto,"43,40 M","37,90 M","38,20 M","40,24 M","50,47 M","71,41 M","38,60 M","38,61 M","37,18 M","38,32 M","41,63 M","46,34 M","37,64 M","38,36 M","38,09 M","31,12 M","36,16 M","20,41 M","30,32 M","23,19 M","29,09 M","16,07 M","23,24 M","21,95 M","14,67 M","5,89 M","7,16 M","2,53 M","3,36 M","3,31 M","5,67 M","3,31 M","2,82 M","4,27 M","5,74 M","4,78 M","1,25 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas operacionais,"-37,30 M","-62,60 M","-29,77 M","-41,62 M","-57,67 M","-84,77 M","-41,72 M","-43,22 M","-42,87 M","44,24 M","-42,22 M","-45,20 M","-45,24 M","-55,61 M","-45,91 M","-47,31 M","-42,92 M","-37,58 M","-32,09 M","-23,01 M","-25,81 M","-30,48 M","-24,96 M","-19,99 M","-23,48 M","-8,96 M","-8,51 M","-6,53 M","-5,49 M","-5,76 M","-5,04 M","-1,93 M","-4,47 M","-5,68 M","-5,30 M","-4,49 M","-2,48 M",0,0,0,0,"506,00 Mil","-373,00 Mil","-510,00 Mil","-902,00 Mil","-1,56 M","-325,00 Mil","-992,00 Mil","-1,55 M","-5,49 M","-881,00 Mil","-1,23 M","-756,00 Mil","-4,15 M","-1,03 M","-833,00 Mil","-872,00 Mil","-976,00 Mil","-1,41 M","-687,00 Mil","-971,00 Mil","-6,01 M","-138,00 Mil","650,00 Mil","2,78 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-37,08 M","-36,70 M","-37,98 M","-39,45 M","-44,15 M","-75,97 M","-38,15 M","-38,41 M","-41,01 M","-44,06 M","-39,78 M","-41,88 M","-43,81 M","-51,74 M","-42,46 M","-39,89 M","-35,80 M","-34,04 M","-28,37 M","-19,96 M","-23,49 M","-25,01 M","-22,35 M","-16,41 M","-15,30 M","-9,19 M","-8,45 M","-6,37 M","-5,48 M","-5,33 M","-5,15 M","-5,37 M","-4,63 M","-4,91 M","-4,42 M","-4,55 M","-2,65 M","-608,00 Mil","-1,05 M","-743,00 Mil","-766,00 Mil","-801,00 Mil","-591,00 Mil","-786,00 Mil","-662,00 Mil","-650,00 Mil","-3,99 M","-915,00 Mil","-850,00 Mil","-871,00 Mil","-750,00 Mil","-1,03 M","-756,00 Mil","-966,00 Mil","-899,00 Mil","-833,00 Mil","-903,00 Mil","-1,03 M","-952,00 Mil","-954,00 Mil","-1,11 M","-991,00 Mil","-5,18 M","-1,55 M","-1,69 M"
EBIT,"6,10 M","-24,70 M","8,42 M","-1,38 M","-7,20 M","-13,36 M","-3,13 M","-4,61 M","-5,69 M","82,56 M","-597,00 Mil","1,14 M","-7,61 M","-17,25 M","-7,82 M","-16,19 M","-6,76 M","-17,17 M","-1,77 M","182,00 Mil","3,28 M","-14,41 M","-1,73 M","1,96 M","-8,81 M","-3,07 M","-1,35 M","-4,00 M","-2,13 M","-2,45 M","628,00 Mil","1,38 M","-1,64 M","-1,42 M","436,00 Mil","283,00 Mil","-1,23 M",0,0,0,0,"506,00 Mil","-373,00 Mil","-510,00 Mil","-902,00 Mil","-1,56 M","-325,00 Mil","-992,00 Mil","-1,55 M","-5,49 M","-881,00 Mil","-1,23 M","-756,00 Mil","-4,15 M","-1,03 M","-833,00 Mil","-872,00 Mil","-976,00 Mil","-1,41 M","-687,00 Mil","-971,00 Mil","-6,01 M","-138,00 Mil","650,00 Mil","2,78 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-6,48 M","-10,88 M","-6,68 M","-9,24 M","-9,92 M","-16,69 M","-11,27 M","-7,24 M","-12,08 M","-34,90 M","-15,53 M","-14,13 M","-9,61 M","-14,43 M","-12,53 M","-19,62 M","-8,83 M","-571,00 Mil","-5,44 M","-6,48 M","-9,56 M","-11,11 M","-11,61 M","-8,57 M","-1,96 M","-1,44 M","1,17 M","172,00 Mil","64,00 Mil","111,00 Mil","75,00 Mil","221,00 Mil","-131,00 Mil","57,00 Mil","-650,00 Mil","-681,00 Mil","602,00 Mil",0,0,0,0,"620,00 Mil","591,00 Mil","1,45 M","14,00 Mil","2,01 M","822,00 Mil","1,86 M","39,00 Mil","74,00 Mil","13,00 Mil","986,00 Mil","5,70 M","3,51 M","711,00 Mil","1,03 M","44,00 Mil","-47,00 Mil","205,00 Mil","-92,00 Mil","1,21 M","5,12 M","66,02 M","7,61 M","3,01 M"
Antes dos impostos,"-382,00 Mil","-35,58 M","1,74 M","-10,62 M","-17,12 M","-30,05 M","-14,40 M","-11,85 M","-17,77 M","47,66 M","-16,12 M","-12,99 M","-17,21 M","-31,68 M","-20,34 M","-35,81 M","-15,59 M","-17,74 M","-7,21 M","-6,30 M","-6,28 M","-25,53 M","-13,34 M","-6,61 M","-10,78 M","-4,51 M","-172,00 Mil","-3,83 M","-2,07 M","-2,34 M","703,00 Mil","1,60 M","-1,77 M","-1,36 M","-214,00 Mil","-398,00 Mil","-630,00 Mil",0,0,0,0,"1,13 M","218,00 Mil","944,00 Mil","-888,00 Mil","448,00 Mil","497,00 Mil","867,00 Mil","-1,51 M","-5,42 M","-868,00 Mil","-244,00 Mil","4,95 M","-645,00 Mil","-320,00 Mil","202,00 Mil","-828,00 Mil","-1,02 M","-1,21 M","-779,00 Mil","236,00 Mil","-897,00 Mil","65,88 M","8,26 M","5,80 M"
