Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"-155,54","-17,43","-17,20","-5,63","-20,65","-31,15","-24,89","-21,77","-26,38","-21,00","107,41","-75,03","-119,59","-77,43","-80,50","-81,99","-61,17"
P/VP,"3,32","5,12","11,35","3,28","14,85","11,51","9,05","8,73","16,96","14,53","7,73","8,91","11,04","-49,78","-42,97","-86,27","-23.356,16"
P/EBIT,"-198,56","-16,58","-19,25","-6,05","-25,24","-39,77","-26,40","-25,26","-28,40","-29,34","-297,11","-56,95","-160,05","-92,50","-91,28","-82,59","-99,81"
P/EBIT *,"197,70","-18,76","-20,54","-7,06","-26,11","-40,99","-29,87","-28,63","-32,24","-34,94","-43,93","-60,39","-119,26","-141,96","-93,13","-83,02","-112,18"
PSR,"3,86","9,42","11,81","4,97","15,48","37,58","155,31","591,63","9.765,69",--,"1.190,82",--,"4.735,96",--,"2.175,40","399,48","576,22"
P/Ativos,"1,98","2,89","4,05","1,29","4,48","5,07","3,57","3,03","3,83","4,04","3,87","5,31","8,71","156,20","29,99","71,40","32,88"
LPA,"-0,05","-0,56","-0,59","-0,68","-0,59","-0,52","-0,41","-0,31","-0,28","-0,33","0,06","-0,09","-0,07","-0,10","-0,03","-0,03","-0,04"
VPA,"2,29","1,92","0,90","1,16","0,82","1,40","1,12","0,78","0,43","0,48","0,84","0,78","0,80","-0,16","-0,06","-0,03","-0,00"
EBIT por ação,"-0,04","-0,59","-0,53","-0,63","-0,48","-0,41","-0,38","-0,27","-0,26","-0,24","-0,02","-0,12","-0,05","-0,09","-0,03","-0,03","-0,03"
EBIT por ação *,"0,04","-0,52","-0,50","-0,54","-0,46","-0,39","-0,34","-0,24","-0,23","-0,20","-0,15","-0,12","-0,07","-0,06","-0,03","-0,03","-0,02"
Ativo por ação,"3,83","3,40","2,52","2,96","2,70","3,18","2,84","2,23","1,92","1,73","1,68","1,31","1,01","0,05","0,09","0,04","0,08"
Receita líquida por ação,"1,97","1,04","0,86","0,77","0,78","0,43","0,07","0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00"
Margem bruta,"31,55%","12,51%","19,68%","15,24%","25,15%","23,75%","5,83%","15,64%","34,95%",--%,"100,00%",--%,"100,00%",--%,"61,85%","50,29%","64,14%"
Margem líquida,"-2,48%","-54,05%","-68,65%","-88,19%","-74,95%","-120,62%","-624,02%","-2.717,88%","-37.017,48%",--%,"1.108,70%",--%,"-3.960,24%",--%,"-2.702,31%","-487,23%","-941,94%"
Margem EBIT,"-1,95%","-56,83%","-61,36%","-82,17%","-61,30%","-94,49%","-588,22%","-2.341,89%","-34.389,32%",--%,"-408,70%",--%,"-2.890,55%",--%,"-2.210,98%","-483,69%","-577,30%"
Margem EBIT *,"1,95%","-50,24%","-57,50%","-70,40%","-59,27%","-91,67%","-519,95%","-2.066,35%","-30.292,23%",--%,"-2.583,80%",--%,"-3.772,83%",--%,"-2.180,35%","-481,19%","-513,65%"
Margem EBITDA,"1,24%","-56,83%","-61,36%","-70,49%","-61,30%","-76,61%","-536,61%","-2.230,78%","-33.908,74%",--%,--%,--%,--%,--%,--%,"-462,14%",--%
Margem EBITDA *,"5,13%","-50,24%","-57,50%","-58,73%","-59,27%","-73,79%","-468,34%","-1.955,24%","-29.811,65%",--%,--%,--%,--%,--%,--%,"-459,64%",--%
Margem operacional,"-2,58%","-53,60%","-68,36%","-88,79%","-74,50%","-120,52%","-623,59%","-2.715,77%","-39.836,89%",--%,"2.091,03%",--%,"-3.960,24%",--%,"-2.702,31%","-487,23%","-941,94%"
ROE,"-2,13%","-29,39%","-66,00%","-58,17%","-71,93%","-36,96%","-36,35%","-40,12%","-64,30%","-69,18%","7,19%","-11,87%","-9,23%","64,29%","53,38%","105,22%","38.180,00%"
ROA,"-0,01","-0,17","-0,24","-0,23","-0,22","-0,16","-0,14","-0,14","-0,15","-0,19","0,04","-0,07","-0,07","-2,02","-0,37","-0,87","-0,54"
