Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017
Receita líquida,"434,97 M","389,36 M","475,20 M","464,83 M","373,00 M","456,03 M","473,57 M","465,10 M","359,68 M","387,48 M","362,65 M","364,31 M","258,20 M","366,69 M","361,63 M","365,24 M","313,34 M","349,89 M","319,62 M","370,76 M","326,13 M","337,83 M","302,82 M","322,12 M","219,03 M","222,24 M","265,27 M","301,69 M","188,30 M","231,33 M","216,66 M","182,25 M","151,93 M","125,69 M","156,02 M","200,19 M","135,75 M"
Custos,"-254,72 M","-235,99 M","-282,46 M","-277,68 M","-223,51 M","-273,70 M","-286,44 M","-295,47 M","-240,02 M","-267,43 M","-251,42 M","-212,69 M","-150,84 M","-204,82 M","-183,75 M","-198,61 M","-151,86 M","-203,27 M","-165,69 M","-176,27 M","-155,24 M","-177,37 M","-152,52 M","-177,26 M","-118,70 M","-118,13 M","-145,83 M","-173,33 M","-110,14 M","-127,48 M","-115,38 M","-116,20 M","-84,85 M","-73,01 M","-91,97 M","-92,42 M","-79,82 M"
Lucro bruto,"180,25 M","153,37 M","192,73 M","187,14 M","149,49 M","182,32 M","187,13 M","169,63 M","119,66 M","120,05 M","111,23 M","151,62 M","107,36 M","161,87 M","177,89 M","166,63 M","161,49 M","146,63 M","153,93 M","194,49 M","170,88 M","160,46 M","150,30 M","144,86 M","100,33 M","104,11 M","119,43 M","128,36 M","78,16 M","103,85 M","101,28 M","66,05 M","67,08 M","52,68 M","64,05 M","107,77 M","55,93 M"
Despesas operacionais,"-95,01 M","-104,83 M","-101,15 M","-83,40 M","-38,97 M","-47,53 M","-81,67 M","-97,55 M","-70,83 M","-80,50 M","41,15 M","-65,37 M","-56,08 M","-48,21 M","-64,79 M","-51,39 M","-51,30 M","-62,21 M","-50,45 M","-49,30 M","-47,35 M","-54,24 M","-42,24 M","-37,75 M","-32,61 M","-23,59 M","-34,80 M","-36,82 M","-33,38 M","-43,36 M","-33,35 M","-29,41 M","-29,12 M","-33,13 M","-21,27 M","-33,47 M","-28,23 M"
Despesas com vendas,"-43,97 M","-46,39 M","-42,64 M","-41,72 M","-35,32 M","-40,24 M","-42,38 M","-34,74 M","-29,64 M","-39,83 M","-32,68 M","-31,55 M","-24,84 M","-24,79 M","-27,77 M","-25,23 M","-26,33 M","-30,94 M","-22,27 M","-27,16 M","-23,06 M","-26,94 M","-20,77 M","-17,45 M","-17,34 M","-11,92 M","-18,67 M","-18,25 M","-15,24 M","-20,59 M","-15,33 M","-14,77 M","-13,76 M","-15,55 M","-10,92 M","-12,35 M","-8,73 M"
Despesas administrativas,"-50,58 M","-53,68 M","-47,53 M","-42,81 M","-42,90 M","-46,74 M","-35,66 M","-37,76 M","-46,60 M","-37,65 M","-39,67 M","-33,03 M","-30,01 M","-21,81 M","-36,22 M","-25,31 M","-26,38 M","-30,79 M","-21,43 M","-22,36 M","-23,76 M","-24,16 M","-18,48 M","-19,09 M","-17,12 M","-15,12 M","-16,36 M","-15,88 M","-15,15 M","-24,14 M","-18,98 M","-16,94 M","-15,82 M","-21,68 M","-14,75 M","-21,94 M","-20,66 M"
EBIT,"85,24 M","48,54 M","91,59 M","103,75 M","110,52 M","134,79 M","105,46 M","72,08 M","48,84 M","39,55 M","152,37 M","86,25 M","51,28 M","113,66 M","113,09 M","115,24 M","110,19 M","84,42 M","103,48 M","145,19 M","123,53 M","106,23 M","108,06 M","107,11 M","67,72 M","80,52 M","84,63 M","91,55 M","44,78 M","60,49 M","67,93 M","36,63 M","37,96 M","19,55 M","42,78 M","74,30 M","27,70 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-33,04 M","-4,35 M","46,75 M","-12,62 M","4,31 M","-10,76 M","-9,99 M","-14,91 M","-1,25 M","-1,52 M","-2,61 M","595,00 Mil","8,33 M","4,00 M","13,37 M","31,17 M","-32,17 M","7,38 M","19,94 M","-984,00 Mil","-486,00 Mil","2,46 M","-1,41 M","-8,88 M","-27,66 M","-88,00 Mil","-10,54 M","-945,00 Mil","-3,54 M","1,35 M","-5,61 M","-15,28 M","-5,08 M","-5,11 M","1,07 M","-7,15 M","-4,66 M"
Antes dos impostos,"52,20 M","44,19 M","138,33 M","91,12 M","114,83 M","124,04 M","95,47 M","57,17 M","47,58 M","38,02 M","149,76 M","86,84 M","59,61 M","117,66 M","126,46 M","146,41 M","78,02 M","91,79 M","123,42 M","144,21 M","123,05 M","108,68 M","106,65 M","98,24 M","40,07 M","80,43 M","74,09 M","90,60 M","41,24 M","61,84 M","62,32 M","21,36 M","32,88 M","14,43 M","43,85 M","67,15 M","23,05 M"
