Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"8,21","12,94","7,82","6,57","5,97","6,72","6,91","14,86","23,74","9,33","37,91","4,81","-3,38","8,07","9,71","21,37","7,56","35,26"
P/VP,"2,15","3,49","2,13","1,65","0,90","1,14","1,19","1,77","1,48","0,83","0,65","0,61","0,93","0,68","1,47","2,22","2,25","3,20"
P/EBIT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/EBIT *,--,--,--,--,--,"1,30",--,--,--,--,--,--,--,--,--,--,--,--
PSR,"0,72","0,97","0,67","0,55","0,34","0,53","0,57","0,74","0,55","0,25","0,19","0,14","0,23","0,23","0,48","0,60","0,71","1,11"
P/Ativos,"0,17","0,23","0,16","0,13","0,08","0,10","0,11","0,16","0,13","0,07","0,06","0,04","0,05","0,05","0,09","0,12","0,13","0,15"
LPA,"6,33","5,01","4,09","3,20","1,61","1,61","1,48","0,90","0,43","0,59","0,13","0,84","-1,65","0,66","1,06","0,56","1,50","0,00"
VPA,"24,16","18,54","15,02","12,71","10,64","9,44","8,60","7,52","6,91","6,62","7,74","6,58","6,01","7,81","6,96","5,42","5,05","3,60"
EBIT por ação,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EBIT por ação *,--,--,--,--,--,"8,32",--,--,--,--,--,--,--,--,--,--,--,--
Ativo por ação,"301,84","287,44","205,93","158,99","125,17","105,02","90,95","84,38","81,11","79,20","86,40","101,64","109,21","113,76","116,23","98,12","89,26","76,00"
Receita líquida por ação,"72,60","66,75","47,80","38,05","28,61","20,29","17,98","18,02","18,40","22,18","25,94","27,89","24,45","22,73","21,40","19,92","15,93","0,00"
Margem bruta,"47,54%","48,05%","52,91%","54,70%","55,68%","62,31%","60,98%","71,39%","67,49%","57,48%","52,15%","47,32%","39,71%","45,67%","49,12%","37,13%","37,61%","52,77%"
Margem líquida,"8,95%","7,76%","8,63%","8,40%","5,65%","8,03%","8,29%","5,07%","2,57%","2,71%","0,73%","3,02%","-6,69%","3,09%","5,14%","2,99%","9,71%","3,15%"
Margem EBIT,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBIT *,--%,--%,--%,--%,--%,"41,01%",--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA *,--%,--%,--%,--%,--%,"55,98%",--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem operacional,"2,97%","0,04%","9,73%","10,47%","7,44%","6,39%","11,71%","2,92%","5,66%","5,46%","1,20%","2,01%","-11,61%","4,20%","7,67%","1,64%","14,52%","4,28%"
ROE,"26,58%","27,47%","26,95%","24,52%","14,67%","16,59%","17,34%","12,15%","6,85%","9,07%","2,46%","12,80%","-27,21%","8,99%","15,81%","11,00%","30,60%","0,00%"
ROA,"0,02","0,02","0,02","0,02","0,01","0,02","0,02","0,01","0,01","0,01","0,00","0,01","-0,01","0,01","0,01","0,01","0,02","0,00"
ROIC,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
ROIC *,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Giro do ativo,"0,24","0,23","0,23","0,24","0,23","0,19","0,20","0,21","0,23","0,28","0,30","0,27","0,22","0,20","0,18","0,20","0,18","0,00"
EBIT *,--,--,--,--,--,1.029 mi,--,--,--,--,--,--,--,--,--,--,--,--
EBITDA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EBITDA *,--,--,--,--,--,1.424 mi,--,--,--,--,--,--,--,--,--,--,--,--
Liquidez corrente,--,--,--,--,--,"1,20","1,71","1,70","2,13","2,15","2,12","1,64","1,46","1,97","1,83","1,68","1,60","1,39"
Liquidez seca,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Liquidez imediata,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dívida bruta,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dívida líquida,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital de giro,--,--,--,--,--,919 mi,2.144 mi,2.368 mi,2.675 mi,2.823 mi,3.071 mi,2.796 mi,2.404 mi,4.389 mi,4.092 mi,2.703 mi,2.353 mi,1.489 mi
Endividamento geral,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
