Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"2,46 B","2,37 B","2,17 B","1,98 B","1,74 B","1,67 B","1,53 B","1,40 B","1,31 B","1,28 B","1,19 B","1,20 B","1,04 B","954,95 M","909,54 M","888,45 M","826,81 M","651,87 M","666,18 M","633,24 M","558,85 M","557,39 M","484,82 M","543,00 M","649,11 M","526,30 M","584,48 M","551,36 M","525,32 M","524,89 M","536,89 M","604,15 M","519,84 M","589,84 M","645,87 M","653,33 M","643,05 M","700,28 M","746,19 M","770,10 M","759,44 M","833,89 M","895,92 M","757,00 M","895,39 M","670,28 M","705,64 M","640,29 M","634,68 M","658,82 M","592,16 M","624,66 M","539,10 M","572,65 M","596,98 M","615,80 M","490,24 M","549,74 M","713,27 M","414,65 M","349,16 M","331,66 M","337,43 M","367,93 M","307,07 M"
Custos,"-1,44 B","-1,22 B","-1,08 B","-963,86 M","-1,02 B","-1,06 B","-618,92 M","-573,43 M","-536,03 M","-537,01 M","-577,94 M","-541,32 M","-476,07 M","-478,20 M","-456,70 M","-336,03 M","-362,79 M","-286,90 M","-273,31 M","-225,63 M","-160,14 M","-110,80 M","-114,30 M","-198,15 M","-331,20 M","-174,65 M","-255,09 M","-212,12 M","-245,53 M","-232,40 M","-269,73 M","-353,24 M","-252,35 M","-267,07 M","-391,59 M","-398,17 M","-412,97 M","-455,09 M","-500,33 M","-474,88 M","-495,11 M","-550,38 M","-678,49 M","-432,40 M","-685,46 M","-540,87 M","-563,80 M","-493,00 M","-502,32 M","-464,97 M","-490,24 M","-485,63 M","-357,69 M","-356,74 M","-405,95 M","-424,92 M","-344,45 M","-338,85 M","-483,75 M","-298,87 M","-252,06 M","-201,66 M","-212,90 M","-220,55 M","-214,42 M"
Lucro bruto,"1,02 B","1,15 B","1,09 B","1,01 B","720,43 M","614,83 M","907,30 M","830,83 M","775,80 M","744,49 M","611,82 M","658,33 M","560,62 M","476,75 M","452,85 M","552,42 M","464,02 M","364,97 M","392,87 M","407,61 M","398,71 M","446,59 M","370,52 M","344,86 M","317,91 M","351,66 M","329,38 M","339,24 M","279,79 M","292,49 M","267,16 M","250,91 M","267,49 M","322,76 M","254,28 M","255,16 M","230,08 M","245,19 M","245,86 M","295,22 M","264,33 M","283,51 M","217,43 M","324,60 M","209,93 M","129,41 M","141,84 M","147,29 M","132,37 M","193,85 M","101,92 M","139,04 M","181,41 M","215,91 M","191,04 M","190,88 M","145,79 M","210,89 M","229,52 M","115,78 M","97,11 M","130,00 M","124,53 M","147,38 M","92,66 M"
Despesas operacionais,"-663,70 M","-1,87 B","-759,23 M","-711,00 M","-625,90 M","-730,20 M","-643,22 M","-617,09 M","-562,72 M","-547,98 M","-503,23 M","-545,87 M","-485,28 M","-415,66 M","-440,73 M","-442,93 M","-383,34 M","-423,52 M","-320,78 M","-334,93 M","-324,54 M","-390,06 M","-323,84 M","-287,91 M","-251,86 M","-311,30 M","-276,57 M","-266,05 M","-234,96 M","-235,37 M","-231,84 M","-208,12 M","-228,50 M","-269,45 M","-238,29 M","-224,31 M","-222,59 M","-237,72 M","-252,37 M","-269,83 M","-239,49 M","-257,81 M","-224,49 M","-246,10 M","-204,93 M","-215,95 M","-189,69 M","-211,02 M","-198,46 M","-207,07 M","-181,03 M","-173,41 M","-163,97 M","-170,17 M","-163,75 M","-164,51 M","-132,65 M","-194,27 M","-201,65 M","-71,28 M","-101,06 M","-146,57 M","-115,07 M","-144,63 M","119,29 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Despesas administrativas,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"-127,13 M","-122,07 M","-126,76 M","-107,50 M","-128,85 M","-114,44 M","-115,27 M","-103,73 M","-100,39 M","-138,45 M","-100,12 M","-104,65 M","-96,65 M","-100,67 M","-99,43 M","-90,58 M","-90,28 M","-98,42 M","-96,11 M","-99,42 M","-96,34 M","-103,10 M","-93,56 M","-97,04 M","-91,01 M","-91,81 M","-87,62 M","-91,31 M","-83,87 M","-87,61 M","-81,51 M","-92,26 M","-95,77 M","-86,42 M","-81,60 M","-81,86 M","-80,50 M","-92,56 M","-78,56 M","-82,15 M","-72,56 M","-90,96 M","-72,56 M","-80,00 M","-69,20 M","-72,63 M","-66,53 M","-67,83 M","-129,56 M"
EBIT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"64,17 M","-68,57 M","63,62 M","64,16 M","85,96 M","56,53 M","46,68 M","56,95 M","66,05 M","40,36 M","52,81 M","73,19 M","44,82 M","57,12 M","35,32 M","42,79 M","38,99 M","53,31 M","16,00 M","30,84 M","7,48 M","7,48 M","-6,51 M","25,39 M","24,85 M","25,70 M","-7,06 M","78,50 M","5,00 M","-86,54 M","-47,85 M","-63,73 M","-66,09 M","-13,22 M","-79,11 M","-34,37 M","17,44 M","45,74 M","27,29 M","26,37 M","13,14 M","16,62 M","27,86 M","44,50 M","-3,96 M","-16,58 M","9,46 M","2,74 M","211,94 M"
Resultado financeiro,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"780,00 Mil","-6,84 M","13,62 M","3,69 M","-7,05 M","-2,21 M","-1,00 M","-6,39 M","-6,44 M","-69,61 M","-12,72 M","-26,08 M","-5,62 M","-24,84 M","-10,14 M","-27,28 M","-2,36 M","-12,07 M","-14,95 M","-13,90 M","-8,83 M","-9,20 M","4,97 M","-16,24 M","-2,64 M","-7,16 M","-46,94 M","-3,83 M","2,22 M","-159,00 Mil","-3,65 M","-26,62 M","-4,30 M","60,75 M","-1,06 M","32,84 M","-8,68 M","-22,58 M","-6,23 M","-2,16 M","817,00 Mil","180,00 Mil","316,00 Mil","-16,81 M","689,00 Mil","11,70 M","-469,00 Mil","-2,03 M","-10,92 M"
Antes dos impostos,"358,06 M","-719,27 M","326,28 M","301,40 M","94,53 M","-115,37 M","264,08 M","213,73 M","213,08 M","196,51 M","108,59 M","112,45 M","75,34 M","61,09 M","12,12 M","109,49 M","80,68 M","-58,55 M","72,09 M","72,69 M","74,17 M","54,32 M","45,68 M","50,55 M","59,62 M","-29,25 M","40,09 M","47,11 M","39,21 M","32,29 M","25,18 M","15,51 M","36,63 M","41,24 M","1,04 M","16,95 M","-1,34 M","-1,73 M","-1,54 M","9,15 M","22,21 M","18,54 M","-54,01 M","74,67 M","7,22 M","-86,70 M","-51,50 M","-90,35 M","-70,39 M","47,53 M","-80,17 M","-1,53 M","8,77 M","23,16 M","21,06 M","24,21 M","13,96 M","16,80 M","28,18 M","27,70 M","-3,27 M","-4,88 M","8,99 M","714,00 Mil","201,02 M"
