Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,4T2016
Ativo total,"51,39 B","49,78 B","49,89 B","49,85 B","51,35 B",0,"47,40 B","47,29 B","48,20 B","46,67 B","47,00 B","47,28 B","46,51 B","47,01 B","45,79 B","43,17 B","37,00 B","36,93 B","36,44 B","33,79 B","31,58 B","30,42 B","27,28 B","24,69 B","21,97 B","20,61 B","19,89 B","19,17 B","18,34 B","18,45 B","18,46 B","17,76 B","17,95 B","18,09 B","18,18 B"
Ativo circulante,"20,77 B","20,30 B","21,40 B","16,62 B","25,89 B",0,"16,11 B","17,70 B","18,37 B","17,91 B","22,63 B","18,43 B","20,24 B","21,01 B","20,53 B","17,98 B","13,15 B","12,15 B","13,85 B","10,16 B","9,96 B","9,89 B","10,00 B","10,02 B","9,22 B","10,98 B","10,95 B","10,39 B","9,49 B","10,01 B","10,65 B","10,50 B","9,79 B","10,05 B","9,23 B"
Caixa e eq. de caixa,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Aplicações financeiras,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Contas a receber,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Estoques,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ativos biológicos,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ativo não circulante,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Investimentos,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Imobilizado,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Intangível,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Passivo total,"51,39 B","49,78 B","49,89 B","49,85 B","51,35 B",0,"47,40 B","47,29 B","48,20 B","46,67 B","47,00 B","47,28 B","46,51 B","47,01 B","45,79 B","43,17 B","37,00 B","36,93 B","36,44 B","33,79 B","31,58 B","30,42 B","27,28 B","24,69 B","21,97 B","20,61 B","19,89 B","19,17 B","18,34 B","18,45 B","18,46 B","17,76 B","17,95 B","18,09 B","18,18 B"
Passivo circulante,"25,00 B","21,39 B","20,18 B","19,34 B","44,40 B",0,"20,63 B","21,03 B","24,14 B","24,81 B","23,51 B","21,25 B","19,12 B","18,85 B","19,86 B","19,95 B","16,20 B","17,82 B","17,59 B","14,82 B","13,81 B","12,91 B","11,33 B","9,95 B","8,52 B","8,10 B","8,30 B","6,44 B","6,24 B","6,81 B","6,34 B","6,27 B","7,52 B","6,46 B","7,86 B"
Fornecedores,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Empréstimos e financ.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Passivo não circulante,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Emprést. de longo prazo,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Patrimônio líquido,"4,24 B","3,89 B","3,85 B","3,73 B","3,65 B",0,"4,26 B","4,12 B","3,99 B","3,93 B","3,90 B","3,84 B","3,90 B","3,94 B","3,84 B","3,84 B","3,86 B","3,86 B","3,92 B","4,05 B","4,04 B","4,13 B","4,06 B","4,04 B","3,97 B","4,03 B","2,73 B","2,70 B","2,67 B","2,64 B","2,76 B","2,70 B","2,63 B","2,57 B","2,60 B"
Aos não controladores,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
