Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017
Receita líquida,"2,15 B","2,15 B","2,13 B","2,41 B","2,19 B","7,66 B","1,80 B","1,97 B",0,"1,78 B","1,85 B","1,84 B","1,83 B","1,66 B","1,72 B","1,54 B","1,33 B","1,36 B","1,15 B","1,08 B","1,07 B","1,08 B","1,00 B","985,73 M","960,24 M","958,01 M","923,78 M","890,04 M","841,83 M","839,16 M","816,71 M","796,14 M","766,12 M","725,34 M","740,16 M","682,39 M","617,72 M"
Custos,"-1,63 B","-1,73 B","-1,60 B","-1,80 B","-1,67 B","-5,83 B","-1,34 B","-1,41 B",0,"-1,34 B","-1,47 B","-1,53 B","-1,50 B","-1,29 B","-1,35 B","-1,15 B","-859,57 M","-942,42 M","-708,83 M","-531,38 M","-581,06 M","-461,01 M","-483,42 M","-406,92 M","-538,54 M","-440,54 M","-508,35 M","-497,05 M","-443,64 M","-417,18 M","-467,70 M","-512,57 M","-461,93 M","-480,85 M","-442,11 M","-503,94 M","-487,33 M"
Lucro bruto,"522,47 M","420,42 M","529,12 M","608,75 M","521,48 M","1,83 B","460,56 M","559,42 M",0,"442,74 M","384,85 M","309,24 M","323,22 M","373,04 M","364,87 M","387,66 M","470,40 M","420,93 M","436,35 M","547,67 M","490,94 M","620,31 M","519,44 M","578,81 M","421,70 M","517,48 M","415,43 M","392,99 M","398,19 M","421,99 M","349,01 M","283,57 M","304,20 M","244,50 M","298,05 M","178,45 M","130,39 M"
Despesas operacionais,"-463,71 M","-388,00 M","-432,76 M","-493,84 M","-462,57 M","-1,52 B","-423,49 M","-387,41 M",0,"-355,01 M","-368,32 M","-448,66 M","-415,39 M","-394,76 M","-386,66 M","-412,10 M","-470,81 M","-411,88 M","-503,29 M","-497,50 M","-440,90 M","-509,82 M","-405,18 M","-424,17 M","-376,59 M","-673,78 M","-342,02 M","-319,87 M","-299,85 M","-270,29 M","-271,83 M","-220,09 M","-243,87 M","-297,48 M","-281,33 M","-218,76 M","-166,19 M"
Despesas com vendas,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Despesas administrativas,"-106,22 M","-103,45 M","-97,05 M","-96,44 M","-94,78 M","-226,67 M","-107,89 M","-110,36 M","-109,80 M","-81,53 M","-78,69 M","-83,88 M","-81,26 M","-87,03 M","-81,16 M","-86,23 M","-77,72 M","-76,05 M","-70,58 M","-64,72 M","-61,78 M","-66,06 M","-64,81 M","-64,41 M","-61,68 M","-52,32 M","-45,84 M","-47,01 M","-43,74 M","-45,10 M","-42,99 M","-40,56 M","-37,33 M","-48,02 M","-38,84 M","-38,90 M","-38,16 M"
EBIT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado operacional,"58,76 M","32,41 M","96,36 M","114,92 M","58,92 M","314,66 M","37,07 M","172,01 M",0,"87,73 M","16,54 M","-139,42 M","-92,17 M","-21,72 M","-21,79 M","-24,44 M","-407,00 Mil","9,06 M","-66,94 M","50,17 M","50,04 M","110,49 M","114,27 M","154,63 M","45,11 M","-156,31 M","73,41 M","73,13 M","98,34 M","151,69 M","77,18 M","63,48 M","60,33 M","-52,98 M","16,71 M","-40,31 M","-35,80 M"
Resultado financeiro,"-5,00 Mil","-17,05 M","46,00 Mil","-71,00 Mil","208,00 Mil","85,23 M","84,89 M","89,00 Mil",0,"327,00 Mil","323,00 Mil","-535,00 Mil","-132,00 Mil","-1,37 M","1,01 M","45,00 Mil","72,00 Mil","3,26 M","-49,00 Mil","-5,98 M","30,68 M","5,00 Mil","430,00 Mil","513,00 Mil","-45,00 Mil","-560,00 Mil","113,00 Mil","302,00 Mil","-350,00 Mil","-1,16 M","219,00 Mil","-10,01 M","2,66 M","-971,00 Mil","-2,03 M","23,49 M","36,29 M"
Antes dos impostos,"58,75 M","15,36 M","96,41 M","114,84 M","59,13 M","399,89 M","121,96 M","172,10 M",0,"88,05 M","16,86 M","-139,95 M","-92,30 M","-23,09 M","-20,78 M","-24,39 M","-335,00 Mil","12,32 M","-66,99 M","44,19 M","80,71 M","110,50 M","114,70 M","155,15 M","45,06 M","-156,87 M","73,52 M","73,43 M","97,99 M","150,53 M","77,40 M","53,47 M","62,99 M","-53,95 M","14,68 M","-16,83 M","491,00 Mil"
Imposto,0,"31,14 M","26,44 M","43,52 M","42,87 M","142,46 M","39,72 M","-24,14 M",0,"43,39 M","98,00 M","136,39 M","125,72 M","114,93 M","99,55 M","80,11 M","64,71 M","40,59 M","136,53 M","44,27 M","20,55 M","62,83 M","-5,43 M","-48,58 M","40,56 M","345,97 M","2,54 M","-6,53 M","-13,19 M","-13,58 M","2,47 M","-14,20 M","-3,17 M","27,87 M","11,64 M","-35,10 M","13,10 M"
Op. continuadas,"144,07 M","169,91 M","147,03 M","132,97 M","137,40 M","-7,83 M","69,07 M","115,48 M","102,62 M","107,02 M","94,35 M","45,98 M","39,87 M","55,57 M","1,70 M","-83,00 Mil","8,16 M","686,00 Mil","28,33 M","89,03 M","54,12 M","60,75 M","93,34 M","96,22 M","59,77 M","161,84 M","75,34 M","76,56 M","76,07 M","57,96 M","83,84 M","46,83 M","31,22 M","-562,00 Mil","-37,68 M","44,72 M","5,70 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
