Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"633,49 M","626,68 M","654,12 M","613,10 M","542,39 M",0,"412,30 M","328,91 M","266,30 M","260,45 M","258,65 M","258,25 M","241,19 M","250,03 M","272,69 M","298,09 M","323,14 M","322,73 M","236,58 M","226,26 M","203,15 M","206,56 M","206,48 M","238,25 M","195,03 M","176,94 M","201,63 M","181,85 M","164,18 M","166,43 M","173,49 M","174,64 M","185,05 M","103,23 M","88,48 M","88,69 M","286,88 M","284,87 M","273,81 M","269,01 M","265,47 M","75,49 M","76,10 M","76,13 M","76,82 M","79,07 M","83,59 M","86,18 M","92,38 M","101,37 M","117,98 M","129,60 M","194,89 M","248,57 M","333,58 M","433,74 M","530,88 M","628,89 M","789,23 M","906,59 M","1,12 B","1,27 B","1,84 B"
Ativo circulante,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"98,44 M","99,92 M","84,99 M","59,16 M","52,25 M","55,43 M","54,64 M","53,84 M","64,26 M","56,90 M","72,87 M","49,35 M","45,79 M","69,87 M","41,82 M","41,43 M","36,46 M","31,48 M","35,62 M","51,57 M","46,80 M","51,21 M","47,05 M","49,26 M","51,41 M","54,26 M","51,61 M","49,71 M","50,96 M","55,33 M","65,39 M","75,10 M","81,20 M","90,25 M","107,20 M","118,84 M","184,22 M","234,41 M","311,79 M","399,10 M","486,91 M","599,25 M","759,27 M","873,55 M","1,07 B","226,60 M","336,69 M"
Caixa e eq. de caixa,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Aplicações financeiras,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Contas a receber,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Estoques,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ativos biológicos,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ativo não circulante,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Investimentos,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Imobilizado,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
