Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"7,59","8,35","10,65","9,46","4,85","19,45","32,54","23,34","15,13","-4,63","12,36","14,45","15,47","29,71","13,68","19,51","40,15","26,19"
P/VP,"0,59","0,61",--,"0,52","0,36","0,51","0,64","0,42","0,52","1,07","0,62","0,96","0,92","1,11","1,33","2,00","2,18","2,35"
P/EBIT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/EBIT *,--,--,--,--,--,"8,66",--,--,--,--,--,--,--,--,--,--,--,--
PSR,"1,21","1,21","1,94","1,94","1,14","3,54","7,12","3,97","4,27","3,14","5,15","4,78","5,38","4,67","1,59","0,90","0,63","0,69"
P/Ativos,"0,14","0,14",--,"0,26","0,19","0,20","0,39","0,29","0,38","0,58","0,57","0,78","0,68","0,62","0,30","0,17","0,08","0,06"
LPA,"2,35","2,15","1,49","1,51","2,02","0,70","0,51","0,46","0,86","-2,68","2,71","0,84","0,72","0,44","1,13","1,11","0,55","0,88"
VPA,"30,06","29,47","0,00","27,49","27,38","26,66","25,93","25,51","24,67","11,64","53,93","12,61","12,14","11,74","11,58","10,84","10,11","9,84"
EBIT por ação,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EBIT por ação *,--,--,--,--,--,"1,57",--,--,--,--,--,--,--,--,--,--,--,--
Ativo por ação,"131,29","129,88","0,00","53,98","51,82","66,88","42,81","36,67","34,49","21,39","59,04","15,65","16,39","21,01","51,51","130,33","263,01","381,19"
Receita líquida por ação,"14,76","14,86","8,18","7,33","8,59","3,84","2,32","2,71","3,03","3,96","6,51","2,54","2,08","2,80","9,67","24,15","34,99","33,34"
Margem bruta,"-0,28%","6,48%","45,53%","59,71%","53,40%","67,46%","81,20%","77,36%","79,44%","83,34%","97,44%","79,24%","72,39%","46,71%","28,80%","11,97%","5,90%","7,52%"
Margem líquida,"15,93%","14,50%","18,21%","20,53%","23,54%","18,22%","21,89%","17,01%","28,20%","-67,75%","41,66%","33,08%","34,77%","15,71%","11,64%","4,60%","1,57%","2,65%"
Margem EBIT,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBIT *,--%,--%,--%,--%,--%,"40,93%",--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA *,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem operacional,"17,50%","14,97%","29,65%","34,04%","31,05%","31,59%","37,26%","19,73%","50,87%","-119,18%","66,93%","43,83%","48,89%","19,26%","16,56%","6,58%","2,06%","3,74%"
ROE,"7,82%","7,31%",--%,"5,48%","7,39%","2,62%","1,96%","1,81%","3,47%","-23,03%","5,03%","6,67%","5,97%","3,75%","9,72%","10,25%","5,42%","8,97%"
ROA,"0,02","0,02",--,"0,03","0,04","0,01","0,01","0,01","0,02","-0,13","0,05","0,05","0,04","0,02","0,02","0,01","0,00","0,00"
ROIC,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
ROIC *,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Giro do ativo,"0,11","0,11",--,"0,14","0,17","0,06","0,05","0,07","0,09","0,18","0,11","0,16","0,13","0,13","0,19","0,19","0,13","0,09"
EBIT *,--,--,--,--,--,7 mi,--,--,--,--,--,--,--,--,--,--,--,--
EBITDA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EBITDA *,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Liquidez corrente,--,--,--,--,--,"1,28","1,21","8,52","4,66","1,92","3,35","23,76","7,90","3,71","1,81","1,86","0,57","2,03"
Liquidez seca,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Liquidez imediata,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dívida bruta,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dívida líquida,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital de giro,--,--,--,--,--,22 mi,9 mi,50 mi,54 mi,15 mi,35 mi,51 mi,48 mi,65 mi,105 mi,277 mi,-170 mi,171 mi
Endividamento geral,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
