Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"14,27 M","20,90 M","19,29 M","16,77 M","14,74 M","39,47 M","11,61 M","8,46 M",0,"8,33 M","9,23 M","9,21 M","8,62 M","9,72 M","11,32 M","11,94 M","8,47 M","9,21 M","4,13 M","2,69 M","2,50 M","2,64 M","3,31 M","2,30 M","2,96 M","3,34 M","4,03 M","2,82 M","2,90 M","4,04 M","3,75 M","3,50 M","3,33 M","2,36 M","2,25 M","6,19 M","8,29 M","8,78 M","9,20 M","8,83 M","4,61 M","2,74 M","3,00 M","3,16 M","3,37 M","2,95 M","2,54 M","2,22 M","2,33 M","2,56 M","2,89 M","3,42 M","4,65 M","6,29 M","9,75 M","13,39 M","17,22 M","21,98 M","28,38 M","31,49 M","34,66 M","37,78 M","43,76 M","46,88 M","40,39 M"
Custos,"-16,22 M","-21,47 M","-18,88 M","-14,85 M","-11,84 M","-21,50 M","-6,50 M","-3,94 M",0,"-3,36 M","-3,99 M","-3,57 M","-3,34 M","-4,08 M","-5,49 M","-5,11 M","-4,64 M","-3,92 M","-1,15 M","-530,00 Mil","-429,00 Mil","-344,00 Mil","-542,00 Mil","-606,00 Mil","-616,00 Mil","-700,00 Mil","-1,09 M","-599,00 Mil","-577,00 Mil","-469,00 Mil","-800,00 Mil","-932,00 Mil","-809,00 Mil","-507,00 Mil","-574,00 Mil","-1,96 M","-135,00 Mil","-141,00 Mil","-150,00 Mil","-253,00 Mil","-259,00 Mil","-282,00 Mil","-952,00 Mil","-841,00 Mil","-473,00 Mil","-624,00 Mil","-657,00 Mil","-646,00 Mil","-847,00 Mil","-1,21 M","-1,38 M","-1,82 M","-2,80 M","-3,93 M","-6,53 M","-9,31 M","-13,44 M","-18,46 M","-24,93 M","-28,09 M","-31,08 M","-35,58 M","-41,30 M","-44,24 M","-37,74 M"
Lucro bruto,"-1,95 M","-571,00 Mil","402,00 Mil","1,92 M","2,90 M","17,97 M","5,10 M","4,52 M",0,"4,97 M","5,24 M","5,64 M","5,28 M","5,64 M","5,83 M","6,83 M","3,83 M","5,29 M","2,98 M","2,16 M","2,07 M","2,30 M","2,77 M","1,69 M","2,34 M","2,64 M","2,94 M","2,22 M","2,33 M","3,58 M","2,95 M","2,57 M","2,52 M","1,85 M","1,67 M","4,22 M","8,15 M","8,63 M","9,05 M","8,57 M","4,35 M","2,46 M","2,05 M","2,32 M","2,90 M","2,33 M","1,89 M","1,58 M","1,48 M","1,35 M","1,51 M","1,59 M","1,85 M","2,35 M","3,23 M","4,08 M","3,77 M","3,52 M","3,44 M","3,40 M","3,58 M","2,20 M","2,46 M","2,64 M","2,65 M"
Despesas operacionais,"8,92 M","-2,06 M","3,63 M","2,17 M","2,35 M","-6,27 M","-1,71 M","-1,72 M",0,"-2,49 M","-1,58 M","-1,84 M","-3,17 M","-2,81 M","-2,40 M","-2,65 M","-1,41 M","-2,87 M","-1,84 M","-152,00 Mil","-1,69 M","290,00 Mil","-1,77 M","-2,02 M","-1,43 M","-1,99 M","-1,45 M","-1,57 M","-2,54 M","-2,15 M","-1,65 M","161,00 Mil","-536,00 Mil","-2,38 M","-2,26 M","-30,96 M","-3,06 M","-2,56 M","-1,29 M","-1,62 M","-4,12 M","-1,29 M","-1,40 M","-807,00 Mil","-845,00 Mil","-703,00 Mil","-797,00 Mil","-384,00 Mil","-477,00 Mil","-493,00 Mil","-1,66 M","-644,00 Mil","-916,00 Mil","-995,00 Mil","-1,52 M","-1,34 M","-1,85 M","-1,66 M","-1,39 M","-1,55 M","-1,65 M","-1,55 M","-1,14 M","-1,92 M","-1,88 M"
Despesas com vendas,0,0,0,0,0,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Despesas administrativas,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"-1,20 M","-1,36 M","-1,14 M","-1,35 M","-1,07 M","-1,34 M","-1,13 M","-1,23 M","-1,31 M","-2,25 M","-1,54 M","-1,68 M","-1,67 M","-1,49 M","-1,42 M","-1,56 M","-1,67 M","-1,04 M","-1,06 M","-788,00 Mil","-1,30 M","-1,32 M","-438,00 Mil","-148,00 Mil","-94,00 Mil","-94,00 Mil","-94,00 Mil","-93,00 Mil","-93,00 Mil","-93,00 Mil","-91,00 Mil","-86,00 Mil","-86,00 Mil","-88,00 Mil","-90,00 Mil","-89,00 Mil","-89,00 Mil","-146,00 Mil","-145,00 Mil","-71,00 Mil","-144,00 Mil","-151,00 Mil","-146,00 Mil","-146,00 Mil","-146,00 Mil","-98,00 Mil","-82,00 Mil","-80,00 Mil","-82,00 Mil"
EBIT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,60 M","2,74 M","1,26 M","2,20 M","383,00 Mil","2,59 M","1,00 M","-330,00 Mil","917,00 Mil","652,00 Mil","1,49 M","648,00 Mil","-211,00 Mil","1,42 M","1,29 M","2,73 M","1,99 M","-524,00 Mil","-584,00 Mil","-26,73 M","5,10 M","6,08 M","7,77 M","6,95 M","234,00 Mil","1,16 M","648,00 Mil","1,51 M","2,05 M","1,62 M","1,09 M","1,19 M","1,00 M","858,00 Mil","-143,00 Mil","950,00 Mil","938,00 Mil","1,36 M","1,71 M","2,74 M","1,92 M","1,85 M","2,05 M","1,85 M","1,93 M","653,00 Mil","1,32 M","717,00 Mil","776,00 Mil"
Resultado financeiro,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,"3,00 Mil",0,0,"5,00 Mil",0,0,0,0,0,0,0,0,"4,00 Mil",0,"-1,00 Mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,00 Mil",0,0,0,0,0,"-17,00 Mil","1,00 Mil",0,0,"-2,00 Mil","2,00 Mil"
Antes dos impostos,"6,97 M","-2,63 M","4,03 M","4,09 M","5,24 M","11,70 M","3,40 M","2,80 M",0,"2,48 M","3,66 M","3,80 M","2,10 M","2,83 M","3,43 M","4,18 M","2,43 M","2,42 M","1,14 M","2,01 M","388,00 Mil","2,59 M","1,00 M","-330,00 Mil","917,00 Mil","652,00 Mil","1,49 M","648,00 Mil","-211,00 Mil","1,43 M","1,29 M","2,73 M","1,99 M","-524,00 Mil","-584,00 Mil","-26,73 M","5,10 M","6,08 M","7,77 M","6,95 M","234,00 Mil","1,16 M","648,00 Mil","1,51 M","2,05 M","1,62 M","1,09 M","1,19 M","1,00 M","858,00 Mil","-143,00 Mil","950,00 Mil","938,00 Mil","1,36 M","1,71 M","2,74 M","1,92 M","1,85 M","2,05 M","1,83 M","1,93 M","653,00 Mil","1,32 M","715,00 Mil","778,00 Mil"
Imposto,"-3,27 M","6,16 M","-2,08 M","-1,93 M","-2,49 M","-4,51 M","-548,00 Mil","-1,28 M",0,"-244,00 Mil","-1,71 M","-1,76 M","-1,07 M","1,73 M","-1,69 M","-2,00 M","-1,15 M","-990,00 Mil","-588,00 Mil","-761,00 Mil","-139,00 Mil","-672,00 Mil","-406,00 Mil","-75,00 Mil","-402,00 Mil","532,00 Mil","-583,00 Mil","-231,00 Mil","82,00 Mil","10,00 Mil","-545,00 Mil","-1,06 M","-866,00 Mil","-96,00 Mil","264,00 Mil","11,97 M","-2,27 M","-937,00 Mil","-3,49 M","-3,07 M","-161,00 Mil","-137,00 Mil","-159,00 Mil","-307,00 Mil","-715,00 Mil","-317,00 Mil","-540,00 Mil","-166,00 Mil","-395,00 Mil","-94,00 Mil","63,00 Mil","-80,00 Mil","-369,00 Mil","-194,00 Mil","-669,00 Mil","-668,00 Mil","-763,00 Mil","-360,00 Mil","-813,00 Mil","-371,00 Mil","-766,00 Mil","36,00 Mil","-522,00 Mil","-35,00 Mil","-305,00 Mil"
Op. continuadas,"3,70 M","3,53 M","1,95 M","2,17 M","2,75 M","7,19 M","2,85 M","1,51 M",0,"2,24 M","1,95 M","2,05 M","1,03 M","4,56 M","1,74 M","2,18 M","1,28 M","1,43 M","553,00 Mil","1,25 M",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
