Conta,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"895,72 M","878,14 M","859,20 M","829,64 M","921,92 M","882,40 M","846,71 M","826,46 M","900,80 M","850,71 M","878,00 M","864,39 M","904,49 M","864,84 M","839,66 M","852,33 M","883,83 M","847,87 M","647,83 M","674,95 M","665,95 M","697,67 M","679,55 M","657,59 M","593,77 M","608,42 M","604,80 M","677,50 M","635,64 M","636,18 M","622,05 M","685,37 M","676,55 M","621,09 M","592,25 M","711,11 M","640,23 M","687,39 M","710,03 M","701,47 M","792,50 M","798,33 M","814,91 M","754,98 M","794,26 M","741,27 M","699,90 M","710,60 M","721,48 M","715,35 M","727,96 M","719,92 M","698,87 M","707,37 M","694,62 M","685,23 M","718,98 M","703,87 M","650,14 M","624,36 M","635,17 M"
Ativo circulante,"441,99 M","429,59 M","417,82 M","381,11 M","497,14 M","471,45 M","431,53 M","400,69 M","438,03 M","402,10 M","444,67 M","412,73 M","426,31 M","407,05 M","377,28 M","373,72 M","348,73 M","312,54 M","252,57 M","282,85 M","267,16 M","304,58 M","291,98 M","270,19 M","245,61 M","251,70 M","248,87 M","280,60 M","273,78 M","274,58 M","257,06 M","321,21 M","300,42 M","251,64 M","231,25 M","256,71 M","258,58 M","302,56 M","317,18 M","296,33 M","341,60 M","365,44 M","406,50 M","377,32 M","416,03 M","366,48 M","328,10 M","343,92 M","359,37 M","336,75 M","336,17 M","329,91 M","293,05 M","296,16 M","283,70 M","272,48 M","281,20 M","249,17 M","223,03 M","246,49 M","258,36 M"
Caixa e eq. de caixa,"20,93 M","27,34 M","57,84 M","36,40 M","102,43 M","63,82 M","40,10 M","17,51 M","38,21 M","36,19 M","80,76 M","15,89 M","39,63 M","8,51 M","20,78 M","20,54 M","14,50 M","9,78 M","2,94 M","13,85 M","10,69 M","20,26 M","15,84 M","13,24 M","9,48 M","12,43 M","12,70 M","13,92 M","7,85 M","11,17 M","17,89 M","16,78 M","26,36 M","38,84 M","41,20 M","10,16 M","15,81 M","17,90 M","20,76 M","17,94 M","10,50 M","9,56 M","45,72 M","52,67 M","72,89 M","26,23 M","23,68 M","26,67 M","27,70 M","24,22 M","13,16 M","30,22 M","28,97 M","46,55 M","47,34 M","22,20 M","49,11 M","29,83 M","40,69 M","49,53 M","20,52 M"
Aplicações financeiras,"1,31 M","1,31 M","1,35 M","13,89 M","13,61 M","3,48 M","8,10 M","13,50 M","18,60 M","11,74 M","14,06 M","16,80 M","19,77 M","16,51 M","17,92 M","17,50 M","14,83 M","8,36 M","7,58 M","7,02 M","5,94 M","5,65 M","3,46 M","5,27 M","5,17 M","5,41 M","5,27 M","9,31 M","23,79 M","20,88 M","10,30 M","8,43 M",0,0,0,"1,63 M",0,0,0,0,0,0,0,0,0,0,0,0,"4,97 M","4,95 M","10,20 M","8,42 M","11,99 M","15,38 M","8,63 M","17,94 M","8,29 M","8,05 M","7,68 M","16,91 M","16,80 M"
Contas a receber,"244,58 M","221,96 M","207,41 M","198,45 M","242,61 M","237,72 M","223,98 M","199,63 M","204,68 M","173,43 M","185,65 M","230,07 M","193,97 M","201,68 M","182,04 M","185,08 M","165,99 M","165,01 M","138,57 M","161,03 M","142,42 M","155,31 M","167,27 M","188,54 M","146,31 M","149,18 M","149,26 M","169,10 M","151,73 M","165,49 M","132,52 M","210,19 M","192,45 M","133,32 M","115,25 M","164,73 M","145,89 M","210,19 M","203,69 M","190,10 M","245,09 M","253,39 M","245,37 M","206,04 M","239,33 M","240,30 M","232,83 M","253,09 M","254,57 M","237,06 M","221,93 M","180,08 M","160,49 M","142,38 M","143,13 M","145,36 M","130,80 M","123,34 M","106,46 M","103,72 M","158,67 M"
Estoques,"159,70 M","155,74 M","135,63 M","119,56 M","121,83 M","126,81 M","100,38 M","91,63 M","108,18 M","110,19 M","98,02 M","87,67 M","112,05 M","108,60 M","91,46 M","89,77 M","97,26 M","86,50 M","91,35 M","91,11 M","85,90 M","87,75 M","65,58 M","54,48 M","75,28 M","76,33 M","72,31 M","78,09 M","75,08 M","60,75 M","74,11 M","57,86 M","63,48 M","71,09 M","54,61 M","52,58 M","83,12 M","60,25 M","78,06 M","77,76 M","52,67 M","68,93 M","74,60 M","86,56 M","60,27 M","66,49 M","45,41 M","38,58 M","49,25 M","54,75 M","80,19 M","95,61 M","79,80 M","84,57 M","79,34 M","82,03 M","87,54 M","76,19 M","59,34 M","64,49 M","47,11 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"453,73 M","448,55 M","441,37 M","448,53 M","424,78 M","410,95 M","415,18 M","425,77 M","462,77 M","448,61 M","433,33 M","451,66 M","478,19 M","457,79 M","462,38 M","478,61 M","535,10 M","535,33 M","395,26 M","392,10 M","398,80 M","393,08 M","387,57 M","387,40 M","348,17 M","356,72 M","355,94 M","396,90 M","361,86 M","361,61 M","364,98 M","364,15 M","376,13 M","369,45 M","361,00 M","454,40 M","381,65 M","384,83 M","392,86 M","405,15 M","450,90 M","432,90 M","408,42 M","377,67 M","378,23 M","374,79 M","371,81 M","366,68 M","362,11 M","378,60 M","391,79 M","390,01 M","405,81 M","411,21 M","410,92 M","412,75 M","437,77 M","454,70 M","427,11 M","377,86 M","376,81 M"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"829,00 Mil","829,00 Mil",0,0,0
Imobilizado,"287,17 M","286,58 M","285,24 M","287,67 M","271,39 M","271,01 M","268,22 M","270,85 M","272,69 M","274,27 M","269,06 M","269,65 M","265,24 M","265,64 M","267,00 M","270,46 M","269,10 M","272,00 M","272,12 M","272,36 M","269,94 M","271,69 M","269,68 M","270,72 M","273,03 M","276,23 M","278,90 M","283,51 M","295,05 M","298,37 M","302,16 M","305,54 M","305,23 M","308,92 M","313,46 M","318,18 M","317,17 M","322,23 M","328,85 M","337,40 M","344,81 M","347,52 M","336,52 M","330,13 M","323,57 M","318,04 M","315,41 M","309,83 M","305,94 M","308,72 M","307,40 M","308,34 M","309,79 M","313,49 M","314,00 M","316,89 M","316,00 M","313,14 M","310,30 M","309,43 M","297,47 M"
