Conta,3T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"-0,20","-0,29","5,98","13,84","5,76","15,58","-8,62","8,43","12,10","-18,94","-1,11","-9,79","-9,50","-84,83","-111,49","82,79","6,36"
P/VP,"-0,20","-0,28","-10,79","-2,01","-2,16","-2,54","-1,22","-2,45","-10,46","-1,86","-1,69","-9,34","-11,82","-105,48","-51,34","-41,69","-17,62"
P/EBIT,"1,41","1,65","2,72","1,98","2,92","4,85","5,72","-125,45","8,59","35,07","-3,95","8,23","39,56","45,04","36,82","71,37","9,09"
P/EBIT *,"1,98","2,25","2,89","2,08","17,32","5,74","3,51","11,20","14,21","7,41","-5,92","9,85","20,90","28,50","42,17","51,32","20,78"
PSR,"0,18","0,28","0,42","0,21","0,34","0,54","0,33","0,61","1,40","0,46","0,38","0,49","1,26","2,04","2,46","3,11","2,95"
P/Ativos,"0,35","0,54","0,72","0,36","0,45","0,92","0,53","0,87","2,24","0,71","0,59","0,75","2,06","2,79","3,04","4,01","3,87"
LPA,"-6,08","-5,96","0,38","0,09","0,26","0,15","-0,16","0,27","0,49","-0,10","-1,45","-0,22","-0,59","-0,09","-0,07","0,12","1,48"
VPA,"-6,08","-6,17","-0,21","-0,60","-0,68","-0,94","-1,09","-0,93","-0,56","-1,05","-0,95","-0,23","-0,48","-0,07","-0,16","-0,23","-0,54"
EBIT por ação,"0,85","1,03","0,85","0,61","0,51","0,49","0,23","-0,02","0,69","0,06","-0,41","0,26","0,14","0,17","0,22","0,13","1,04"
EBIT por ação *,"0,61","0,76","0,79","0,58","0,09","0,42","0,38","0,20","0,41","0,26","-0,27","0,22","0,27","0,27","0,19","0,19","0,45"
Ativo por ação,"3,44","3,18","3,17","3,32","3,27","2,59","2,52","2,60","2,63","2,73","2,69","2,90","2,73","2,76","2,63","2,40","2,44"
Receita líquida por ação,"6,50","6,13","5,45","5,65","4,37","4,43","4,07","3,74","4,21","4,21","4,19","4,42","4,45","3,78","3,25","3,09","3,20"
