Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"14,25","4,72","4,01","1,79","0,89","7,05","-11,46","3,77","1,88","4,48","-0,30","13,94","-49,85","6,79","2,21","3,01","5,53"
P/VP,"1,02","0,66","0,97","0,89","0,95","0,92","0,48","0,45","0,50","0,36","0,10","0,16","0,26","0,36","0,51","0,78","0,95"
P/EBIT,"16,52","4,96","4,15","1,83","0,89","7,08","-11,11","3,63","1,68","3,60","-0,31","24,57","121,38","5,70","2,06","2,87","3,95"
P/EBIT *,"-225,68","-214,15","-354,84","-325,51","-262,53","-573,52","-269,34","-170,35","-228,75","-185,83","-90,30","-189,88","-194,46","-263,09","-276,56","-326,25","5,56"
PSR,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,89"
P/Ativos,"0,97","0,65","0,96","0,83","0,95","0,92","0,46","0,42","0,39","0,27","0,08","0,13","0,22","0,30","0,42","0,62","0,44"
LPA,"1,39","3,03","4,82","9,48","20,55","3,73","-1,03","3,03","5,92","1,60","-6,59","0,26","-0,12","1,24","5,15","4,48","2,45"
VPA,"19,46","21,58","19,93","19,02","19,09","28,63","24,32","25,34","22,40","20,12","20,14","22,74","22,98","23,29","22,07","17,24","14,25"
EBIT por ação,"1,20","2,89","4,65","9,28","20,40","3,72","-1,06","3,14","6,64","1,99","-6,30","0,15","0,05","1,47","5,51","4,70","3,43"
EBIT por ação *,"-0,09","-0,07","-0,05","-0,05","-0,07","-0,05","-0,04","-0,07","-0,05","-0,04","-0,02","-0,02","-0,03","-0,03","-0,04","-0,04","2,43"
Ativo por ação,"20,35","21,90","20,07","20,51","19,22","28,74","25,71","27,05","28,80","26,14","24,66","26,96","27,62","27,73","27,32","21,67","30,77"
Receita líquida por ação,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","7,17"
Margem bruta,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,"42,78%"
