Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019
P/L,"34,71","21,09","28,39","16,42","30,25",-,-
P/VP,"7,76","5,08","5,36","3,00","5,46",-,-
P/EBIT,"288,31","177,37","397,39","34,63","41,01",-,-
P/EBIT *,"288,31","177,37","414,72","34,07","39,76",-,-
PSR,"19,00","11,20","17,85","9,62","18,50",-,-
P/Ativos,"0,35","0,27","0,41","0,31","1,38",-,-
LPA,"0,56","0,61","0,49","0,47","0,44",-,-
VPA,"2,49","2,55","2,61","2,55","2,44",-,-
EBIT por ação,"0,07","0,07","0,04","0,22","0,32",-,-
EBIT por ação *,"0,07","0,07","0,03","0,23","0,33",-,-
Ativo por ação,"55,50","47,80","34,11","24,99","9,68",-,-
Receita líquida por ação,"1,02","1,16","0,78","0,80","0,72",-,-
Margem bruta,"100,00%","100,00%","100,00%","100,00%","94,47%","90,79%","5,55%"
Margem líquida,"54,74%","53,09%","62,87%","58,60%","61,16%","46,88%","16,01%"
Margem EBIT,"6,59%","6,31%","4,49%","27,79%","45,11%","45,86%","21,61%"
Margem EBIT *,"6,59%","6,31%","4,30%","28,25%","46,53%","47,56%","22,34%"
Margem EBITDA,"9,98%","8,37%","7,22%","29,56%","45,75%","47,34%",--%
Margem EBITDA *,"9,98%","8,37%","7,03%","30,02%","47,16%","49,04%",--%
Margem operacional,"72,75%","65,63%","81,17%","92,50%","96,65%","70,55%","21,59%"
ROE,"22,35%","24,07%","18,89%","18,29%","18,06%","30,21%","24,90%"
ROA,"0,01","0,01","0,01","0,02","0,05","0,12","0,14"
ROIC,"12,80%","13,98%","10,04%","66,43%","238,57%","186,36%","1.667,53%"
ROIC *,"12,80%","13,98%","9,62%","67,52%","246,07%","193,29%","1.723,67%"
Giro do ativo,"0,02","0,02","0,02","0,03","0,07","0,25","0,87"
EBIT *,21 mi,23 mi,10 mi,70 mi,105 mi,90 mi,106 mi
EBITDA,31 mi,30 mi,17 mi,74 mi,103 mi,89 mi,--
EBITDA *,31 mi,30 mi,17 mi,75 mi,106 mi,92 mi,--
Liquidez corrente,"1,04","1,05","1,07","1,10","1,35","1,81","2,77"
Liquidez seca,"1,04","1,05","1,07","1,10","1,35","1,81","2,77"
Liquidez imediata,"0,01","0,04","0,03","0,01","0,04","0,12","0,30"
Dívida bruta,16.094 mi,13.693 mi,9.319 mi,6.775 mi,2.029 mi,306 mi,4 mi
Dívida líquida,-1.212 mi,-1.182 mi,-1.312 mi,-988 mi,-923 mi,-405 mi,-523 mi
Capital de giro,634 mi,651 mi,733 mi,717 mi,783 mi,330 mi,338 mi
Endividamento geral,"2.131,92%","1.771,32%","1.209,15%","878,72%","297,28%","159,21%","77,96%"
