Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"75,87 B","81,88 B","87,38 B","91,30 B","95,42 B","101,58 B","92,65 B","97,06 B","93,54 B","91,74 B","92,02 B","88,01 B","90,45 B","88,05 B","92,21 B","91,77 B","86,93 B","92,56 B","94,43 B","87,93 B","94,07 B","86,08 B","86,15 B","84,56 B","77,18 B","68,13 B","65,46 B","63,80 B","62,04 B","59,19 B","60,79 B","58,16 B","52,81 B","53,34 B","53,19 B","54,57 B","52,06 B","52,35 B","53,10 B","52,60 B","56,85 B","60,63 B","59,78 B","52,49 B","54,06 B","49,42 B","49,00 B","46,49 B","46,58 B","46,82 B","45,79 B","43,63 B","42,27 B","41,17 B","40,90 B","40,46 B","39,61 B","37,40 B","36,92 B","35,04 B","34,66 B","34,48 B","23,37 B"
Ativo circulante,"26,19 B","30,45 B","26,27 B","30,74 B","34,10 B","37,04 B","34,27 B","37,84 B","37,45 B","37,44 B","37,28 B","34,34 B","36,64 B","34,46 B","38,43 B","39,89 B","39,76 B","39,29 B","43,12 B","39,04 B","39,69 B","34,19 B","30,80 B","31,38 B","25,78 B","23,39 B","20,50 B","20,01 B","21,32 B","21,38 B","21,95 B","20,00 B","17,08 B","17,99 B","17,89 B","18,48 B","16,66 B","16,79 B","16,88 B","15,44 B","16,42 B","18,14 B","16,83 B","14,54 B","15,34 B","14,76 B","15,07 B","14,19 B","14,86 B","15,00 B","14,27 B","13,13 B","13,11 B","12,69 B","12,22 B","11,86 B","11,77 B","10,18 B","10,99 B","9,65 B","9,42 B","8,74 B","7,15 B"
Caixa e eq. de caixa,"4,68 B","10,50 B","6,66 B","9,18 B","11,32 B","14,99 B","11,92 B","14,21 B","14,21 B","14,19 B","13,64 B","13,24 B","12,38 B","12,47 B","11,74 B","9,53 B","10,11 B","8,68 B","12,03 B","9,77 B","12,49 B","13,86 B","12,32 B","14,99 B","10,06 B","6,80 B","5,72 B","5,79 B","6,10 B","5,55 B","4,89 B","5,15 B","3,41 B","3,78 B","5,45 B","5,71 B","6,62 B","6,70 B","8,20 B","6,74 B","7,52 B","7,04 B","6,35 B","4,82 B","5,07 B","3,99 B","3,72 B","3,15 B","3,21 B","4,34 B","3,85 B","3,40 B","3,00 B","3,29 B","3,57 B","3,30 B","3,30 B","2,99 B","3,25 B","2,37 B","2,39 B","2,62 B","2,68 B"
Aplicações financeiras,"1,37 B","1,34 B","745,00 M","1,12 B","1,71 B","1,79 B","2,42 B","3,12 B","3,96 B","4,96 B","5,04 B","2,34 B","3,83 B","2,29 B","2,49 B","3,83 B","2,08 B","3,49 B","2,94 B","3,81 B","3,88 B","3,63 B","3,20 B","2,75 B","2,29 B","1,69 B","1,29 B","679,39 M","1,72 B","2,36 B","2,08 B","2,06 B","2,44 B","2,30 B","2,28 B","2,68 B","1,01 B","1,19 B","433,01 M","428,22 M","1,40 M","414,89 M","108,36 M","96,96 M","92,81 M","89,73 M","102,24 M","155,31 M","87,50 M","86,72 M","61,97 M","39,15 M","221,80 M","172,15 M","241,73 M","169,96 M","289,08 M","170,30 M","186,65 M","250,39 M","479,57 M","236,32 M","435,50 M"
Contas a receber,"5,94 B","4,99 B","4,18 B","4,59 B","4,47 B","4,42 B","4,29 B","4,25 B","4,21 B","3,88 B","4,48 B","4,03 B","5,23 B","4,12 B","7,33 B","8,21 B","8,18 B","8,17 B","8,71 B","8,77 B","7,47 B","5,23 B","4,83 B","3,88 B","3,50 B","5,48 B","3,40 B","3,29 B","3,73 B","3,56 B","4,77 B","3,62 B","3,63 B","3,58 B","3,01 B","2,79 B","2,44 B","1,84 B","2,42 B","2,31 B","2,51 B","3,09 B","3,64 B","2,95 B","3,74 B","3,08 B","3,44 B","3,25 B","3,57 B","3,20 B","3,37 B","3,23 B","3,30 B","3,32 B","2,99 B","2,48 B","3,07 B","2,26 B","2,90 B","2,20 B","2,24 B","2,12 B","1,78 B"
Estoques,"11,27 B","10,42 B","12,65 B","13,50 B","14,41 B","13,69 B","13,95 B","13,51 B","13,26 B","12,53 B","12,48 B","12,98 B","13,78 B","14,03 B","15,01 B","17,02 B","16,95 B","16,34 B","14,37 B","12,71 B","11,94 B","8,38 B","8,07 B","7,37 B","7,83 B","7,63 B","7,87 B","8,27 B","8,13 B","8,49 B","8,94 B","8,11 B","6,68 B","6,85 B","5,75 B","5,91 B","5,55 B","5,24 B","4,87 B","5,03 B","5,15 B","6,11 B","5,19 B","5,23 B","4,69 B","5,37 B","5,11 B","5,12 B","5,55 B","5,03 B","4,90 B","4,37 B","4,63 B","4,10 B","3,91 B","4,53 B","3,92 B","3,62 B","3,45 B","3,69 B","3,27 B","3,02 B","1,72 B"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"49,68 B","51,43 B","61,11 B","60,56 B","61,32 B","64,54 B","58,38 B","59,22 B","56,09 B","54,30 B","54,74 B","53,67 B","53,81 B","53,59 B","53,78 B","51,88 B","47,17 B","53,27 B","51,32 B","48,89 B","54,38 B","51,89 B","55,34 B","53,17 B","51,40 B","44,74 B","44,96 B","43,79 B","40,72 B","37,81 B","38,84 B","38,16 B","35,73 B","35,35 B","35,30 B","36,09 B","35,41 B","35,57 B","36,23 B","37,15 B","40,43 B","42,49 B","42,95 B","37,95 B","38,72 B","34,66 B","33,92 B","32,31 B","31,72 B","31,82 B","31,52 B","30,50 B","29,16 B","28,48 B","28,68 B","28,60 B","27,84 B","27,22 B","25,93 B","25,39 B","25,24 B","25,74 B","16,22 B"
Investimentos,"544,00 M","494,00 M","518,00 M","522,00 M","458,00 M","438,00 M","593,00 M","164,00 M","164,00 M","165,00 M","165,39 M","155,25 M","157,46 M","149,00 M","140,16 M","138,20 M","84,84 M","58,92 M","49,96 M","50,44 M","47,68 M","43,15 M","44,32 M","43,21 M","58,45 M","63,84 M","62,99 M","64,66 M","65,59 M","65,95 M","69,39 M","72,55 M","104,42 M","101,26 M","100,49 M","96,88 M","105,10 M","92,31 M","98,21 M","82,28 M","78,03 M","86,35 M","196,46 M","169,59 M","167,77 M","126,53 M","120,18 M","122,97 M","122,52 M","121,89 M","119,80 M","118,45 M","117,77 M","125,73 M","130,43 M","158,10 M","41,78 M","40,71 M","37,43 M","37,64 M","174,14 M","168,28 M","145,28 M"
Imobilizado,"39,60 B","41,46 B","41,60 B","42,01 B","42,29 B","44,14 B","41,53 B","43,31 B","42,46 B","42,23 B","42,12 B","41,59 B","42,13 B","41,72 B","41,11 B","39,41 B","36,65 B","40,01 B","39,03 B","37,59 B","40,31 B","38,83 B","39,08 B","37,99 B","37,10 B","34,92 B","33,89 B","33,09 B","33,48 B","31,76 B","32,75 B","31,63 B","30,36 B","29,76 B","29,80 B","30,45 B","29,61 B","29,34 B","29,84 B","30,37 B","32,84 B","34,10 B","34,18 B","30,96 B","31,17 B","29,00 B","27,84 B","26,69 B","25,84 B","25,41 B","23,82 B","22,62 B","21,85 B","21,18 B","21,14 B","21,10 B","21,00 B","20,66 B","19,89 B","19,54 B","19,29 B","19,37 B","10,95 B"
