Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,4T2019
Ativo total,"4,06 B","3,30 B","3,26 B","3,20 B","3,13 B","3,03 B","3,00 B","3,08 B","3,13 B","2,82 B","2,85 B","2,89 B","2,72 B","1,53 B","1,09 B","1,02 B","463,59 M"
Ativo circulante,"1,16 B","620,29 M","669,34 M","721,87 M","716,92 M","654,86 M","668,25 M","784,40 M","873,85 M","602,61 M","694,05 M","1,22 B","1,43 B","462,82 M","220,17 M","287,00 M","116,36 M"
Caixa e eq. de caixa,"184,63 M","152,43 M","169,05 M","323,22 M","310,36 M","197,12 M","156,40 M","203,54 M","387,56 M","408,48 M","505,87 M","1,00 B","1,22 B","269,19 M","57,42 M","171,10 M","38,81 M"
Aplicações financeiras,"733,02 M","228,63 M","267,09 M","180,87 M","190,01 M","257,93 M","310,08 M","391,54 M","305,32 M","19,41 M","12,74 M","46,69 M","65,53 M","78,37 M","45,49 M","9,66 M","4,67 M"
Contas a receber,"170,22 M","168,49 M","169,18 M","163,10 M","163,01 M","151,85 M","151,87 M","140,82 M","134,36 M","125,31 M","117,81 M","107,87 M","95,89 M","86,35 M","81,56 M","69,56 M","59,28 M"
Estoques,"10,87 M","11,08 M","10,29 M","8,79 M","6,30 M","6,31 M","5,37 M","5,45 M","4,95 M","3,65 M","2,90 M","3,71 M","228,00 Mil","231,00 Mil","277,00 Mil","525,00 Mil","771,00 Mil"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"2,90 B","2,68 B","2,59 B","2,47 B","2,41 B","2,37 B","2,33 B","2,29 B","2,26 B","2,22 B","2,15 B","1,68 B","1,29 B","1,06 B","869,36 M","731,25 M","347,23 M"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"2,53 B","2,34 B","2,25 B","2,13 B","2,09 B","2,08 B","2,03 B","1,99 B","1,95 B","1,90 B","1,84 B","1,38 B","1,20 B","989,01 M","808,70 M","681,65 M","326,65 M"
Intangível,"295,68 M","280,28 M","273,64 M","273,73 M","256,74 M","226,71 M","228,41 M","231,13 M","231,50 M","232,52 M","230,84 M","218,71 M","24,90 M","16,11 M","14,70 M","6,72 M","2,98 M"
Passivo total,"4,06 B","3,30 B","3,26 B","3,20 B","3,13 B","3,03 B","3,00 B","3,08 B","3,13 B","2,82 B","2,85 B","2,89 B","2,72 B","1,53 B","1,09 B","1,02 B","463,59 M"
Passivo circulante,"756,23 M","508,18 M","490,65 M","372,92 M","311,92 M","328,43 M","335,85 M","450,11 M","497,02 M","479,92 M","502,97 M","513,99 M","507,58 M","497,18 M","533,92 M","441,79 M","172,18 M"
Fornecedores,"204,20 M","139,26 M","105,69 M","100,08 M","71,70 M","66,05 M","57,98 M","66,00 M","79,06 M","66,36 M","92,10 M","186,03 M","188,93 M","175,97 M","174,96 M","137,23 M","28,70 M"
Empréstimos e financ.,"417,38 M","231,82 M","228,55 M","129,41 M","122,82 M","154,31 M","157,25 M","192,44 M","232,52 M","249,25 M","245,90 M","253,78 M","243,23 M","240,83 M","302,38 M","257,44 M","107,01 M"
Passivo não circulante,"1,74 B","1,25 B","1,24 B","1,32 B","1,33 B","1,25 B","1,26 B","1,25 B","1,27 B","998,21 M","993,34 M","1,04 B","874,07 M","892,15 M","437,34 M","449,26 M","183,69 M"
Emprést. de longo prazo,"1,53 B","1,04 B","1,04 B","1,12 B","1,11 B","1,05 B","1,07 B","1,07 B","1,10 B","823,47 M","823,06 M","868,40 M","865,45 M","883,46 M","418,53 M","427,78 M","167,79 M"
Patrimônio líquido,"1,56 B","1,55 B","1,53 B","1,51 B","1,48 B","1,45 B","1,40 B","1,38 B","1,36 B","1,35 B","1,35 B","1,34 B","1,34 B","137,96 M","118,27 M","127,20 M","107,72 M"
Aos não controladores,"3,50 M","3,49 M","3,51 M","3,55 M","3,60 M","350,00 Mil","446,00 Mil","4,00 Mil","4,00 Mil","5,00 Mil","5,00 Mil","7,00 Mil","5,00 Mil","7,00 Mil","20,00 Mil","6,00 Mil","10,00 Mil"
