Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020
Receita líquida,"364,69 M","346,45 M","334,42 M","325,07 M","310,51 M","300,21 M","292,08 M","277,46 M","254,25 M","236,60 M","216,93 M","204,47 M","190,01 M","170,14 M","164,13 M","149,40 M","122,06 M","102,30 M","98,01 M"
Custos,"-213,08 M","-206,40 M","-191,47 M","-178,53 M","-167,06 M","-158,45 M","-153,51 M","-148,95 M","-142,33 M","-144,38 M","-137,17 M","-116,69 M","-103,31 M","-103,22 M","-81,21 M","-79,92 M","-61,97 M","-49,06 M","-46,19 M"
Lucro bruto,"151,60 M","140,06 M","142,94 M","146,54 M","143,45 M","141,76 M","138,56 M","128,51 M","111,92 M","92,22 M","79,76 M","87,78 M","86,70 M","66,92 M","82,92 M","69,48 M","60,09 M","53,24 M","51,82 M"
Despesas operacionais,"-107,55 M","-93,99 M","-95,63 M","-78,98 M","-90,43 M","-73,69 M","-76,56 M","-60,47 M","-62,74 M","-60,52 M","-62,08 M","-67,49 M","-60,12 M","-60,47 M","-56,41 M","-35,86 M","-40,59 M","-22,94 M","-49,39 M"
Despesas com vendas,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Despesas administrativas,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EBIT,"44,06 M","46,07 M","47,32 M","67,56 M","53,03 M","68,07 M","62,00 M","68,04 M","49,18 M","31,70 M","17,68 M","20,29 M","26,58 M","6,45 M","26,51 M","33,62 M","19,50 M","30,30 M","2,43 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-24,89 M","-24,52 M","-22,50 M","-20,16 M","-15,46 M","-20,30 M","-25,98 M","-16,45 M","-11,10 M","-34,70 M","1,24 M","-16,36 M","-30,63 M","9,64 M","-30,14 M","-2,30 M","-5,68 M","-16,34 M","-17,79 M"
Antes dos impostos,"19,17 M","21,55 M","24,82 M","47,39 M","37,56 M","47,77 M","36,02 M","51,59 M","38,08 M","-3,00 M","18,92 M","3,93 M","-4,05 M","16,10 M","-3,63 M","31,32 M","13,82 M","13,96 M","-15,36 M"
Imposto,"-3,24 M","-4,26 M","-4,71 M","15,12 M","-5,83 M","-3,85 M","-10,83 M","-21,13 M","-16,07 M","1,75 M","-9,44 M","-2,38 M","-2,58 M","-1,56 M","-3,59 M","-11,44 M","2,24 M","-2,03 M","-3,40 M"
Op. continuadas,"15,93 M","17,29 M","20,11 M","62,52 M","31,73 M","43,92 M","25,18 M","30,46 M","22,01 M","-1,25 M","9,49 M","1,55 M","-6,62 M","14,54 M","-7,22 M","19,89 M","16,06 M","11,93 M","-18,75 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"15,93 M","17,29 M","20,11 M","62,52 M","31,73 M","43,92 M","25,18 M","30,46 M","22,01 M","-1,25 M","9,49 M","1,55 M","-6,62 M","14,54 M","-7,22 M","19,89 M","16,06 M","11,93 M","-18,75 M"
Dos controladores,"15,92 M",0,"20,15 M","62,56 M","31,80 M","44,01 M","25,27 M","30,46 M","22,01 M","-1,25 M","9,49 M","1,55 M","-6,62 M","14,55 M","-7,24 M","19,89 M","16,06 M","11,93 M","-18,75 M"
Dos não controladores,"15,00 Mil",0,"-41,00 Mil","-49,00 Mil","-73,00 Mil","-96,00 Mil","-86,00 Mil",0,"-1,00 Mil",0,"-2,00 Mil","2,00 Mil","-2,00 Mil","-13,00 Mil","14,00 Mil","-5,00 Mil","1,00 Mil",0,"-1,00 Mil"
