Conta,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"3,21 B","3,10 B","8,91 B","2,20 B","2,31 B","2,03 B","7,94 B","1,94 B","1,01 B","1,66 B","7,94 B","1,48 B","542,01 M","1,35 B","3,87 B","996,40 M","903,55 M","831,03 M","2,83 B","634,55 M","555,63 M","552,00 M","633,29 M","575,16 M","573,87 M","548,08 M","568,99 M","566,71 M","573,24 M","568,36 M","592,44 M","607,45 M","609,32 M","630,92 M","650,94 M","657,67 M","676,80 M","659,98 M","2,71 B","633,34 M","597,13 M","592,74 M","581,67 M","555,45 M","529,75 M","512,26 M","500,15 M","491,86 M","461,14 M","421,64 M","439,25 M","446,18 M","436,92 M","429,09 M","431,62 M","429,66 M","407,06 M","378,02 M","385,43 M","376,85 M","337,43 M","299,02 M"
Custos,"-2,27 B","-1,71 B","-5,14 B","-1,51 B","-1,11 B","-1,04 B","-4,31 B","-1,08 B","-617,71 M","-995,17 M","-4,31 B","-831,21 M","-499,52 M","-697,79 M","-1,98 B","-301,78 M","-322,88 M","-217,76 M","-434,48 M","-142,92 M","-138,25 M","-147,41 M","-181,32 M","-164,38 M","-154,76 M","-199,03 M","-191,66 M","-219,48 M","-200,53 M","-173,30 M","-207,23 M","-232,04 M","-243,75 M","-388,63 M","-327,13 M","-365,32 M","-345,11 M","-393,42 M","-1,46 B","-411,47 M","-360,32 M","-336,82 M","-298,83 M","-321,05 M","-273,32 M","-248,21 M","-236,37 M","-218,07 M","-191,25 M","-138,61 M","-158,83 M","-194,20 M","-175,38 M","-189,08 M","-205,19 M","-230,69 M","-195,19 M","-155,94 M","-150,34 M","-149,60 M","-122,00 M","-101,79 M"
Lucro bruto,"937,54 M","1,38 B","3,77 B","687,71 M","1,19 B","989,31 M","3,63 B","862,90 M","394,19 M","667,18 M","3,63 B","651,92 M","42,49 M","651,16 M","1,90 B","694,61 M","580,67 M","613,27 M","2,39 B","491,63 M","417,38 M","404,58 M","451,97 M","410,78 M","419,11 M","349,05 M","377,33 M","347,23 M","372,71 M","395,06 M","385,21 M","375,40 M","365,57 M","242,29 M","323,81 M","292,36 M","331,69 M","266,55 M","1,25 B","221,87 M","236,81 M","255,92 M","282,83 M","234,40 M","256,44 M","264,05 M","263,78 M","273,78 M","269,88 M","283,03 M","280,42 M","251,98 M","261,54 M","240,01 M","226,44 M","198,97 M","211,87 M","222,08 M","235,08 M","227,25 M","215,43 M","197,23 M"
Despesas operacionais,"-564,59 M","-1,04 B","-3,36 B","-512,47 M","-1,15 B","-1,11 B","-3,38 B","-956,72 M",0,"-857,04 M","-3,25 B","-894,26 M","33,72 M","-670,45 M","-1,44 B","-564,50 M","-482,74 M","-457,94 M","-1,85 B","-289,84 M","-294,52 M","-263,11 M","-254,65 M","-289,87 M","-267,46 M","-250,37 M","-259,28 M","-261,16 M","-284,56 M","-252,28 M","-250,95 M","-263,58 M","-257,52 M","-228,04 M","-257,69 M","-154,19 M","-255,61 M","-297,95 M","-1,14 B","-276,39 M","-232,52 M","-234,13 M","-247,16 M","-217,62 M","-202,59 M","-204,09 M","-227,81 M","-218,78 M","-191,83 M","-176,17 M","-198,39 M","-170,90 M","-156,10 M","-163,39 M","-317,98 M","-131,24 M","-125,15 M","-133,43 M","-202,35 M","-147,73 M","-120,68 M","-117,18 M"
Despesas com vendas,0,"-273,81 M","-246,34 M","352,25 M","-376,60 M","-388,53 M","-679,59 M","-364,50 M",0,"-255,23 M","-549,98 M","-463,68 M",0,"-194,91 M",0,"-273,49 M",0,0,"-348,91 M",0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Despesas administrativas,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"-219,98 M","-199,22 M","-196,06 M","-231,92 M","-203,76 M","-198,25 M","-188,36 M","-196,15 M","-199,54 M","-186,46 M","-187,59 M","-198,81 M","-190,01 M","-186,71 M","-206,44 M","-196,12 M","-184,61 M","-214,18 M","-815,80 M","-169,55 M","-183,91 M","-164,77 M","-173,29 M","-158,37 M","-154,33 M","-156,04 M","-171,89 M","-158,86 M","-147,88 M","-138,12 M","-146,48 M","-130,91 M","-125,22 M","-110,02 M","-115,83 M","-98,48 M","-93,30 M","-93,18 M","-92,81 M","-78,70 M","-75,68 M","-81,76 M"
EBIT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"125,90 M","143,28 M","201,20 M","120,51 M","151,65 M","98,68 M","118,05 M","86,07 M","88,15 M","142,78 M","134,26 M","111,82 M","108,05 M","14,25 M","66,12 M","138,17 M","76,08 M","-31,40 M","-22,31 M","-54,52 M","4,28 M","21,79 M","35,68 M","16,78 M","53,84 M","59,97 M","35,98 M","55,00 M","78,05 M","106,86 M","82,03 M","81,09 M","105,44 M","76,62 M","-91,55 M","67,73 M","86,72 M","88,64 M","32,74 M","79,52 M","94,75 M","80,05 M"
Resultado financeiro,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"-1,33 M","-1,80 M","-3,88 M","398,00 Mil","827,00 Mil","-235,00 Mil","-16,39 M","-3,54 M","-2,50 M","-3,93 M","-2,35 M","1,25 M","-703,00 Mil","-1,18 M","-3,03 M","-1,06 M","-5,23 M","-2,56 M","3,04 M","1,44 M","1,44 M","-336,00 Mil","-10,15 M","-3,68 M","3,20 M","-2,55 M","-5,78 M","-5,91 M","-4,90 M","-6,78 M","-8,08 M","-6,47 M","-1,82 M","-2,43 M","-3,64 M","-2,60 M","-2,83 M","-767,00 Mil","-9,23 M","-510,00 Mil","-520,00 Mil","-850,00 Mil"
Antes dos impostos,"372,95 M","340,92 M","410,00 M","175,24 M","39,03 M","-124,79 M","247,47 M","-93,82 M","394,19 M","-189,87 M","377,07 M","-242,34 M","76,21 M","-19,29 M","460,61 M","130,11 M","97,93 M","155,33 M","541,19 M","201,79 M","122,86 M","141,47 M","197,32 M","120,91 M","152,47 M","98,45 M","101,66 M","82,53 M","85,65 M","138,85 M","131,91 M","113,07 M","107,34 M","13,07 M","63,09 M","137,11 M","70,85 M","-33,96 M","111,80 M","-53,07 M","5,72 M","21,45 M","25,52 M","13,10 M","57,04 M","57,41 M","30,20 M","49,09 M","73,15 M","100,08 M","73,95 M","74,61 M","103,62 M","74,19 M","-95,18 M","65,13 M","83,88 M","87,88 M","23,51 M","79,01 M","94,23 M","79,20 M"
